case,step,nominal_age_h,actual_age_h,particle_count,beta_volume_fraction,mean_radius_nm,Sv_nm_inv,M6_nm3,far_field_matrix_xAg,mass_relative_error
A,0,6,6,96,0.02392960975909118,9.5416094639143836,0.0074261690314816643,5.3578260165703337,0.006203008315588036,1.0361453923136947e-13
B,0,6,6,96,0.023929618199627172,9.5416103775373191,0.0074261706209764163,5.3578305742470231,0.0062032544917148096,1.8246585525021037e-14
A,21798,12,12.00005750730298,31,0.023155118796488197,13.027173999960983,0.0047565634737017307,20.50380474142818,0.0069855095023743262,2.6640014866530732e-13
B,21798,12,12.00005750730298,26,0.023261207225661194,14.400873830734051,0.0046531335441326333,20.360254293691121,0.0068773635843168068,1.0426620300012023e-14
A,43596,18,18.00011501460596,15,0.023468810628888327,16.638848694222116,0.0037562358139695334,44.08821298185542,0.0066675039481570433,2.7109212780031271e-14
B,43596,18,18.00011501460596,16,0.023457964561853069,16.982304292176451,0.0039803988820483827,33.653927807985873,0.0066777650452750697,8.6931946751350246e-14
A,65393,24,23.999897264660234,10,0.02359280073378868,18.723579109887247,0.0032619137427315177,66.097472585587028,0.0065419911906859753,2.0683808020148858e-13
B,65393,24,23.999897264660234,13,0.023532755387263796,17.921446966173246,0.0036761200961275826,43.395881692890214,0.0066027558767045424,9.9574223865114815e-14
A,108989,36,36.000012279266194,6,0.023799474825655496,23.406473483058875,0.0028730488502025264,95.32215508057773,0.0063319490859755842,8.1197305586343659e-14
B,108989,36,36.000012279266194,9,0.023665039522111804,20.698668111447912,0.0033142431953391365,60.200735237460016,0.0064686313132379433,2.0279776483523384e-13
A,152585,48,48.000127293872154,5,0.023830338389357261,24.859869085436504,0.0027022440128109566,116.53186425143566,0.0063008215309075279,1.6708659030769273e-13
B,152585,48,48.000127293872154,8,0.023661711537232476,20.10153948446456,0.0030187911340435322,87.067374202557133,0.0064742129751848279,2.2443300195775879e-13
