age_h,temperature_K,replicate_count,kappa_L_no_dis_fixed_matrix_W_mK_mean,kappa_L_no_dis_fixed_matrix_W_mK_sample_std,kappa_L_no_dis_fixed_matrix_W_mK_min,kappa_L_no_dis_fixed_matrix_W_mK_max,kappa_L_no_dis_time_varying_matrix_W_mK_mean,kappa_L_no_dis_time_varying_matrix_W_mK_sample_std,kappa_L_no_dis_time_varying_matrix_W_mK_min,kappa_L_no_dis_time_varying_matrix_W_mK_max,delta_kappa_PSD_W_mK_mean,delta_kappa_PSD_W_mK_sample_std,delta_kappa_PSD_W_mK_min,delta_kappa_PSD_W_mK_max,delta_kappa_PSD_plus_matrix_W_mK_mean,delta_kappa_PSD_plus_matrix_W_mK_sample_std,delta_kappa_PSD_plus_matrix_W_mK_min,delta_kappa_PSD_plus_matrix_W_mK_max,delta_kappa_matrix_given_PSD_W_mK_mean,delta_kappa_matrix_given_PSD_W_mK_sample_std,delta_kappa_matrix_given_PSD_W_mK_min,delta_kappa_matrix_given_PSD_W_mK_max
6,300,3,2.286470081823816,6.5277321765143e-06,2.286462805318928,2.286475423204215,2.286470081823816,6.5277321765143e-06,2.286462805318928,2.286475423204215,0,0,0,0,0,0,0,0,0,0,0,0
6,350,3,2.006846552069398,5.084517334803543e-06,2.006840884322763,2.006850712518228,2.006846552069398,5.084517334803543e-06,2.006840884322763,2.006850712518228,0,0,0,0,0,0,0,0,0,0,0,0
6,400,3,1.788093142836603,4.071851306959165e-06,1.788088603914191,1.788096474658656,1.788093142836603,4.071851306959165e-06,1.788088603914191,1.788096474658656,0,0,0,0,0,0,0,0,0,0,0,0
6,450,3,1.612328491401443,3.334161267319673e-06,1.612324774786462,1.612331219600403,1.612328491401443,3.334161267319673e-06,1.612324774786462,1.612331219600403,0,0,0,0,0,0,0,0,0,0,0,0
6,500,3,1.468031331140186,2.780227405978816e-06,1.468028231998788,1.468033606077259,1.468031331140186,2.780227405978816e-06,1.468028231998788,1.468033606077259,0,0,0,0,0,0,0,0,0,0,0,0
6,550,3,1.347452318309672,2.353726488322068e-06,1.347449694591704,1.347454244258552,1.347452318309672,2.353726488322068e-06,1.347449694591704,1.347454244258552,0,0,0,0,0,0,0,0,0,0,0,0
6,600,3,1.245190446284445,2.018366291143037e-06,1.245188196394837,1.245192097822118,1.245190446284445,2.018366291143037e-06,1.245188196394837,1.245192097822118,0,0,0,0,0,0,0,0,0,0,0,0
12,300,3,2.283945200773841,0.0003626992002636507,2.283733568394718,2.284364001806409,2.257607597453332,0.00183270048823971,2.255495839860966,2.258782434153441,-0.002524881049975392,0.0003610394875479759,-0.002737391083820206,-0.002108015141895958,-0.02886248437048374,0.001834792756366356,-0.03097617708733891,-0.02768037116548649,-0.02633760332050835,0.002194876346230382,-0.02886816194544295,-0.02495113424127648
12,350,3,2.004873011132264,0.0002841436843354938,2.004706774672822,2.005201102244182,1.984344740220467,0.001431828358670155,1.982695158591041,1.98526593012536,-0.001973540937134052,0.0002829191081797717,-0.002143937845406452,-0.001646957123019988,-0.02250181184893085,0.001433469687946087,-0.0241529007761605,-0.02157495419740352,-0.0205282709117968,0.001715303846649691,-0.02250594365314051,-0.0194452263544278
12,400,3,1.786508590198727,0.0002285092904316403,1.786372546338579,1.786772406783735,1.770059007331651,0.001149631491910973,1.768734703563782,1.770800640125235,-0.001584552637875862,0.0002275696511863439,-0.001723928320077173,-0.001321943153227201,-0.01803413550495188,0.001150952897570553,-0.01935964637318,-0.01728796378895647,-0.01644958286707602,0.00137741482930083,-0.01803770321995279,-0.01558017734863326
12,450,3,1.611028513834787,0.0001877020312021537,1.610915268333754,1.611245179219902,1.597551897080038,0.0009434594510867983,1.596465197714655,1.598161798267608,-0.001299977566656156,0.0001869588135890922,-0.001415951266649174,-0.001084300597561816,-0.01477659432140473,0.0009445458861991006,-0.01586428210280832,-0.01416297651885445,-0.01347661675474858,0.001130428716693194,-0.01477998150524651,-0.01276329568309698
12,500,3,1.466945745692962,0.0001568991143057413,1.466850087946194,1.467126820687049,1.455702819627302,0.0007882394969587665,1.45479497898005,1.456213224674205,-0.001085585447223665,0.0001562968783069921,-0.001183518131065098,-0.0009053346574607879,-0.0123285115128835,0.0007891483744176218,-0.01323717636445942,-0.01181500732458285,-0.01124292606565984,0.0009444264209601341,-0.01233184170699864,-0.01064710377143774
12,550,3,1.346532225529712,0.0001330857513383561,1.346450396788579,1.34668578917925,1.337010042794823,0.0006684495815563133,1.336240218977719,1.337443465640774,-0.000920092779959821,0.0001325880502691917,-0.001003847469973396,-0.0007672268995102538,-0.0104422755148493,0.0006692210625864801,-0.01121279710104162,-0.01000622895092973,-0.009522182734889473,0.0008008573101920157,-0.01044557020153136,-0.009017024980533916
12,600,3,1.244400742231074,0.0001143005601620472,1.24432997130209,1.244532606837153,1.23623225030516,0.0005740621785518572,1.235571165062896,1.23660488938326,-0.0007897040533708655,0.0001138824711707081,-0.0008621265200277062,-0.0006584377992258084,-0.008958195979284378,0.0005747251842070413,-0.009619879573482537,-0.008583307011577279,-0.008168491925913512,0.0006877246850762581,-0.008961441774256729,-0.007734759170718197
18,300,3,2.282808085804134,0.0002335827637972981,2.282590918262342,2.283055196112694,2.264358202688408,0.001383997020468795,2.262790258974194,2.265409778982059,-0.003661996019682127,0.000227511166700927,-0.003871887056585699,-0.003420227091521788,-0.0221118791354075,0.001387655492836092,-0.02368516423002154,-0.0210622379662464,-0.01844988311572538,0.001581483184329815,-0.02026493713849975,-0.01736836405530751
18,350,3,2.003859059685377,0.0001655900139739792,2.0037261094366,2.00404454416335,1.989495601789701,0.001079438986353607,1.988266046974633,1.990287395419142,-0.002987492384020444,0.0001612447294280479,-0.00311477488616374,-0.002806168354878125,-0.01735095027969757,0.001082412827047394,-0.0185846655435955,-0.01656066394805999,-0.01436345789567713,0.001233072843565371,-0.01577849718871738,-0.01351913003704053
18,400,3,1.785618477200322,0.0001255027641916109,1.785534236082887,1.785762717881541,1.774119444033557,0.0008659845800796416,1.773129541568591,1.774736866182287,-0.002474665636281218,0.0001223805585430533,-0.002554367831304916,-0.002333756777114893,-0.01397369880304634,0.000868440798517388,-0.01496693309006503,-0.01335748375467505,-0.01149903316676511,0.0009883762746541245,-0.01263317631295013,-0.0108216114542512
18,450,3,1.610249388001165,9.991176777169127e-05,1.610188643457183,1.610364701056185,1.600835590900706,0.000710426079264068,1.600021548011607,1.601330395288521,-0.002079103400278282,9.765301709927632e-05,-0.002140836360280396,-0.001966518544218809,-0.01149290050073641,0.0007124848178775787,-0.01230967158879648,-0.01099908452894249,-0.009413797100458124,0.0008099594955774866,-0.01034315304457767,-0.008858248168662097
18,500,3,1.466262244062232,8.241853527410685e-05,1.466203734398125,1.466356501043183,1.458413545018117,0.0005934815916489834,1.457732341092974,1.458818887299685,-0.001769087077953572,8.076852016365501e-05,-0.001828420946384357,-0.001677105034076032,-0.009617786122068908,0.0005952299343386171,-0.01030126498428485,-0.009213268044824252,-0.007848699044115337,0.0006758692139012667,-0.008624159950208821,-0.007384847098439895
18,550,3,1.345929989556431,6.976523220328303e-05,1.345874949237027,1.34600845193884,1.339285951656388,0.0005033062476452743,1.338707530816455,1.339624041293487,-0.001522328753241024,6.854608421437255e-05,-0.001578066841733783,-0.001445792319712869,-0.008166366653284518,0.0005048082613366858,-0.008746713442097542,-0.007828974785273113,-0.006644037900043494,0.0005725436733271921,-0.007300921122384674,-0.00625090794353933
18,600,3,1.243867359847443,6.01902706060752e-05,1.24381618746217,1.243933675745636,1.238170337179164,0.0004322865243016918,1.237673070867499,1.23845660410381,-0.001323086437001815,5.927872415345251e-05,-0.001374857174208266,-0.001258422076481747,-0.00702010910528091,0.0004335901335393506,-0.007519026954619257,-0.006734440532569108,-0.005697022668279095,0.0004912386417721777,-0.00626060487813751,-0.005359583358360842
24,300,3,2.282737308195876,0.0002563130480191741,2.282487588167525,2.282999741133133,2.269910865566368,0.002243414598728169,2.267517808365507,2.271966386010091,-0.003732773627940666,0.0002519562758578729,-0.003975217151402699,-0.003472275815171955,-0.01655921625744839,0.0022369412349012,-0.01894499695342056,-0.01450903719412411,-0.01282644262950772,0.00210678950298307,-0.01496977980201786,-0.01075820927687676
24,350,3,2.00366858817369,0.0001315976346132621,2.003567714783683,2.003817444159624,1.993690471841145,0.001677478508285589,1.991918357724468,1.99525376062782,-0.00317796389570694,0.0001294114514642905,-0.003273169539080634,-0.003030615207577192,-0.01315608022825347,0.001672452498365648,-0.01492252659829552,-0.01159695189040888,-0.009978116332546527,0.001642077549491903,-0.01164935705921488,-0.008366844949945884
24,400,3,1.785382468911408,7.607625705475749e-05,1.785320437235303,1.785467351717606,1.777398893649087,0.001300700873317306,1.776036461932544,1.778627519431608,-0.002710673925194751,7.618840984453527e-05,-0.002776037423353195,-0.002626998219355858,-0.01069424918751653,0.001296688200879608,-0.0120521419816475,-0.009468955227048603,-0.007983575262321777,0.001315801332941092,-0.009323155848772302,-0.006692917803695408
24,450,3,1.610001840282493,5.90359435022035e-05,1.60993562524082,1.610048980579867,1.60346908348218,0.001037546468382067,1.602390435790004,1.604459951391649,-0.00232665111894977,6.083836223681028e-05,-0.002395594359583253,-0.002280499237596878,-0.008859407919263059,0.001034270189441472,-0.009934338996458125,-0.007871268208754723,-0.006532756800313289,0.001077977384017157,-0.007630479236788945,-0.00547567384917147
24,500,3,1.466018969679739,5.758523805650949e-05,1.465953248722139,1.466060583811555,1.460574434548814,0.0008466468321090031,1.459700106050683,1.461390377250721,-0.002012361460446514,5.985314927321129e-05,-0.002080357355119355,-0.001967648187233051,-0.007456896591371276,0.0008439221410848163,-0.008328125948105169,-0.006643228826537673,-0.005444535130924762,0.0008992932663107362,-0.006360477760872119,-0.004562871471418317
24,550,3,1.345698133466028,5.879658982725146e-05,1.345635085761605,1.345751469681719,1.341090755590613,0.0007038402802980821,1.340368223544476,1.341774281946175,-0.001754184843644055,6.096858592974119e-05,-0.00181915849694736,-0.001698224909984836,-0.006361562719058893,0.0007015392406001938,-0.007081471047227783,-0.005679962312377551,-0.004607377875414838,0.0007616437937171729,-0.005383246137242947,-0.003860803815430192
24,600,3,1.243649798724727,5.915300114660312e-05,1.243590358043894,1.243708659786501,1.239700233384504,0.0005942622103507882,1.23909344586308,1.240281123546155,-0.001540647559718167,6.110158709736952e-05,-0.001601739778223532,-0.001479536608336218,-0.005490212899940709,0.000592293496329098,-0.006094750531756787,-0.004910974275962543,-0.003949565340222542,0.000653357716776995,-0.004615213923420569,-0.003309234497739011
