step,elapsed_physical_time_s,experimental_age_h,particle_count,beta_volume_fraction,mean_radius_nm,Sv_nm_inv,M6_nm3,far_field_matrix_xB,far_field_matrix_xAg,far4_matrix_xB,far4_matrix_xAg,far3_fraction,far4_fraction,far3_far4_xAg_delta,broad_matrix_xB,broad_matrix_xAg,canonical_inventory_code,mass_relative_error,phi_normalized_l1_from_initial,xB_mean_absolute_from_initial,phi_min,phi_max,xB_min,xB_max,finite,bounds
0,0,6,96,0.023929618199627172,9.5416103775373191,0.0074261706209764163,5.3578305742470231,0.0062225546123188796,0.0062032544917148096,0.0062239200063484053,0.0062046114485851331,0.74197598485007255,0.5836214382865621,1.356956870323528e-06,0.0062197495043304785,0.0062004665987883461,446608.07999999181,1.8246585525021037e-14,0,0,0,0.999593006524087,0.0059987436604747105,0.0063898544259820174,1,1
3633,3600.0345043817879,7.0000095845504964,88,0.022448583019116956,9.2198159543074656,0.0066627225065711828,6.4169220078904869,0.0077338711509719474,0.0077040684690182024,0.0077366686081627323,0.0077068457806768794,0.76785941714265449,0.62384576651636037,2.7773116586769786e-06,0.0077267687736369247,0.0076970151779653783,446608.07999995939,9.0711596610104597e-14,0.36257936806002816,0.0015014017748963243,-9.9999999999999995e-07,1.0000009999999999,0.0069581757827080577,0.015596322628397292,1,1
7266,7200.0690087635758,8.0000191691009928,57,0.022809521347972997,10.719529484701871,0.005849733703601089,9.8233805336237747,0.0073622229291113901,0.0073352132948504341,0.0073623537392015232,0.0073353435510626584,0.81301518324522926,0.70520817715613204,1.3025621222427508e-07,0.0073592993790631608,0.0073323089967296372,446608.08000000194,4.5616463812552601e-15,0.75797591486077465,0.001136885753776915,-9.9999999999999995e-07,1.0000009999999999,0.0067771281572663279,0.020185698648369044,1,1
10899,10800.103513145363,9.00002875365149,45,0.022962785392925664,11.70042201646492,0.0054374304467613077,12.800380521893707,0.0072050770692249416,0.0071792094495938021,0.0072048329791126534,0.0071789678045537262,0.83151140033113602,0.73663136591706979,2.4164504007582327e-07,0.0072033143875284492,0.0071774570430314082,446608.0799999978,4.6919791350054103e-15,0.97280988939260127,0.00098165769932859279,-9.9999999999999995e-07,1.0000009999999999,0.0066573305277900117,0.0094692355961094286,1,1
14532,14400.138017527152,10.000038338201986,37,0.023061927809837669,12.339028758362723,0.0050574243876154393,16.101828161389125,0.0071046787515869495,0.0070795249813909601,0.0071045261938501329,0.0070793742070357421,0.84735871773748472,0.76439275348533775,1.5077435521794469e-07,0.0071026529542669407,0.0070775110122615276,446608.07999999495,1.1078284068762774e-14,1.1759500337616235,0.00088054144871004025,-9.9999999999999995e-07,1.0000009999999999,0.0065871194569178488,0.0098135309335915678,1,1
18165,18000.172521908939,11.000047922752483,28,0.023231384069210086,14.050633589434572,0.0047684280703616808,18.731802057102303,0.0069311005551842197,0.0069071618071722607,0.0069312680349716315,0.0069073283578310199,0.86134944087890219,0.78962198803031058,1.6655065875927078e-07,0.0069298843506143456,0.0069059531960129769,446608.07999994641,1.1977580069638813e-13,1.2910127354416849,0.00071029474758761582,-9.9999999999999995e-07,1.0000009999999999,0.0065193419739828021,0.0080957229902040243,1,1
21798,21600.207026290725,12.00005750730298,26,0.023261207225661194,14.400873830734051,0.0046531335441326333,20.360254293691121,0.0069010961270786729,0.0068773635843168068,0.0069013058863550795,0.0068775721531073265,0.86578292537833168,0.79713165959738119,2.0856879051969757e-07,0.006899610618869503,0.0068758874517103538,446608.07999999524,1.0426620300012023e-14,1.3372015154600467,0.00067993580329800917,-9.9999999999999995e-07,1.0000009999999999,0.0064606149313878357,0.0079074722491625192,1,1
25431,25200.241530672516,13.000067091853477,24,0.023286376360738662,14.804474909074779,0.0045355123022783562,22.109019701786568,0.0068765979408256413,0.0068530334266405602,0.0068774590822821289,0.0068538888929894019,0.87038380496832923,0.80557993935085093,8.5546634884161449e-07,0.0068741781057465373,0.0068506293943919917,446608.07999994745,1.1742981112888541e-13,1.3813705370120679,0.00065398846680531217,-9.9999999999999995e-07,1.0000009999999999,0.0064584235424101893,0.0078133334891337582,1,1
29064,28800.276035054303,14.000076676403973,23,0.023279238143784683,14.61088502830747,0.0043727767220065796,25.702254133460283,0.006884484594169054,0.0068608639405174712,0.0068854343993083444,0.0068618077204481345,0.87246018925586832,0.80898305735982201,9.4377993066323274e-07,0.0068816186138335135,0.0068580160426157943,446608.0799999499,1.119558354713791e-13,1.4198153272787326,0.00066048626007404157,-9.9999999999999995e-07,1.0000009999999999,0.0064344836366126146,0.010538368314863097,1,1
32697,32400.31053943609,15.00008626095447,20,0.023348417045547361,15.514111526654045,0.0042234380240861354,28.322145071725433,0.0068130599773014219,0.006789928033158108,0.0068135273161568956,0.0067903924625581057,0.8785394120052642,0.82022398699101007,4.64429399997697e-07,0.0068110901126835705,0.0067879706581659201,446608.07999990875,2.0410109237273535e-13,1.4873403794763487,0.00059068137750874054,-9.9999999999999995e-07,1.0000009999999999,0.0064115299265710439,0.0081911469472792965,1,1
36330,36000.345043817877,16.000095845504966,18,0.02341202233419892,16.238121030857368,0.0041176099578644001,30.426442802079521,0.0067470240292700039,0.0067243387406305871,0.0067472308873100049,0.0067245443365567892,0.88267518581392435,0.82785557753455785,2.0559592620213174e-07,0.0067461068797182947,0.0067234272273860958,446608.08000001387,3.127986090003607e-14,1.5325464697357301,0.00052690563160289611,-9.9999999999999995e-07,1.0000009999999999,0.0063840116879885058,0.007771100802089881,1,1
39963,39600.379548199664,17.000105430055463,17,0.023413585925648652,16.490634395701143,0.0040308954358061755,32.293364207278572,0.0067463302482511905,0.0067236490548157335,0.0067467655683731949,0.0067240816279854404,0.88538178709171589,0.83210198525740964,4.3257316970687215e-07,0.006744722664537438,0.006722051609246848,446608.08000001463,3.2974186698788023e-14,1.5622834060558008,0.00052463442969767063,-9.9999999999999995e-07,1.0000009999999999,0.0063333080150986786,0.0085486945821664061,1,1
43596,43200.414052581451,18.00011501460596,16,0.023457964561853069,16.982304292176451,0.0039803988820483827,33.653927807985873,0.0067001367263468834,0.0066777650452750697,0.0067004362118577134,0.0066780626444304225,0.88746576192710169,0.83588221243108718,2.9759915535273324e-07,0.0066993244637880353,0.0066769577702982599,446608.08000003872,8.6931946751350246e-14,1.5748321566142518,0.00048038115305821464,-9.9999999999999995e-07,1.0000009999999999,0.0063292181763862192,0.0072414477372002512,1,1
47229,46800.448556963245,19.000124599156457,16,0.023452189120158687,16.838271221352759,0.0039510044050646955,34.866450278562937,0.0067062148029290647,0.0066838022625822294,0.0067065873327552643,0.0066841724666704483,0.8881970742669949,0.8369338055863208,3.7020408821895195e-07,0.006705263826050919,0.0066828570366090096,446608.08000010287,2.3055864138401586e-13,1.5805765561093312,0.00048585934339790728,-9.9999999999999995e-07,1.0000009999999999,0.0063189421505250682,0.0074704763426170833,1,1
50862,50400.483061345032,20.000134183706955,16,0.023437232690128242,16.520244131702807,0.003892881290748558,36.711713115415833,0.0067219463214066881,0.0066994279073907441,0.0067224687866953214,0.0066999471687860038,0.88973264881369818,0.83907857197747071,5.1926139525964449e-07,0.0067206417390924455,0.0066981310078965735,446608.08000007906,1.7725254510020439e-13,1.6122521947676762,0.0005002699236568149,-9.9999999999999995e-07,1.0000009999999999,0.0063082176858626623,0.0083033920296349487,1,1
54495,54000.517565726819,21.000143768257452,14,0.023515437537679033,17.680416016662129,0.0037992864239034863,38.953134182780957,0.0066415767901951911,0.0066195933433740931,0.0066416826776708624,0.0066196987011543657,0.89465736938749518,0.84696602443914581,1.0535778027266629e-07,0.0066408855095304578,0.0066189060792428058,446608.0800000481,1.0791552010512444e-13,1.6662248581036496,0.00042186880076944239,-9.9999999999999995e-07,1.0000009999999999,0.0062840259331707641,0.0077058213246671307,1,1
58128,57600.552070108606,22.000153352807946,14,0.023503208870712371,17.283119851756936,0.0037446075483161248,40.512790609631779,0.0066545970801221103,0.0066325258064488151,0.0066546602314038151,0.0066325889671846536,0.89596986243509069,0.84883538157213811,6.3160735838500848e-08,0.0066535114815188387,0.006631446187725226,446608.08000002411,5.4218425560062523e-14,1.6839803181053574,0.00043359772731875555,-9.9999999999999995e-07,1.0000009999999999,0.0062709685021494705,0.011504663997055581,1,1
61761,61200.586574490393,23.000162937358443,13,0.023541793869578831,18.151334742197214,0.0037128663026357099,41.856749563282342,0.0066149346753637921,0.0065931271373246064,0.0066151734159738112,0.0065933644487976848,0.89739903496595941,0.85152720479217481,2.3731147307838596e-07,0.0066140685636895073,0.0065922662477571224,446608.08000003727,8.3673627907596483e-14,1.691841151767874,0.00039506015549506016,-9.9999999999999995e-07,1.0000009999999999,0.0062584874181880867,0.0074140309854937763,1,1
65393,64799.630152776837,23.999897264660234,13,0.023532755387263796,17.921446966173246,0.0036761200961275826,43.395881692890214,0.0066246278508269888,0.0066027558767045424,0.0066250155828584539,0.0066031412736647088,0.8981876458661473,0.85276204586356785,3.8539696016644254e-07,0.0066233792697448805,0.0066015148218789592,446608.08000004437,9.9574223865114815e-14,1.7023968354829704,0.00040379964356402958,-9.9999999999999995e-07,1.0000009999999999,0.0062496054588749468,0.0080307202006970717,1,1
65394,64800.62107887218,24.00017252190894,13,0.023532751266332311,17.921349492987609,0.0036761055961427405,43.396387881802433,0.0066246324876957988,0.0066027604826782976,0.00662502034244192,0.0066031460015826705,0.89818872063398403,0.85276365801532295,3.8551890437291125e-07,0.0066233834069691034,0.0066015189314806207,446608.07999994938,1.1312883025513046e-13,1.7024016217987079,0.00040380364176414264,-9.9999999999999995e-07,1.0000009999999999,0.0062496026107792058,0.0080310879295952126,1,1
69027,68400.655583253974,25.000182106459437,12,0.023564015993416666,18.505849745070936,0.0036017461880581609,45.483518490092749,0.0065925062389412606,0.0065708457174384468,0.0065927535332344364,0.0065710915850925207,0.90074552614453374,0.85731187398132158,2.4586765407386829e-07,0.0065915202246021945,0.0065698655545843683,446608.08000009868,2.2117468311400504e-13,1.7296199627611024,0.00037231959279817201,-9.9999999999999995e-07,1.0000009999999999,0.0062343350204172041,0.0083558324857218418,1,1
72660,72000.690087635754,26.000191691009931,10,0.023607769471922592,20.154026801453366,0.0034579625061856587,50.266505655920106,0.0065472501279846039,0.0065258863528918918,0.0065473730108022371,0.0065260085081655711,0.90245554894573332,0.86055068685725522,1.2215527367930024e-07,0.0065468166221909936,0.0065254553971969683,446608.08000007551,1.6930224712144523e-13,1.7442020288306728,0.00032851109956258184,-9.9999999999999995e-07,1.0000009999999999,0.0062209875884472179,0.00700769974621312,1,1
76293,75600.724592017548,27.000201275560428,10,0.02360924922614983,20.121008613765131,0.0034528476381971047,50.766123399434221,0.0065457410167457349,0.0065243870039993837,0.006545861336174282,0.0065245066230173515,0.90257820682509815,0.86072130625133336,1.1961901796777447e-07,0.0065453147618277077,0.0065239632230737398,446608.07999995601,9.8270896327613312e-14,1.7443433037866145,0.00032696878198164005,-9.9999999999999995e-07,1.0000009999999999,0.006212644780134809,0.0070469363631132887,1,1
