step,elapsed_physical_time_s,experimental_age_h,particle_count,beta_volume_fraction,mean_radius_nm,Sv_nm_inv,M6_nm3,far_field_matrix_xB,far_field_matrix_xAg,far4_matrix_xB,far4_matrix_xAg,far3_fraction,far4_fraction,far3_far4_xAg_delta,broad_matrix_xB,broad_matrix_xAg,canonical_inventory_code,mass_relative_error,phi_normalized_l1_from_initial,xB_mean_absolute_from_initial,phi_min,phi_max,xB_min,xB_max,finite,bounds
0,0,6,96,0.023929606320328221,9.5416089872370247,0.0074261683025794983,5.3578245501188855,0.0062222153407838487,0.0062029173192369941,0.0062234054792285201,0.0062041001038732153,0.74256529348954015,0.58617690033731584,1.182784636221193e-06,0.0062197243032935451,0.0062004415591713959,446608.0800000442,9.9052892850114201e-14,0,0,0,0.99959300638327453,0.0059960598193698018,0.0063800572569443319,1,1
3633,3600.0345043817879,7.0000095845504964,89,0.022447353805349658,9.1333119881625073,0.0066654371538303649,6.3442390843944976,0.0077334191358129252,0.0077036206680266743,0.0077342393155660745,0.0077044366467251789,0.76759643488760887,0.62283790297748309,8.1597869850454779e-07,0.0077280789668548395,0.0076983145303635928,446608.08000001631,3.5971840035041454e-14,0.33729043643958728,0.0015022756960959916,-9.9999999999999995e-07,1.0000009999999999,0.0069571706585612198,0.018356694321775686,1,1
7266,7200.0690087635758,8.0000191691009928,60,0.022740793624341168,10.548207991781862,0.005932056638068217,9.5121678538115972,0.0074349568399326759,0.0074074102917681796,0.0074374701425945636,0.0074099059542113224,0.80607990791389172,0.69202594811988172,2.4956624431428029e-06,0.0074295232317518698,0.0074020133045755877,446608.07999996399,8.1197305586343571e-14,0.67347029710921857,0.0012060147004785144,-9.9999999999999995e-07,1.0000009999999999,0.0067906945844406806,0.015141830311264102,1,1
10899,10800.103513145363,9.00002875365149,48,0.022905804328246435,11.434842127953544,0.0055407130943001476,12.177944550978145,0.007263631007737659,0.0072373411020449554,0.0072641200839648912,0.0072378273104576965,0.82496599703256601,0.72543759172471756,4.8620841274112092e-07,0.0072613649763186953,0.00723508913380729,446608.07999999757,5.9953066725069082e-15,0.88355827098584305,0.0010392843152181703,-9.9999999999999995e-07,1.0000009999999999,0.0055754140176034377,0.0094621040295230479,1,1
14532,14400.138017527152,10.000038338201986,38,0.022968727444034477,12.242684758292894,0.0050986888651123902,15.672256396672392,0.0072076413523311043,0.0071817495414897613,0.0072132136740949981,0.0071872825487083328,0.84416753051131543,0.75773940319216793,5.5330072185715007e-06,0.0071984575308938516,0.007172628742144767,446608.079999985,3.4147181482539351e-14,1.0984629662838141,0.00097336914978180086,-9.9999999999999995e-07,1.0000009999999999,0.0057951306302540207,0.013688890965044642,1,1
18165,18000.172521908939,11.000047922752483,29,0.023161461200067301,13.615272181352074,0.0047445140848899597,19.317138744512999,0.0070055125842726192,0.0069810558164645903,0.0070070742379313598,0.0069826071102157255,0.86004977787235737,0.78606981315698543,1.5512937511352048e-06,0.0070016667480160858,0.006977235030428082,446608.08000001364,2.9976533362534542e-14,1.2626039850031319,0.00077938018239378821,-9.9999999999999995e-07,1.0000009999999999,0.0061003792584015826,0.01179464134895924,1,1
21798,21600.207026290725,12.00005750730298,26,0.023254970345766349,14.19240189115728,0.0045979364559959315,21.651352051959499,0.0069072566873866134,0.006883481433063882,0.006907411473317757,0.0068836355842500771,0.86613625530465099,0.7970092704099756,1.5415118619511309e-07,0.0069060410745182517,0.0068822727639946081,446608.08000004484,9.983488937261504e-14,1.3343947084175809,0.00068556291473896092,-9.9999999999999995e-07,1.0000009999999999,0.0061981351880600263,0.0097033252112450619,1,1
25431,25200.241530672516,13.000067091853477,24,0.023296039090037884,14.587165018718061,0.0044789041611732923,23.935199021812672,0.0068653531077308653,0.0068418652943478013,0.0068655966499824228,0.0068421075213996501,0.87054743837146875,0.80473120862479697,2.4222705184880067e-07,0.0068642222534627487,0.0068407409638070711,446608.08000002865,6.3602383830073291e-14,1.3866658288507376,0.00064391740740203359,-9.9999999999999995e-07,1.0000009999999999,0.0062355395294959471,0.0088501841490752509,1,1
29064,28800.276035054303,14.000076676403973,22,0.02332683945349702,15.017324231284674,0.0043505802757319145,26.600101056937412,0.0068349246028576128,0.0068116440907525925,0.0068355834671643637,0.006812298811062832,0.87501168810022423,0.81208665100729927,6.5472031023951216e-07,0.0068330016620516756,0.0068097330663023908,446608.08000002662,5.9040737448818039e-14,1.4359715153682477,0.00061242352403467445,-9.9999999999999995e-07,1.0000009999999999,0.0062520150499791316,0.0084927449776138909,1,1
32697,32400.31053943609,15.00008626095447,20,0.02338220737007567,15.581831511161079,0.0042327333064705068,29.495863494915799,0.0067774735949539134,0.0067545825983976737,0.0067774479681642283,0.006754557433834559,0.87946310778792891,0.82016480758700117,2.5164563114722649e-08,0.0067765212252693385,0.0067536357069197042,446608.08000001364,2.9976533362534542e-14,1.4750012408639777,0.00055655713029791444,-9.9999999999999995e-07,1.0000009999999999,0.0062552960361620556,0.007905575121244738,1,1
