replicate,snapshot_id,step,age_h,temperature_K,fixed_6h_matrix_xAg,pf_time_varying_matrix_xAg,kappa_L_no_dis_fixed_matrix_W_mK,kappa_L_no_dis_time_varying_matrix_W_mK,delta_kappa_PSD_W_mK,delta_kappa_PSD_plus_matrix_W_mK,delta_kappa_matrix_given_PSD_W_mK,reference_6h_full_psd_fixed_matrix_W_mK
A,A_step_000000,0,6,300,0.006203008315588036,0.006203008315588036,2.286472016948305,2.286472016948305,0,0,0,2.286472016948305
A,A_step_000000,0,6,350,0.006203008315588036,0.006203008315588036,2.006848059367202,2.006848059367202,0,0,0,2.006848059367202
A,A_step_000000,0,6,400,0.006203008315588036,0.006203008315588036,1.788094349936962,1.788094349936962,0,0,0,1.788094349936962
A,A_step_000000,0,6,450,0.006203008315588036,0.006203008315588036,1.612329479817464,1.612329479817464,0,0,0,1.612329479817464
A,A_step_000000,0,6,500,0.006203008315588036,0.006203008315588036,1.46803215534451,1.46803215534451,0,0,0,1.46803215534451
A,A_step_000000,0,6,550,0.006203008315588036,0.006203008315588036,1.34745301607876,1.34745301607876,0,0,0,1.34745301607876
A,A_step_000000,0,6,600,0.006203008315588036,0.006203008315588036,1.245191044636379,1.245191044636379,0,0,0,1.245191044636379
A,A_step_021798,21798,12,300,0.006203008315588036,0.006985509502374326,2.284364001806409,2.255495839860966,-0.002108015141895958,-0.03097617708733891,-0.02886816194544295,2.286472016948305
A,A_step_021798,21798,12,350,0.006203008315588036,0.006985509502374326,2.005201102244182,1.982695158591041,-0.001646957123019988,-0.0241529007761605,-0.02250594365314051,2.006848059367202
A,A_step_021798,21798,12,400,0.006203008315588036,0.006985509502374326,1.786772406783735,1.768734703563782,-0.001321943153227201,-0.01935964637318,-0.01803770321995279,1.788094349936962
A,A_step_021798,21798,12,450,0.006203008315588036,0.006985509502374326,1.611245179219902,1.596465197714655,-0.001084300597561816,-0.01586428210280832,-0.01477998150524651,1.612329479817464
A,A_step_021798,21798,12,500,0.006203008315588036,0.006985509502374326,1.467126820687049,1.45479497898005,-0.0009053346574607879,-0.01323717636445942,-0.01233184170699864,1.46803215534451
A,A_step_021798,21798,12,550,0.006203008315588036,0.006985509502374326,1.34668578917925,1.336240218977719,-0.0007672268995102538,-0.01121279710104162,-0.01044557020153136,1.34745301607876
A,A_step_021798,21798,12,600,0.006203008315588036,0.006985509502374326,1.244532606837153,1.235571165062896,-0.0006584377992258084,-0.009619879573482537,-0.008961441774256729,1.245191044636379
A,A_step_043596,43596,18,300,0.006203008315588036,0.006667503948157043,2.282778143037366,2.265409778982059,-0.003693873910938894,-0.0210622379662464,-0.01736836405530751,2.286472016948305
A,A_step_043596,43596,18,350,0.006203008315588036,0.006667503948157043,2.003806525456182,1.990287395419142,-0.003041533911019467,-0.01656066394805999,-0.01351913003704053,2.006848059367202
A,A_step_043596,43596,18,400,0.006203008315588036,0.006667503948157043,1.785558477636538,1.774736866182287,-0.002535872300423847,-0.01335748375467505,-0.0108216114542512,1.788094349936962
A,A_step_043596,43596,18,450,0.006203008315588036,0.006667503948157043,1.610188643457183,1.601330395288521,-0.002140836360280396,-0.01099908452894249,-0.008858248168662097,1.612329479817464
A,A_step_043596,43596,18,500,0.006203008315588036,0.006667503948157043,1.466203734398125,1.458818887299685,-0.001828420946384357,-0.009213268044824252,-0.007384847098439895,1.46803215534451
A,A_step_043596,43596,18,550,0.006203008315588036,0.006667503948157043,1.345874949237027,1.339624041293487,-0.001578066841733783,-0.007828974785273113,-0.00625090794353933,1.34745301607876
A,A_step_043596,43596,18,600,0.006203008315588036,0.006667503948157043,1.24381618746217,1.23845660410381,-0.001374857174208266,-0.006734440532569108,-0.005359583358360842,1.245191044636379
A,A_step_065393,65393,24,300,0.006203008315588036,0.006541991190685975,2.282999741133133,2.270248402323505,-0.003472275815171955,-0.01622361462480049,-0.01275133880962853,2.286472016948305
A,A_step_065393,65393,24,350,0.006203008315588036,0.006541991190685975,2.003817444159624,1.993899297171146,-0.003030615207577192,-0.01294876219605601,-0.009918146988478815,2.006848059367202
A,A_step_065393,65393,24,400,0.006203008315588036,0.006541991190685975,1.785467351717606,1.777532699583108,-0.002626998219355858,-0.01056165035385348,-0.007934652134497622,1.788094349936962
A,A_step_065393,65393,24,450,0.006203008315588036,0.006541991190685975,1.610048980579867,1.603556863264887,-0.002280499237596878,-0.008772616552576329,-0.006492117314979451,1.612329479817464
A,A_step_065393,65393,24,500,0.006203008315588036,0.006541991190685975,1.466043076505523,1.460632820345039,-0.001989078838987135,-0.007399334999470986,-0.005410256160483851,1.46803215534451
A,A_step_065393,65393,24,550,0.006203008315588036,0.006541991190685975,1.34570784495476,1.341129761281189,-0.001745171123999967,-0.006323254797571343,-0.004578083673571376,1.34745301607876
