replicate,snapshot_id,step,age_h,temperature_K,fixed_6h_matrix_xAg,pf_time_varying_matrix_xAg,kappa_L_no_dis_fixed_matrix_W_mK,kappa_L_no_dis_time_varying_matrix_W_mK,delta_kappa_PSD_W_mK,delta_kappa_PSD_plus_matrix_W_mK,delta_kappa_matrix_given_PSD_W_mK,reference_6h_full_psd_fixed_matrix_W_mK
B,B_step_000000,0,6,300,0.00620325449171481,0.00620325449171481,2.286462805318928,2.286462805318928,0,0,0,2.286462805318928
B,B_step_000000,0,6,350,0.00620325449171481,0.00620325449171481,2.006840884322763,2.006840884322763,0,0,0,2.006840884322763
B,B_step_000000,0,6,400,0.00620325449171481,0.00620325449171481,1.788088603914191,1.788088603914191,0,0,0,1.788088603914191
B,B_step_000000,0,6,450,0.00620325449171481,0.00620325449171481,1.612324774786462,1.612324774786462,0,0,0,1.612324774786462
B,B_step_000000,0,6,500,0.00620325449171481,0.00620325449171481,1.468028231998788,1.468028231998788,0,0,0,1.468028231998788
B,B_step_000000,0,6,550,0.00620325449171481,0.00620325449171481,1.347449694591704,1.347449694591704,0,0,0,1.347449694591704
B,B_step_000000,0,6,600,0.00620325449171481,0.00620325449171481,1.245188196394837,1.245188196394837,0,0,0,1.245188196394837
B,B_step_021798,21798,12,300,0.00620325449171481,0.006877363584316807,2.283733568394718,2.258782434153441,-0.00272923692421001,-0.02768037116548649,-0.02495113424127648,2.286462805318928
B,B_step_021798,21798,12,350,0.00620325449171481,0.006877363584316807,2.004711156479788,1.98526593012536,-0.002129727842975715,-0.02157495419740352,-0.0194452263544278,2.006840884322763
B,B_step_021798,21798,12,400,0.00620325449171481,0.006877363584316807,1.786380817473868,1.770800640125235,-0.001707786440323211,-0.01728796378895647,-0.01558017734863326,1.788088603914191
B,B_step_021798,21798,12,450,0.00620325449171481,0.006877363584316807,1.610925093950705,1.598161798267608,-0.001399680835757477,-0.01416297651885445,-0.01276329568309698,1.612324774786462
B,B_step_021798,21798,12,500,0.00620325449171481,0.006877363584316807,1.466860328445643,1.456213224674205,-0.001167903553145111,-0.01181500732458285,-0.01064710377143774,1.468028231998788
B,B_step_021798,21798,12,550,0.00620325449171481,0.006877363584316807,1.346460490621308,1.337443465640774,-0.0009892039703958133,-0.01000622895092973,-0.009017024980533916,1.347449694591704
B,B_step_021798,21798,12,600,0.00620325449171481,0.006877363584316807,1.244339648553978,1.23660488938326,-0.0008485478408590819,-0.008583307011577279,-0.007734759170718197,1.245188196394837
B,B_step_043596,43596,18,300,0.00620325449171481,0.00667776504527507,2.282590918262342,2.264874570108973,-0.003871887056585699,-0.02158823520995456,-0.01771634815336887,2.286462805318928
B,B_step_043596,43596,18,350,0.00620325449171481,0.00667776504527507,2.0037261094366,1.989933362975326,-0.00311477488616374,-0.01690752134743723,-0.01379274646127349,2.006840884322763
B,B_step_043596,43596,18,400,0.00620325449171481,0.00667776504527507,1.785534236082887,1.774491924349793,-0.002554367831304916,-0.01359667956439892,-0.011042311733094,1.788088603914191
B,B_step_043596,43596,18,450,0.00620325449171481,0.00667776504527507,1.610194819490127,1.601154829401992,-0.002129955296335639,-0.01116994538447025,-0.009039990088134608,1.612324774786462
B,B_step_043596,43596,18,500,0.00620325449171481,0.00667776504527507,1.466226496745388,1.458689406661691,-0.001801735253400327,-0.009338825337097623,-0.007537090083697295,1.468028231998788
B,B_step_043596,43596,18,550,0.00620325449171481,0.00667776504527507,1.345906567493427,1.339526282859221,-0.00154312709827642,-0.007923411732482899,-0.006380284634206479,1.347449694591704
B,B_step_043596,43596,18,600,0.00620325449171481,0.00667776504527507,1.243852216334522,1.238381336566183,-0.001335980060315434,-0.006806859828654366,-0.005470879768338932,1.245188196394837
B,B_step_065393,65393,24,300,0.00620325449171481,0.006602755876704542,2.282487588167525,2.267517808365507,-0.003975217151402699,-0.01894499695342056,-0.01496977980201786,2.286462805318928
B,B_step_065393,65393,24,350,0.00620325449171481,0.006602755876704542,2.003567714783683,1.991918357724468,-0.003273169539080634,-0.01492252659829552,-0.01164935705921488,2.006840884322763
B,B_step_065393,65393,24,400,0.00620325449171481,0.006602755876704542,1.785359617781316,1.776036461932544,-0.0027289861328752,-0.0120521419816475,-0.009323155848772302,1.788088603914191
B,B_step_065393,65393,24,450,0.00620325449171481,0.006602755876704542,1.610020915026793,1.602390435790004,-0.00230385975966918,-0.009934338996458125,-0.007630479236788945,1.612324774786462
B,B_step_065393,65393,24,500,0.00620325449171481,0.006602755876704542,1.466060583811555,1.459700106050683,-0.001967648187233051,-0.008328125948105169,-0.006360477760872119,1.468028231998788
B,B_step_065393,65393,24,550,0.00620325449171481,0.006602755876704542,1.345751469681719,1.340368223544476,-0.001698224909984836,-0.007081471047227783,-0.005383246137242947,1.347449694591704
B,B_step_065393,65393,24,600,0.00620325449171481,0.006602755876704542,1.243708659786501,1.23909344586308,-0.001479536608336218,-0.006094750531756787,-0.004615213923420569,1.245188196394837
B,B_step_108989,108989,36,300,0.00620325449171481,0.006468631313237943,2.282460875925627,2.272461584750819,-0.004001929393300685,-0.01400122056810904,-0.009999291174808356,2.286462805318928
B,B_step_108989,108989,36,350,0.00620325449171481,0.006468631313237943,2.003431631942672,1.995655371930771,-0.003409252380091488,-0.01118551239199239,-0.007776260011900904,2.006840884322763
B,B_step_108989,108989,36,400,0.00620325449171481,0.006468631313237943,1.785179433181367,1.778959180749727,-0.002909170732824595,-0.009129423164464745,-0.00622025243164015,1.788088603914191
B,B_step_108989,108989,36,450,0.00620325449171481,0.006468631313237943,1.609826998079205,1.6047381871747,-0.002497776707257149,-0.007586587611762452,-0.005088810904505303,1.612324774786462
B,B_step_108989,108989,36,500,0.00620325449171481,0.006468631313237943,1.465867372024528,1.461626986627508,-0.002160859974260187,-0.006401245371280728,-0.004240385397020541,1.468028231998788
B,B_step_108989,108989,36,550,0.00620325449171481,0.006468631313237943,1.345565730076455,1.341977875274355,-0.001883964515249081,-0.005471819317348858,-0.003587854802099777,1.347449694591704
B,B_step_108989,108989,36,600,0.00620325449171481,0.006468631313237943,1.243533332893257,1.240458113948615,-0.00165486350157984,-0.004730082446221973,-0.003075218944642133,1.245188196394837
B,B_step_152585,152585,48,300,0.00620325449171481,0.006474212975184828,2.283451724822528,2.273226941943359,-0.003011080496400087,-0.0132358633755687,-0.01022478287916861,2.286462805318928
B,B_step_152585,152585,48,350,0.00620325449171481,0.006474212975184828,2.004057986256765,1.996108071709796,-0.00278289806599874,-0.01073281261296777,-0.007949914546969028,2.006840884322763
B,B_step_152585,152585,48,400,0.00620325449171481,0.006474212975184828,1.785590419496452,1.779232281049566,-0.002498184417739635,-0.008856322864625676,-0.006358138446886041,1.788088603914191
B,B_step_152585,152585,48,450,0.00620325449171481,0.006474212975184828,1.61010405992105,1.604903091994933,-0.002220714865412088,-0.007421682791528994,-0.005200967926116906,1.612324774786462
B,B_step_152585,152585,48,500,0.00620325449171481,0.006474212975184828,1.466057732237322,1.4617243202114,-0.001970499761466238,-0.006303911787388206,-0.004333412025921968,1.468028231998788
B,B_step_152585,152585,48,550,0.00620325449171481,0.006474212975184828,1.345698115094264,1.342031847029343,-0.001751579497439648,-0.005417847562360745,-0.003666268064921097,1.347449694591704
B,B_step_152585,152585,48,600,0.00620325449171481,0.006474212975184828,1.243625917218587,1.240483701305883,-0.001562279176250181,-0.004704495088954097,-0.003142215912703916,1.245188196394837
