"particle_id","historical_particle_id","historical_radius_nm","registered_radius_nm"
"P000",0,8.167822574685072,8.0
"P001",1,8.192711243273335,8.0
"P002",2,8.217659915927882,8.0
"P003",3,8.24266904335484,8.0
"P004",4,8.267739079074019,8.5
"P005",5,8.2928704794609,8.5
"P006",6,8.318063703788999,8.5
"P007",7,8.343319214272638,8.5
"P008",8,8.368637476110125,8.5
"P009",9,8.394018957527372,8.5
"P010",10,8.419464129821929,8.5
"P011",11,8.44497346740748,8.5
"P012",12,8.470547447858777,8.5
"P013",13,8.496186551957047,8.5
"P014",14,8.521891263735872,8.5
"P015",15,8.547662070527556,8.5
"P016",16,8.57349946300998,8.5
"P017",17,8.59940393525398,8.5
"P018",18,8.625375984771232,8.5
"P019",19,8.65141611256266,8.5
"P020",20,8.677524823167401,8.5
"P021",21,8.703702624712312,8.5
"P022",22,8.729950028962051,8.5
"P023",23,8.756267551369708,9.0
"P024",24,8.782655711128063,9.0
"P025",25,8.809115031221411,9.0
"P026",26,8.835646038478012,9.0
"P027",27,8.862249263623182,9.0
"P028",28,8.888925241332986,9.0
"P029",29,8.915674510288623,9.0
"P030",30,8.942497613231446,9.0
"P031",31,8.969395097018669,9.0
"P032",32,8.996367512679782,9.0
"P033",33,9.023415415473647,9.0
"P034",34,9.050539364946317,9.0
"P035",35,9.07773992498962,9.0
"P036",36,9.105017663900455,9.0
"P037",37,9.13237315444087,9.0
"P038",38,9.159806973898926,9.0
"P039",39,9.187319704150335,9.0
"P040",40,9.214911931720938,9.0
"P041",41,9.24258424784998,9.0
"P042",42,9.27033724855426,9.5
"P043",43,9.298171534693102,9.5
"P044",44,9.326087712034253,9.5
"P045",45,9.35408639132063,9.5
"P046",46,9.382168188338008,9.5
"P047",47,9.410333723983623,9.5
"P048",48,9.438583624335735,9.5
"P049",49,9.46691852072416,9.5
"P050",50,9.495339049801773,9.5
"P051",51,9.523845853617026,9.5
"P052",52,9.552439579687507,9.5
"P053",53,9.581120881074519,9.5
"P054",54,9.609890416458747,9.5
"P055",55,9.638748850217002,9.5
"P056",56,9.667696852500075,9.5
"P057",57,9.696735099311736,9.5
"P058",58,9.725864272588863,9.5
"P059",59,9.755085060282777,10.0
"P060",60,9.784398156441751,10.0
"P061",61,9.813804261294756,10.0
"P062",62,9.843304081336465,10.0
"P063",63,9.872898329413498,10.0
"P064",64,9.902587724812012,10.0
"P065",65,9.932372993346567,10.0
"P066",66,9.962254867450381,10.0
"P067",67,9.992234086266949,10.0
"P068",68,10.022311395743056,10.0
"P069",69,10.05248754872325,10.0
"P070",70,10.082763305045743,10.0
"P071",71,10.113139431639844,10.0
"P072",72,10.143616702624886,10.0
"P073",73,10.17419589941071,10.0
"P074",74,10.204877810799736,10.0
"P075",75,10.235663233090664,10.0
"P076",76,10.266552970183795,10.5
"P077",77,10.297547833688073,10.5
"P078",78,10.328648643029796,10.5
"P079",79,10.359856225563131,10.5
"P080",80,10.391171416682385,10.5
"P081",81,10.422595059936098,10.5
"P082",82,10.454128007143026,10.5
"P083",83,10.485771118509994,10.5
"P084",84,10.517525262751715,10.5
"P085",85,10.549391317212569,10.5
"P086",86,10.581370167990414,10.5
"P087",87,10.613462710062471,10.5
"P088",88,10.645669847413286,10.5
"P089",89,10.67799249316487,10.5
"P090",90,10.710431569709035,10.5
"P091",91,10.742988008841944,10.5
"P092",92,10.77566275190099,11.0
"P093",93,10.80845674990398,11.0
"P094",94,10.841370963690732,11.0
"P095",95,10.874406364067081,11.0
