step,event_type,stable_particle_id,parent_count,child_count,qualified_dissolution,detail
2560,dissolution,13,1,0,1,continuous recorded volume decay
3072,dissolution,6,1,0,1,continuous recorded volume decay
3072,dissolution,28,1,0,1,continuous recorded volume decay
3072,dissolution,93,1,0,1,continuous recorded volume decay
3584,dissolution,75,1,0,1,continuous recorded volume decay
3584,dissolution,81,1,0,1,continuous recorded volume decay
3584,dissolution,88,1,0,1,continuous recorded volume decay
4096,dissolution,5,1,0,1,continuous recorded volume decay
4096,dissolution,10,1,0,1,continuous recorded volume decay
4096,dissolution,24,1,0,1,continuous recorded volume decay
4096,dissolution,31,1,0,1,continuous recorded volume decay
4096,dissolution,33,1,0,1,continuous recorded volume decay
4096,dissolution,40,1,0,1,continuous recorded volume decay
4096,dissolution,45,1,0,1,continuous recorded volume decay
4096,dissolution,79,1,0,1,continuous recorded volume decay
4096,dissolution,83,1,0,1,continuous recorded volume decay
4608,dissolution,4,1,0,1,continuous recorded volume decay
4608,dissolution,11,1,0,1,continuous recorded volume decay
4608,dissolution,30,1,0,1,continuous recorded volume decay
4608,dissolution,34,1,0,1,continuous recorded volume decay
4608,dissolution,67,1,0,1,continuous recorded volume decay
4608,dissolution,84,1,0,1,continuous recorded volume decay
5120,dissolution,91,1,0,1,continuous recorded volume decay
5120,dissolution,94,1,0,1,continuous recorded volume decay
5632,dissolution,42,1,0,1,continuous recorded volume decay
5632,dissolution,54,1,0,1,continuous recorded volume decay
5632,dissolution,61,1,0,1,continuous recorded volume decay
5632,dissolution,68,1,0,1,continuous recorded volume decay
6144,dissolution,22,1,0,1,continuous recorded volume decay
6144,dissolution,64,1,0,1,continuous recorded volume decay
6656,merge,-1,2,1,0,current component overlaps multiple parents
6656,dissolution,27,1,0,1,continuous recorded volume decay
6656,dissolution,44,1,0,1,continuous recorded volume decay
6656,dissolution,46,1,0,1,continuous recorded volume decay
6656,dissolution,74,1,0,1,continuous recorded volume decay
7168,dissolution,39,1,0,1,continuous recorded volume decay
7168,dissolution,55,1,0,1,continuous recorded volume decay
7168,dissolution,71,1,0,1,continuous recorded volume decay
