step,event_type,stable_particle_id,parent_count,child_count,qualified_dissolution,detail
2048,dissolution,51,1,0,1,continuous recorded volume decay
2560,dissolution,32,1,0,1,continuous recorded volume decay
3072,dissolution,29,1,0,1,continuous recorded volume decay
3072,dissolution,33,1,0,1,continuous recorded volume decay
3072,dissolution,86,1,0,1,continuous recorded volume decay
3584,dissolution,52,1,0,1,continuous recorded volume decay
3584,dissolution,53,1,0,1,continuous recorded volume decay
3584,dissolution,76,1,0,1,continuous recorded volume decay
4096,dissolution,14,1,0,1,continuous recorded volume decay
4096,dissolution,28,1,0,1,continuous recorded volume decay
4096,dissolution,45,1,0,1,continuous recorded volume decay
4096,dissolution,46,1,0,1,continuous recorded volume decay
4096,dissolution,56,1,0,1,continuous recorded volume decay
4096,dissolution,60,1,0,1,continuous recorded volume decay
4096,dissolution,84,1,0,1,continuous recorded volume decay
4096,dissolution,88,1,0,1,continuous recorded volume decay
4608,dissolution,10,1,0,1,continuous recorded volume decay
4608,dissolution,42,1,0,1,continuous recorded volume decay
4608,dissolution,43,1,0,1,continuous recorded volume decay
4608,dissolution,57,1,0,1,continuous recorded volume decay
4608,dissolution,70,1,0,1,continuous recorded volume decay
4608,dissolution,85,1,0,1,continuous recorded volume decay
5120,dissolution,24,1,0,1,continuous recorded volume decay
5120,dissolution,63,1,0,1,continuous recorded volume decay
5632,dissolution,16,1,0,1,continuous recorded volume decay
5632,dissolution,31,1,0,1,continuous recorded volume decay
5632,dissolution,79,1,0,1,continuous recorded volume decay
6144,dissolution,17,1,0,1,continuous recorded volume decay
6144,dissolution,94,1,0,1,continuous recorded volume decay
6656,dissolution,4,1,0,1,continuous recorded volume decay
6656,dissolution,54,1,0,1,continuous recorded volume decay
6656,dissolution,93,1,0,1,continuous recorded volume decay
6656,dissolution,8,1,0,1,continuous recorded volume decay
7168,dissolution,12,1,0,1,continuous recorded volume decay
7168,dissolution,23,1,0,1,continuous recorded volume decay
7168,dissolution,2,1,0,1,continuous recorded volume decay
