step,event_type,stable_particle_id,parent_count,child_count,qualified_dissolution,detail
2560,dissolution,79,1,0,1,continuous recorded volume decay
2560,dissolution,93,1,0,1,continuous recorded volume decay
3072,dissolution,52,1,0,1,continuous recorded volume decay
3072,dissolution,64,1,0,1,continuous recorded volume decay
3584,dissolution,3,1,0,1,continuous recorded volume decay
3584,dissolution,14,1,0,1,continuous recorded volume decay
3584,dissolution,35,1,0,1,continuous recorded volume decay
3584,dissolution,51,1,0,1,continuous recorded volume decay
3584,dissolution,66,1,0,1,continuous recorded volume decay
4096,dissolution,22,1,0,1,continuous recorded volume decay
4096,dissolution,24,1,0,1,continuous recorded volume decay
4096,dissolution,33,1,0,1,continuous recorded volume decay
4096,dissolution,58,1,0,1,continuous recorded volume decay
4096,dissolution,88,1,0,1,continuous recorded volume decay
4096,dissolution,89,1,0,1,continuous recorded volume decay
4096,dissolution,92,1,0,1,continuous recorded volume decay
4096,dissolution,95,1,0,1,continuous recorded volume decay
4608,dissolution,1,1,0,1,continuous recorded volume decay
4608,dissolution,6,1,0,1,continuous recorded volume decay
5120,dissolution,17,1,0,1,continuous recorded volume decay
5120,dissolution,30,1,0,1,continuous recorded volume decay
5120,dissolution,34,1,0,1,continuous recorded volume decay
5120,dissolution,37,1,0,1,continuous recorded volume decay
5632,dissolution,26,1,0,1,continuous recorded volume decay
5632,dissolution,54,1,0,1,continuous recorded volume decay
5632,dissolution,60,1,0,1,continuous recorded volume decay
5632,dissolution,71,1,0,1,continuous recorded volume decay
5632,dissolution,78,1,0,1,continuous recorded volume decay
5632,dissolution,0,1,0,1,continuous recorded volume decay
6144,dissolution,25,1,0,1,continuous recorded volume decay
6144,dissolution,29,1,0,1,continuous recorded volume decay
6144,dissolution,38,1,0,1,continuous recorded volume decay
6144,dissolution,55,1,0,1,continuous recorded volume decay
6144,dissolution,73,1,0,1,continuous recorded volume decay
6144,dissolution,8,1,0,1,continuous recorded volume decay
6656,dissolution,80,1,0,1,continuous recorded volume decay
6656,dissolution,85,1,0,1,continuous recorded volume decay
7168,dissolution,32,1,0,1,continuous recorded volume decay
7168,dissolution,48,1,0,1,continuous recorded volume decay
7168,dissolution,65,1,0,1,continuous recorded volume decay
7168,dissolution,75,1,0,1,continuous recorded volume decay
7266,dissolution,72,1,0,1,continuous recorded volume decay
