step,event_type,stable_particle_id,parent_count,child_count,qualified_dissolution,qualified_merge,parent_stable_ids,child_stable_id,detail
2560,dissolution,13,1,0,1,0,13,-1,continuous recorded volume decay
3072,dissolution,6,1,0,1,0,6,-1,continuous recorded volume decay
3072,dissolution,28,1,0,1,0,28,-1,continuous recorded volume decay
3072,dissolution,93,1,0,1,0,93,-1,continuous recorded volume decay
3584,dissolution,75,1,0,1,0,75,-1,continuous recorded volume decay
3584,dissolution,81,1,0,1,0,81,-1,continuous recorded volume decay
3584,dissolution,88,1,0,1,0,88,-1,continuous recorded volume decay
4096,dissolution,5,1,0,1,0,5,-1,continuous recorded volume decay
4096,dissolution,10,1,0,1,0,10,-1,continuous recorded volume decay
4096,dissolution,24,1,0,1,0,24,-1,continuous recorded volume decay
4096,dissolution,31,1,0,1,0,31,-1,continuous recorded volume decay
4096,dissolution,33,1,0,1,0,33,-1,continuous recorded volume decay
4096,dissolution,40,1,0,1,0,40,-1,continuous recorded volume decay
4096,dissolution,45,1,0,1,0,45,-1,continuous recorded volume decay
4096,dissolution,79,1,0,1,0,79,-1,continuous recorded volume decay
4096,dissolution,83,1,0,1,0,83,-1,continuous recorded volume decay
4608,dissolution,4,1,0,1,0,4,-1,continuous recorded volume decay
4608,dissolution,11,1,0,1,0,11,-1,continuous recorded volume decay
4608,dissolution,30,1,0,1,0,30,-1,continuous recorded volume decay
4608,dissolution,34,1,0,1,0,34,-1,continuous recorded volume decay
4608,dissolution,67,1,0,1,0,67,-1,continuous recorded volume decay
4608,dissolution,84,1,0,1,0,84,-1,continuous recorded volume decay
5120,dissolution,91,1,0,1,0,91,-1,continuous recorded volume decay
5120,dissolution,94,1,0,1,0,94,-1,continuous recorded volume decay
5632,dissolution,42,1,0,1,0,42,-1,continuous recorded volume decay
5632,dissolution,54,1,0,1,0,54,-1,continuous recorded volume decay
5632,dissolution,61,1,0,1,0,61,-1,continuous recorded volume decay
5632,dissolution,68,1,0,1,0,68,-1,continuous recorded volume decay
6144,dissolution,22,1,0,1,0,22,-1,continuous recorded volume decay
6144,dissolution,64,1,0,1,0,64,-1,continuous recorded volume decay
6656,merge,32,2,1,0,1,32+35,32,parent_id:overlap_voxels:parent_fraction:child_fraction=32:13037:0.99984661400414143:0.4032851795712562+35:18629:1:0.57626751631762918
6656,dissolution,27,1,0,1,0,27,-1,continuous recorded volume decay
6656,dissolution,44,1,0,1,0,44,-1,continuous recorded volume decay
6656,dissolution,46,1,0,1,0,46,-1,continuous recorded volume decay
6656,dissolution,74,1,0,1,0,74,-1,continuous recorded volume decay
7168,dissolution,39,1,0,1,0,39,-1,continuous recorded volume decay
7168,dissolution,55,1,0,1,0,55,-1,continuous recorded volume decay
7168,dissolution,71,1,0,1,0,71,-1,continuous recorded volume decay
