replicate,particle_id,lineage_member_particle_ids,step,elapsed_physical_time_s,experimental_age_h,stable_particle_id,component_label,threshold_voxel_count,h_volume_nm3,equivalent_radius_nm,centroid_x_nm,centroid_y_nm,centroid_z_nm
replicate_B,P018,P018,0,0,6,0,0,7649,2572.3800544338646,8.4999331102520408,240.9999991295638,12.000000572549736,217.0000014492893
replicate_B,P009,P009,0,0,6,1,1,7649,2572.380031691067,8.4999330852023132,2.000001457123401,26.99999885931981,159.99999965244416
replicate_B,P058,P058,0,0,6,2,2,9745,3591.3057490855258,9.4999486356667155,4.9999992807392042,51.999996178165993,94.000034514669949
replicate_B,P022,P022,0,0,6,3,3,7651,2572.387105444468,8.4999408764792257,244.00001695478139,105.0000021674535,122.00000750533044
replicate_B,P085,P085,0,0,6,4,4,12177,4848.9750235354823,10.499947137714869,241.99998754319267,121.00000649400809,188.00001187607745
replicate_B,P062,P062,0,0,6,5,5,10911,4188.719358548763,9.9999436220375646,7.9999839357844413,147.99999668175366,126.99999478680692
replicate_B,P010,P010,0,0,6,6,6,7649,2572.3799285455189,8.4999329715941307,2.9999992606520256,158.00000011038219,229.00000241142095
replicate_B,P061,P061,0,0,6,7,7,10911,4188.7243011032406,9.9999475552402508,0.99998917086749683,174.00002372644349,51.999999003534562
replicate_B,P041,P041,0,0,6,8,8,8631,3053.5580605208861,8.9999312300300787,236.00000022435958,204.00000045855998,111.00000160373418
replicate_B,P047,P047,0,0,6,9,9,9745,3591.2958911440996,9.4999399433758143,20.000001092068025,25.000001768097565,239.00000683348875
replicate_B,P090,P090,0,0,6,10,10,12177,4848.9898475068376,10.499957837622668,22.000004446227692,81.000012783496757,222.00004477470833
replicate_B,P075,P075,0,0,6,11,11,10912,4188.7406463331272,9.9999605624804246,28.00000614646099,130.00003116961346,21.99997098700192
replicate_B,P094,P094,0,0,6,12,12,13523,5575.2118119619518,10.999955311077679,31.000011532789767,230.00001307374063,94.999980549352657
replicate_B,P068,P068,0,0,6,13,13,10911,4188.7253814955639,9.9999484149980873,33.999990129224059,238.99997705024589,47.000024405100071
