case_id,case_label,family,particle_count,original_target_h_volume_nm3,selected_target_h_volume_nm3,planned_h_volume_nm3,absolute_error_nm3,relative_error,policy
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,1531490.9025410344,1531490.9025410344,1531490.87938799,0.023153044283390045,1.5117977028119948e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,1531490.9025410344,1531490.9025410344,1531490.87938799,0.023153044283390045,1.5117977028119948e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,1531490.9025410344,1531490.9025410344,1531490.87938799,0.023153044283390045,1.5117977028119948e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
004,NARROW_N512_A,NARROW,512,1531490.9025410344,1531490.9025410344,1531490.8139438564,0.0885971779935062,5.785028030300842e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
005,NARROW_N512_B,NARROW,512,1531490.9025410344,1531490.9025410344,1531490.8139438564,0.0885971779935062,5.785028030300842e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
006,NARROW_N512_C,NARROW,512,1531490.9025410344,1531490.9025410344,1531490.8139438564,0.0885971779935062,5.785028030300842e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,1531490.9025410344,1531490.9025410344,1531490.9448364251,0.042295390740036964,2.7617134825849032e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,1531490.9025410344,1531490.9025410344,1531490.9448364251,0.042295390740036964,2.7617134825849032e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,1531490.9025410344,1531490.9025410344,1531490.9448364251,0.042295390740036964,2.7617134825849032e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
010,BIMODAL_N512_A,BIMODAL,512,1531490.9025410344,1531490.9025410344,1531491.0102864276,0.10774539317935705,7.035327013734588e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
011,BIMODAL_N512_B,BIMODAL,512,1531490.9025410344,1531490.9025410344,1531491.0102864276,0.10774539317935705,7.035327013734588e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
012,BIMODAL_N512_C,BIMODAL,512,1531490.9025410344,1531490.9025410344,1531491.0102864276,0.10774539317935705,7.035327013734588e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
013,NARROW_N256_A,NARROW,256,1531490.9025410344,1531490.9025410344,1531490.944854684,0.042313649551942945,2.7629057072253294e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
014,NARROW_N256_B,NARROW,256,1531490.9025410344,1531490.9025410344,1531490.944854684,0.042313649551942945,2.7629057072253294e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
015,NARROW_N256_C,NARROW,256,1531490.9025410344,1531490.9025410344,1531490.944854684,0.042313649551942945,2.7629057072253294e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
016,NARROW_N640_A,NARROW,640,1531490.9025410344,1531490.9025410344,1531490.944829923,0.042288888711482286,2.761288927104757e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
017,NARROW_N640_B,NARROW,640,1531490.9025410344,1531490.9025410344,1531490.944829923,0.042288888711482286,2.761288927104757e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
018,NARROW_N640_C,NARROW,640,1531490.9025410344,1531490.9025410344,1531490.944829923,0.042288888711482286,2.761288927104757e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
019,NARROW_N704_A,NARROW,704,1531490.9025410344,1531490.9025410344,1531491.010272792,0.1077317576855421,7.034436672577987e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
020,NARROW_N704_B,NARROW,704,1531490.9025410344,1531490.9025410344,1531491.010272792,0.1077317576855421,7.034436672577987e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
021,NARROW_N704_C,NARROW,704,1531490.9025410344,1531490.9025410344,1531491.010272792,0.1077317576855421,7.034436672577987e-08,COMMON_INTEGER_REALIZABLE_H_VOLUME
