case_id,case_label,family,particle_count,radius_nm,integer_count,profile_h_volume_nm3
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,8.0,134,2144.6605848700437
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,8.25,0,2352.07114986578
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,8.5,116,2572.4407845623964
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,8.75,0,2806.1621880415323
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,9.0,96,3053.6280593591555
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,9.25,1,3315.231097606091
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,9.5,61,3591.3640018963897
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,9.75,62,3882.4194713057354
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,10.0,0,4188.790204894687
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,10.25,42,4510.868901748711
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,10.5,0,4849.048260952037
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,10.75,0,5203.720981583941
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,11.0,0,5575.279762734301
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,11.25,0,5964.117303480982
001,REF_BROAD_N512_A,REF_BROAD_METHOD1LIKE,512,11.5,0,6370.626302904078
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,8.0,134,2144.6605848700437
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,8.25,0,2352.07114986578
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,8.5,116,2572.4407845623964
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,8.75,0,2806.1621880415323
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,9.0,96,3053.6280593591555
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,9.25,1,3315.231097606091
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,9.5,61,3591.3640018963897
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,9.75,62,3882.4194713057354
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,10.0,0,4188.790204894687
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,10.25,42,4510.868901748711
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,10.5,0,4849.048260952037
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,10.75,0,5203.720981583941
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,11.0,0,5575.279762734301
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,11.25,0,5964.117303480982
002,REF_BROAD_N512_B,REF_BROAD_METHOD1LIKE,512,11.5,0,6370.626302904078
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,8.0,134,2144.6605848700437
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,8.25,0,2352.07114986578
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,8.5,116,2572.4407845623964
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,8.75,0,2806.1621880415323
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,9.0,96,3053.6280593591555
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,9.25,1,3315.231097606091
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,9.5,61,3591.3640018963897
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,9.75,62,3882.4194713057354
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,10.0,0,4188.790204894687
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,10.25,42,4510.868901748711
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,10.5,0,4849.048260952037
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,10.75,0,5203.720981583941
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,11.0,0,5575.279762734301
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,11.25,0,5964.117303480982
003,REF_BROAD_N512_C,REF_BROAD_METHOD1LIKE,512,11.5,0,6370.626302904078
004,NARROW_N512_A,NARROW,512,8.0,2,2144.6605848700437
004,NARROW_N512_A,NARROW,512,8.25,0,2352.07114986578
004,NARROW_N512_A,NARROW,512,8.5,1,2572.4407845623964
004,NARROW_N512_A,NARROW,512,8.75,122,2806.1621880415323
004,NARROW_N512_A,NARROW,512,9.0,385,3053.6280593591555
004,NARROW_N512_A,NARROW,512,9.25,2,3315.231097606091
004,NARROW_N512_A,NARROW,512,9.5,0,3591.3640018963897
004,NARROW_N512_A,NARROW,512,9.75,0,3882.4194713057354
004,NARROW_N512_A,NARROW,512,10.0,0,4188.790204894687
004,NARROW_N512_A,NARROW,512,10.25,0,4510.868901748711
004,NARROW_N512_A,NARROW,512,10.5,0,4849.048260952037
004,NARROW_N512_A,NARROW,512,10.75,0,5203.720981583941
004,NARROW_N512_A,NARROW,512,11.0,0,5575.279762734301
004,NARROW_N512_A,NARROW,512,11.25,0,5964.117303480982
004,NARROW_N512_A,NARROW,512,11.5,0,6370.626302904078
005,NARROW_N512_B,NARROW,512,8.0,2,2144.6605848700437
005,NARROW_N512_B,NARROW,512,8.25,0,2352.07114986578
005,NARROW_N512_B,NARROW,512,8.5,1,2572.4407845623964
005,NARROW_N512_B,NARROW,512,8.75,122,2806.1621880415323
005,NARROW_N512_B,NARROW,512,9.0,385,3053.6280593591555
005,NARROW_N512_B,NARROW,512,9.25,2,3315.231097606091
005,NARROW_N512_B,NARROW,512,9.5,0,3591.3640018963897
005,NARROW_N512_B,NARROW,512,9.75,0,3882.4194713057354
005,NARROW_N512_B,NARROW,512,10.0,0,4188.790204894687
005,NARROW_N512_B,NARROW,512,10.25,0,4510.868901748711
005,NARROW_N512_B,NARROW,512,10.5,0,4849.048260952037
005,NARROW_N512_B,NARROW,512,10.75,0,5203.720981583941
005,NARROW_N512_B,NARROW,512,11.0,0,5575.279762734301
005,NARROW_N512_B,NARROW,512,11.25,0,5964.117303480982
005,NARROW_N512_B,NARROW,512,11.5,0,6370.626302904078
006,NARROW_N512_C,NARROW,512,8.0,2,2144.6605848700437
006,NARROW_N512_C,NARROW,512,8.25,0,2352.07114986578
006,NARROW_N512_C,NARROW,512,8.5,1,2572.4407845623964
006,NARROW_N512_C,NARROW,512,8.75,122,2806.1621880415323
006,NARROW_N512_C,NARROW,512,9.0,385,3053.6280593591555
006,NARROW_N512_C,NARROW,512,9.25,2,3315.231097606091
006,NARROW_N512_C,NARROW,512,9.5,0,3591.3640018963897
006,NARROW_N512_C,NARROW,512,9.75,0,3882.4194713057354
006,NARROW_N512_C,NARROW,512,10.0,0,4188.790204894687
006,NARROW_N512_C,NARROW,512,10.25,0,4510.868901748711
006,NARROW_N512_C,NARROW,512,10.5,0,4849.048260952037
006,NARROW_N512_C,NARROW,512,10.75,0,5203.720981583941
006,NARROW_N512_C,NARROW,512,11.0,0,5575.279762734301
006,NARROW_N512_C,NARROW,512,11.25,0,5964.117303480982
006,NARROW_N512_C,NARROW,512,11.5,0,6370.626302904078
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,8.0,395,2144.6605848700437
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,8.25,2,2352.07114986578
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,8.5,0,2572.4407845623964
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,8.75,1,2806.1621880415323
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,9.0,1,3053.6280593591555
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,9.25,2,3315.231097606091
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,9.5,1,3591.3640018963897
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,9.75,3,3882.4194713057354
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,10.0,1,4188.790204894687
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,10.25,14,4510.868901748711
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,10.5,1,4849.048260952037
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,10.75,0,5203.720981583941
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,11.0,0,5575.279762734301
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,11.25,0,5964.117303480982
007,LONGTAIL_N512_A,SMALL_RICH_LONGTAIL,512,11.5,91,6370.626302904078
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,8.0,395,2144.6605848700437
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,8.25,2,2352.07114986578
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,8.5,0,2572.4407845623964
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,8.75,1,2806.1621880415323
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,9.0,1,3053.6280593591555
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,9.25,2,3315.231097606091
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,9.5,1,3591.3640018963897
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,9.75,3,3882.4194713057354
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,10.0,1,4188.790204894687
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,10.25,14,4510.868901748711
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,10.5,1,4849.048260952037
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,10.75,0,5203.720981583941
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,11.0,0,5575.279762734301
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,11.25,0,5964.117303480982
008,LONGTAIL_N512_B,SMALL_RICH_LONGTAIL,512,11.5,91,6370.626302904078
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,8.0,395,2144.6605848700437
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,8.25,2,2352.07114986578
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,8.5,0,2572.4407845623964
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,8.75,1,2806.1621880415323
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,9.0,1,3053.6280593591555
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,9.25,2,3315.231097606091
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,9.5,1,3591.3640018963897
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,9.75,3,3882.4194713057354
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,10.0,1,4188.790204894687
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,10.25,14,4510.868901748711
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,10.5,1,4849.048260952037
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,10.75,0,5203.720981583941
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,11.0,0,5575.279762734301
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,11.25,0,5964.117303480982
009,LONGTAIL_N512_C,SMALL_RICH_LONGTAIL,512,11.5,91,6370.626302904078
010,BIMODAL_N512_A,BIMODAL,512,8.0,332,2144.6605848700437
010,BIMODAL_N512_A,BIMODAL,512,8.25,0,2352.07114986578
010,BIMODAL_N512_A,BIMODAL,512,8.5,0,2572.4407845623964
010,BIMODAL_N512_A,BIMODAL,512,8.75,1,2806.1621880415323
010,BIMODAL_N512_A,BIMODAL,512,9.0,6,3053.6280593591555
010,BIMODAL_N512_A,BIMODAL,512,9.25,0,3315.231097606091
010,BIMODAL_N512_A,BIMODAL,512,9.5,13,3591.3640018963897
010,BIMODAL_N512_A,BIMODAL,512,9.75,0,3882.4194713057354
010,BIMODAL_N512_A,BIMODAL,512,10.0,0,4188.790204894687
010,BIMODAL_N512_A,BIMODAL,512,10.25,79,4510.868901748711
010,BIMODAL_N512_A,BIMODAL,512,10.5,76,4849.048260952037
010,BIMODAL_N512_A,BIMODAL,512,10.75,3,5203.720981583941
010,BIMODAL_N512_A,BIMODAL,512,11.0,2,5575.279762734301
010,BIMODAL_N512_A,BIMODAL,512,11.25,0,5964.117303480982
010,BIMODAL_N512_A,BIMODAL,512,11.5,0,6370.626302904078
011,BIMODAL_N512_B,BIMODAL,512,8.0,332,2144.6605848700437
011,BIMODAL_N512_B,BIMODAL,512,8.25,0,2352.07114986578
011,BIMODAL_N512_B,BIMODAL,512,8.5,0,2572.4407845623964
011,BIMODAL_N512_B,BIMODAL,512,8.75,1,2806.1621880415323
011,BIMODAL_N512_B,BIMODAL,512,9.0,6,3053.6280593591555
011,BIMODAL_N512_B,BIMODAL,512,9.25,0,3315.231097606091
011,BIMODAL_N512_B,BIMODAL,512,9.5,13,3591.3640018963897
011,BIMODAL_N512_B,BIMODAL,512,9.75,0,3882.4194713057354
011,BIMODAL_N512_B,BIMODAL,512,10.0,0,4188.790204894687
011,BIMODAL_N512_B,BIMODAL,512,10.25,79,4510.868901748711
011,BIMODAL_N512_B,BIMODAL,512,10.5,76,4849.048260952037
011,BIMODAL_N512_B,BIMODAL,512,10.75,3,5203.720981583941
011,BIMODAL_N512_B,BIMODAL,512,11.0,2,5575.279762734301
011,BIMODAL_N512_B,BIMODAL,512,11.25,0,5964.117303480982
011,BIMODAL_N512_B,BIMODAL,512,11.5,0,6370.626302904078
012,BIMODAL_N512_C,BIMODAL,512,8.0,332,2144.6605848700437
012,BIMODAL_N512_C,BIMODAL,512,8.25,0,2352.07114986578
012,BIMODAL_N512_C,BIMODAL,512,8.5,0,2572.4407845623964
012,BIMODAL_N512_C,BIMODAL,512,8.75,1,2806.1621880415323
012,BIMODAL_N512_C,BIMODAL,512,9.0,6,3053.6280593591555
012,BIMODAL_N512_C,BIMODAL,512,9.25,0,3315.231097606091
012,BIMODAL_N512_C,BIMODAL,512,9.5,13,3591.3640018963897
012,BIMODAL_N512_C,BIMODAL,512,9.75,0,3882.4194713057354
012,BIMODAL_N512_C,BIMODAL,512,10.0,0,4188.790204894687
012,BIMODAL_N512_C,BIMODAL,512,10.25,79,4510.868901748711
012,BIMODAL_N512_C,BIMODAL,512,10.5,76,4849.048260952037
012,BIMODAL_N512_C,BIMODAL,512,10.75,3,5203.720981583941
012,BIMODAL_N512_C,BIMODAL,512,11.0,2,5575.279762734301
012,BIMODAL_N512_C,BIMODAL,512,11.25,0,5964.117303480982
012,BIMODAL_N512_C,BIMODAL,512,11.5,0,6370.626302904078
013,NARROW_N256_A,NARROW,256,8.0,0,2144.6605848700437
013,NARROW_N256_A,NARROW,256,8.25,0,2352.07114986578
013,NARROW_N256_A,NARROW,256,8.5,0,2572.4407845623964
013,NARROW_N256_A,NARROW,256,8.75,0,2806.1621880415323
013,NARROW_N256_A,NARROW,256,9.0,0,3053.6280593591555
013,NARROW_N256_A,NARROW,256,9.25,0,3315.231097606091
013,NARROW_N256_A,NARROW,256,9.5,0,3591.3640018963897
013,NARROW_N256_A,NARROW,256,9.75,0,3882.4194713057354
013,NARROW_N256_A,NARROW,256,10.0,0,4188.790204894687
013,NARROW_N256_A,NARROW,256,10.25,0,4510.868901748711
013,NARROW_N256_A,NARROW,256,10.5,4,4849.048260952037
013,NARROW_N256_A,NARROW,256,10.75,1,5203.720981583941
013,NARROW_N256_A,NARROW,256,11.0,8,5575.279762734301
013,NARROW_N256_A,NARROW,256,11.25,211,5964.117303480982
