radius_nm,q,recorded_h_volume_nm3,ideal_quarter_nm_volume_nm3,recorded_minus_ideal_nm3,profile_manifest_path,profile_manifest_sha256
8.0,32.0,2144.6605848700437,2144.660584850632,1.9411800167290494e-08,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R8p0/profile_manifest.json,0c323647c09326d1c39e22d853f6cbda783dbdab72da9e308792cb3bd9b898b2
8.25,33.0,2352.07114986578,2352.071149834508,3.1272065825760365e-08,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R8p25/profile_manifest.json,05b2bec21dbfddda01f68c8cef5ecec116ad95f739ca246b7f578921129fef9c
8.5,34.0,2572.4407845623964,2572.440784514442,4.79544723930303e-08,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R8p5/profile_manifest.json,e843ea99518192a993c8c72448c969bf9fb3050495fe5fe595bda482fa13db2b
8.75,35.0,2806.1621880415323,2806.162187972133,6.939944796613418e-08,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R8p75/profile_manifest.json,7b0e3e6cd509273fc1f0d9cdae76877eeb5bfeb2e5659f2cdfb60cf58ed005fe
9.0,36.0,3053.6280593591555,3053.6280592892786,6.987693268456496e-08,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R9p0/profile_manifest.json,4c6db217f3628b5f523ef044cdb3fa4d807b28eac970c68c6dd09f0f4f6eabd7
9.25,37.0,3315.231097606091,3315.231097547579,5.851234163856134e-08,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R9p25/profile_manifest.json,eee044b7c348eec3c3761558036e9073889961a570b38c34afa621ad35374d48
9.5,38.0,3591.3640018963897,3591.3640018287315,6.76582203595899e-08,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R9p5/profile_manifest.json,e8909cf192b0250a2a3f81cd8f0c43c724334289d73e82668eb37b888bfad07f
9.75,39.0,3882.4194713057354,3882.419471214436,9.12996256374754e-08,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R9p75/profile_manifest.json,e95f3c1330fe617a0f55f1422108064c555570ca52db8a8bddd62877ffa625e0
10.0,40.0,4188.790204894687,4188.790204786391,1.0829626262420788e-07,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R10p0/profile_manifest.json,9268965465b8bed9c188f8b12b477beb77d79f76ebdb2676e348b9ee929c0164
10.25,41.0,4510.868901748711,4510.868901626294,1.2241707736393437e-07,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R10p25/profile_manifest.json,d39d4e35fa3872618892cd5aa57aabf200af6f360fb9bb94426bfcd519f6bad8
10.5,42.0,4849.048260952037,4849.048260815845,1.3619137462228537e-07,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R10p5/profile_manifest.json,ac559f2ff5aa9c32a194b454c9f3a1a41a3732dfc9368ee5cb526bd27c2e625e
10.75,43.0,5203.720981583941,5203.720981436743,1.4719717000843957e-07,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R10p75/profile_manifest.json,c00f668be51d1c78bd574a4e4b9af15bfd55407f15769abb1366fe4d7935558c
11.0,44.0,5575.279762734301,5575.279762570686,1.636144588701427e-07,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R11p0/profile_manifest.json,24569b86675506feeba1fa9139dff2ad6509892be8725e852e005eb9ce570069
11.25,45.0,5964.117303480982,5964.117303299372,1.8160972103942186e-07,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R11p25/profile_manifest.json,245e911a9fdb9c30b1b0838aa6af1ed3e8903317cfc5c6e1eff5545d3b8e85c1
11.5,46.0,6370.626302904078,6370.6263027045015,1.9957678887294605e-07,/Users/heng/Documents/GitHub/CUDA_STO_PF/data/qualification/pf_elastic_target_profile_quarter_nm_v2/profiles/R11p5/profile_manifest.json,d6593810c9b2463ed67cd34f4d798d5e8662b8edd1dfc9993f9a25a7329fd770
