temperature_K,matrix_mode,model,kappa_6h_member_mean_W_mK,kappa_24h_member_mean_W_mK,delta_member_mean_W_mK,relative_change_member_mean_percent,delta_member_min_W_mK,delta_member_max_W_mK
303.15,pf_time_varying_matrix,M0,1.22109101962,1.21765079475,-0.00344022487494,-0.281733697,-0.00448904441818,-0.00320328647896
303.15,pf_time_varying_matrix,MI,1.16149879276,1.16646215388,+0.00496336111519,+0.427323829,+0.00196278487224,+0.0145603303078
303.15,fixed_6h_matrix,M0,1.22109101962,1.22143087258,+0.000339852959312,+0.0278319105,+0.000302133410379,+0.000515159056884
303.15,fixed_6h_matrix,MI,1.16149879276,1.17011150843,+0.00861271567109,+0.741517402,+0.00540337869342,+0.0191798953112
323.15,pf_time_varying_matrix,M0,1.18621687308,1.18295833239,-0.00325854068292,-0.274700247,-0.00422044315509,-0.00304053291278
323.15,pf_time_varying_matrix,MI,1.1298180654,1.13451781833,+0.0046997529345,+0.415974313,+0.00185784928123,+0.0137511761531
323.15,fixed_6h_matrix,M0,1.18621687308,1.18652892765,+0.000312054576929,+0.0263067053,+0.000278544387084,+0.000466998698827
323.15,fixed_6h_matrix,MI,1.1298180654,1.13796886604,+0.00815080063764,+0.721425943,+0.00511729312443,+0.0180899429064
373.15,pf_time_varying_matrix,M0,1.10690312686,1.10404181163,-0.00286131522586,-0.258497348,-0.00364377839607,-0.00268266602158
373.15,pf_time_varying_matrix,MI,1.05742860723,1.06155819722,+0.00412958999181,+0.390531329,+0.00163187769755,+0.012010289411
373.15,fixed_6h_matrix,M0,1.10690312686,1.10715777184,+0.000254644988117,+0.0230051738,+0.000229348722945,+0.000370269059499
373.15,fixed_6h_matrix,MI,1.05742860723,1.06457750521,+0.00714889798117,+0.676064363,+0.00449504112798,+0.0157479870023
423.15,pf_time_varying_matrix,M0,1.03732454867,1.03479303889,-0.00253150977971,-0.244042213,-0.0031762344461,-0.00238335472138
423.15,pf_time_varying_matrix,MI,0.993549259762,0.997210565802,+0.00366130604004,+0.368507752,+0.00144710448484,+0.0105910620647
423.15,fixed_6h_matrix,M0,1.03732454867,1.03753508357,+0.000210534897711,+0.0202959525,+0.000191076633942,+0.000298593722377
423.15,fixed_6h_matrix,MI,0.993549259762,0.999873369119,+0.00632410935691,+0.636516941,+0.00398102802044,+0.0138432147123
473.15,pf_time_varying_matrix,M0,0.975871470673,0.973616383314,-0.00225508735882,-0.231084464,-0.00279245324365,-0.00213089568052
473.15,pf_time_varying_matrix,MI,0.936845174551,0.94011663778,+0.00327146322828,+0.349199987,+0.00129371783913,+0.00941767352543
473.15,fixed_6h_matrix,M0,0.975871470673,0.976047575761,+0.000176105088636,+0.0180459306,+0.000160888011896,+0.000244374740173
473.15,fixed_6h_matrix,MI,0.936845174551,0.942482057868,+0.00563688331684,+0.601687821,+0.00355154564497,+0.0122724717818
523.15,pf_time_varying_matrix,M0,0.92123716946,0.919215862246,-0.0020213072145,-0.219412251,-0.00247381439855,-0.00191619435206
523.15,pf_time_varying_matrix,MI,0.886211522183,0.889154629264,+0.00294310708072,+0.332099844,+0.00116476196757,+0.00843555616373
523.15,fixed_6h_matrix,M0,0.92123716946,0.921386012419,+0.000148842958673,+0.0161568555,+0.000136767457959,+0.000202605546909
523.15,fixed_6h_matrix,MI,0.886211522183,0.891269587561,+0.00505806537793,+0.57075148,+0.00318898220772,+0.0109612797046
573.15,pf_time_varying_matrix,M0,0.872366031558,0.870544107577,-0.00182192398021,-0.20884857,-0.00220650037857,-0.00173218300432
573.15,pf_time_varying_matrix,MI,0.840743538279,0.843407232852,+0.00266369457357,+0.316826054,+0.00105515825194,+0.00760460950639
573.15,fixed_6h_matrix,M0,0.872366031558,0.872493006427,+0.000126974869137,+0.0145552285,+0.000117266996084,+0.000169903970349
573.15,fixed_6h_matrix,MI,0.840743538279,0.84530936585,+0.0045658275719,+0.543070195,+0.00288006700367,+0.00985485588564
