age_h,step,xB_matrix,xBtot,phase
6.0000000000,0,6.2192797672786e-03,3.0000000000000e-02,initial_fixture
6.0704658557,256,7.6274064532000e-03,3.0000000000000e-02,6-12h
6.1409317114,512,7.7363590480000e-03,3.0000000000000e-02,6-12h
6.2113975671,768,7.7305385147000e-03,3.0000000000000e-02,6-12h
6.2818634229,1024,7.7266374569000e-03,3.0000000000000e-02,6-12h
6.3523292786,1280,7.7269969963000e-03,3.0000000000000e-02,6-12h
6.4227951343,1536,7.7292906272000e-03,3.0000000000000e-02,6-12h
6.4932609900,1792,7.7336508341000e-03,3.0000000000000e-02,6-12h
6.5637268457,2048,7.7403372802000e-03,3.0000000000000e-02,6-12h
6.6341927014,2304,7.7517844194000e-03,3.0000000000000e-02,6-12h
6.7046585572,2560,7.7471535559000e-03,3.0000000000000e-02,6-12h
6.7751244129,2816,7.7649516465000e-03,3.0000000000000e-02,6-12h
6.8455902686,3072,7.7654869489000e-03,3.0000000000000e-02,6-12h
6.9160561243,3328,7.7492152832000e-03,3.0000000000000e-02,6-12h
6.9865219800,3584,7.7001227437000e-03,3.0000000000000e-02,6-12h
7.0569878357,3840,7.6743735534000e-03,3.0000000000000e-02,6-12h
7.1274536914,4096,7.6247674250000e-03,3.0000000000000e-02,6-12h
7.1979195472,4352,7.6216472379000e-03,3.0000000000000e-02,6-12h
7.2683854029,4608,7.5827750216000e-03,3.0000000000000e-02,6-12h
7.3388512586,4864,7.5660842064000e-03,3.0000000000000e-02,6-12h
7.4093171143,5120,7.5425913448000e-03,3.0000000000000e-02,6-12h
7.4797829700,5376,7.5247173126000e-03,3.0000000000000e-02,6-12h
7.5502488257,5632,7.5093008385000e-03,3.0000000000000e-02,6-12h
7.6207146815,5888,7.5062713469000e-03,3.0000000000000e-02,6-12h
7.6911805372,6144,7.5038099220000e-03,3.0000000000000e-02,6-12h
7.7616463929,6400,7.4890597581000e-03,3.0000000000000e-02,6-12h
7.8321122486,6656,7.4719827675000e-03,3.0000000000000e-02,6-12h
7.9025781043,6912,7.4569470368000e-03,3.0000000000000e-02,6-12h
7.9730439600,7168,7.4053000385000e-03,3.0000000000000e-02,6-12h
8.0435098158,7424,7.3796774154000e-03,3.0000000000000e-02,6-12h
8.1139756715,7680,7.3808280344000e-03,3.0000000000000e-02,6-12h
8.1844415272,7936,7.3796097669000e-03,3.0000000000000e-02,6-12h
8.2549073829,8192,7.3609858974000e-03,3.0000000000000e-02,6-12h
8.3253732386,8448,7.3469183687000e-03,3.0000000000000e-02,6-12h
8.3958390943,8704,7.3238084863000e-03,3.0000000000000e-02,6-12h
8.4663049500,8960,7.3115708230000e-03,3.0000000000000e-02,6-12h
8.5367708058,9216,7.3136400065000e-03,3.0000000000000e-02,6-12h
8.6072366615,9472,7.3225800427000e-03,3.0000000000000e-02,6-12h
8.6777025172,9728,7.3221117675000e-03,3.0000000000000e-02,6-12h
8.7481683729,9984,7.2951249356000e-03,3.0000000000000e-02,6-12h
8.8186342286,10240,7.2810035605000e-03,3.0000000000000e-02,6-12h
8.8891000843,10496,7.2827743264000e-03,3.0000000000000e-02,6-12h
8.9595659401,10752,7.2917313972000e-03,3.0000000000000e-02,6-12h
9.0300317958,11008,7.2879296347000e-03,3.0000000000000e-02,6-12h
9.1004976515,11264,7.2958011864000e-03,3.0000000000000e-02,6-12h
9.1709635072,11520,7.2755329145000e-03,3.0000000000000e-02,6-12h
9.2414293629,11776,7.2745069112000e-03,3.0000000000000e-02,6-12h
9.3118952186,12032,7.2817747783000e-03,3.0000000000000e-02,6-12h
9.3823610743,12288,7.2621473275000e-03,3.0000000000000e-02,6-12h
9.4528269301,12544,7.2266929161000e-03,3.0000000000000e-02,6-12h
9.5232927858,12800,7.2188619913000e-03,3.0000000000000e-02,6-12h
9.5937586415,13056,7.1737932169000e-03,3.0000000000000e-02,6-12h
9.6642244972,13312,7.1571802502000e-03,3.0000000000000e-02,6-12h
9.7346903529,13568,7.1624539362000e-03,3.0000000000000e-02,6-12h
9.8051562086,13824,7.1602974909000e-03,3.0000000000000e-02,6-12h
9.8756220644,14080,7.1576120842000e-03,3.0000000000000e-02,6-12h
9.9460879201,14336,7.1272981007000e-03,3.0000000000000e-02,6-12h
10.0165537758,14592,7.0999161400000e-03,3.0000000000000e-02,6-12h
10.0870196315,14848,7.0746572427000e-03,3.0000000000000e-02,6-12h
10.1574854872,15104,7.0612814357000e-03,3.0000000000000e-02,6-12h
10.2279513429,15360,7.0604633763000e-03,3.0000000000000e-02,6-12h
10.2984171986,15616,7.0675323123000e-03,3.0000000000000e-02,6-12h
10.3688830544,15872,7.0540532003000e-03,3.0000000000000e-02,6-12h
10.4393489101,16128,7.0519554074000e-03,3.0000000000000e-02,6-12h
10.5098147658,16384,7.0345024736000e-03,3.0000000000000e-02,6-12h
10.5802806215,16640,7.0282712199000e-03,3.0000000000000e-02,6-12h
10.6507464772,16896,7.0308524253000e-03,3.0000000000000e-02,6-12h
10.7212123329,17152,7.0133472758000e-03,3.0000000000000e-02,6-12h
10.7916781887,17408,7.0104984161000e-03,3.0000000000000e-02,6-12h
10.8621440444,17664,7.0141018777000e-03,3.0000000000000e-02,6-12h
10.9326099001,17920,7.0215606394000e-03,3.0000000000000e-02,6-12h
11.0030757558,18176,7.0080864614000e-03,3.0000000000000e-02,6-12h
11.0735416115,18432,6.9894952873000e-03,3.0000000000000e-02,6-12h
11.1440074672,18688,6.9907878093000e-03,3.0000000000000e-02,6-12h
11.2144733230,18944,6.9713177086000e-03,3.0000000000000e-02,6-12h
11.2849391787,19200,6.9392543778000e-03,3.0000000000000e-02,6-12h
11.3554050344,19456,6.9263214609000e-03,3.0000000000000e-02,6-12h
11.4258708901,19712,6.9212767640000e-03,3.0000000000000e-02,6-12h
11.4963367458,19968,6.9205060662000e-03,3.0000000000000e-02,6-12h
11.5668026015,20224,6.9209665744000e-03,3.0000000000000e-02,6-12h
11.6372684572,20480,6.9220437771000e-03,3.0000000000000e-02,6-12h
11.7077343130,20736,6.9236460044000e-03,3.0000000000000e-02,6-12h
11.7782001687,20992,6.9260919610000e-03,3.0000000000000e-02,6-12h
11.8486660244,21248,6.9309385103000e-03,3.0000000000000e-02,6-12h
11.9191318801,21504,6.9157256489000e-03,3.0000000000000e-02,6-12h
11.9895977358,21760,6.9083197989000e-03,3.0000000000000e-02,6-12h
12.0600635915,22016,6.9095951459000e-03,3.0000000000000e-02,12-48h
12.1305294473,22272,6.8950794987000e-03,3.0000000000000e-02,12-48h
12.2009953030,22528,6.8877583194000e-03,3.0000000000000e-02,12-48h
12.2714611587,22784,6.8842501251000e-03,3.0000000000000e-02,12-48h
12.3419270144,23040,6.8832130936000e-03,3.0000000000000e-02,12-48h
12.4123928701,23296,6.8831110863000e-03,3.0000000000000e-02,12-48h
12.4828587258,23552,6.8834010083000e-03,3.0000000000000e-02,12-48h
12.5533245815,23808,6.8838897947000e-03,3.0000000000000e-02,12-48h
12.6237904373,24064,6.8844354161000e-03,3.0000000000000e-02,12-48h
12.6942562930,24320,6.8850744048000e-03,3.0000000000000e-02,12-48h
12.7647221487,24576,6.8857938228000e-03,3.0000000000000e-02,12-48h
12.8351880044,24832,6.8865965203000e-03,3.0000000000000e-02,12-48h
12.9056538601,25088,6.8874915168000e-03,3.0000000000000e-02,12-48h
12.9761197158,25344,6.8884924900000e-03,3.0000000000000e-02,12-48h
13.0465855716,25600,6.8896206203000e-03,3.0000000000000e-02,12-48h
13.1170514273,25856,6.8909073841000e-03,3.0000000000000e-02,12-48h
13.1875172830,26112,6.8923852918000e-03,3.0000000000000e-02,12-48h
13.2579831387,26368,6.8941055889000e-03,3.0000000000000e-02,12-48h
13.3284489944,26624,6.8961664897000e-03,3.0000000000000e-02,12-48h
13.3989148501,26880,6.8987254912000e-03,3.0000000000000e-02,12-48h
13.4693807058,27136,6.9022032488000e-03,3.0000000000000e-02,12-48h
13.5398465616,27392,6.9083694755000e-03,3.0000000000000e-02,12-48h
13.6103124173,27648,6.8932415705000e-03,3.0000000000000e-02,12-48h
13.6807782730,27904,6.8845934160000e-03,3.0000000000000e-02,12-48h
13.7512441287,28160,6.8832195892000e-03,3.0000000000000e-02,12-48h
13.8217099844,28416,6.8876109536000e-03,3.0000000000000e-02,12-48h
13.8921758401,28672,6.8675392184000e-03,3.0000000000000e-02,12-48h
13.9626416959,28928,6.8560770463000e-03,3.0000000000000e-02,12-48h
14.0331075516,29184,6.8529179985000e-03,3.0000000000000e-02,12-48h
14.1035734073,29440,6.8526642082000e-03,3.0000000000000e-02,12-48h
14.1740392630,29696,6.8540063407000e-03,3.0000000000000e-02,12-48h
14.2445051187,29952,6.8563522776000e-03,3.0000000000000e-02,12-48h
14.3149709744,30208,6.8599820707000e-03,3.0000000000000e-02,12-48h
14.3854368302,30464,6.8592544000000e-03,3.0000000000000e-02,12-48h
14.4559026859,30720,6.8457552401000e-03,3.0000000000000e-02,12-48h
14.5263685416,30976,6.8433162117000e-03,3.0000000000000e-02,12-48h
14.5968343973,31232,6.8439653905000e-03,3.0000000000000e-02,12-48h
14.6673002530,31488,6.8471888213000e-03,3.0000000000000e-02,12-48h
14.7377661087,31744,6.8460314359000e-03,3.0000000000000e-02,12-48h
14.8082319644,32000,6.8256274449000e-03,3.0000000000000e-02,12-48h
14.8786978202,32256,6.8165563294000e-03,3.0000000000000e-02,12-48h
14.9491636759,32512,6.8149294890000e-03,3.0000000000000e-02,12-48h
15.0196295316,32768,6.8170568314000e-03,3.0000000000000e-02,12-48h
15.0900953873,33024,6.8131631076000e-03,3.0000000000000e-02,12-48h
15.1605612430,33280,6.7947295214000e-03,3.0000000000000e-02,12-48h
15.2310270987,33536,6.7873615784000e-03,3.0000000000000e-02,12-48h
15.3014929545,33792,6.7861591679000e-03,3.0000000000000e-02,12-48h
15.3719588102,34048,6.7854127837000e-03,3.0000000000000e-02,12-48h
15.4424246659,34304,6.7626354246000e-03,3.0000000000000e-02,12-48h
15.5128905216,34560,6.7557581300000e-03,3.0000000000000e-02,12-48h
15.5833563773,34816,6.7532210711000e-03,3.0000000000000e-02,12-48h
15.6538222330,35072,6.7513255736000e-03,3.0000000000000e-02,12-48h
15.7242880887,35328,6.7508903816000e-03,3.0000000000000e-02,12-48h
15.7947539445,35584,6.7510750304000e-03,3.0000000000000e-02,12-48h
15.8652198002,35840,6.7514183074000e-03,3.0000000000000e-02,12-48h
15.9356856559,36096,6.7518568969000e-03,3.0000000000000e-02,12-48h
16.0061515116,36352,6.7523635307000e-03,3.0000000000000e-02,12-48h
16.0766173673,36608,6.7529382200000e-03,3.0000000000000e-02,12-48h
16.1470832230,36864,6.7535755406000e-03,3.0000000000000e-02,12-48h
16.2175490788,37120,6.7542763026000e-03,3.0000000000000e-02,12-48h
16.2880149345,37376,6.7550443016000e-03,3.0000000000000e-02,12-48h
16.3584807902,37632,6.7558876842000e-03,3.0000000000000e-02,12-48h
16.4289466459,37888,6.7568233380000e-03,3.0000000000000e-02,12-48h
16.4994125016,38144,6.7578765160000e-03,3.0000000000000e-02,12-48h
16.5698783573,38400,6.7590748031000e-03,3.0000000000000e-02,12-48h
16.6403442130,38656,6.7604648032000e-03,3.0000000000000e-02,12-48h
16.7108100688,38912,6.7621265313000e-03,3.0000000000000e-02,12-48h
16.7812759245,39168,6.7642650013000e-03,3.0000000000000e-02,12-48h
