step,age_h,registered_age_h,elapsed_physical_time_s,source_phi,source_xB,beta_volume_fraction,beta_volume_fraction_from_particles,matrix_xB_h_lt_0p005,matrix_xAg_h_lt_0p005,mean_C_B_tot,target_C_B_tot,resolved_particle_count,unexpected_merge
0,6.0,6.0,0.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_init.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_0.vtk,0.02392954496679758,0.02392903052073224,0.0062200000000001325,0.006200715773943168,0.03000070319710406,0.03,96,0
3633,7.0,7.0,3600.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_3633.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_3633.vtk,0.02247121610351774,0.02247078377390807,0.007703875809002669,0.007674314824837801,0.030000000562205496,0.03,85,0
7266,8.0,8.0,7200.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_7266.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_7266.vtk,0.022765359248273515,0.022764993130115957,0.007404414714576416,0.007377103149022631,0.0299999978983918,0.03,59,0
10899,9.0,9.0,10800.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_10899.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_10899.vtk,0.022873242773653046,0.022872909132305986,0.007294790204562937,0.007268279915995325,0.03000000102260577,0.03,49,0
14532,10.0,10.0,14400.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_14532.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_14532.vtk,0.023058647913040138,0.023058354185534008,0.007106191573353222,0.007081031988429811,0.03000000060919844,0.03,36,0
18165,11.0,11.0,18000.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_18165.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_18165.vtk,0.02315048290180727,0.023150211310263676,0.007012776021047912,0.006988272426397716,0.029999996322613427,0.03,30,0
21798,12.0,12.0,21600.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/phi_21798.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_6h12h_dt0p02_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps21800_xB0.030/raw_fields_relax/xB_21798.vtk,0.023251655515650897,0.02325139449293978,0.0069093097288467015,0.0068855226246174695,0.029999999250405043,0.03,27,0
25431,13.0,13.0,25200.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_25431.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_25431.vtk,0.023270604057407246,0.023270347560130914,0.006890057890700849,0.006866402933843319,0.03000001013219879,0.03,26,0
29064,14.0,14.0,28800.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_29064.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_29064.vtk,0.023304801314638034,0.023304553946641923,0.006855336114645532,0.006831918565607966,0.029999998531755022,0.03,24,0
32697,15.0,15.0,32400.0,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/phi_32697.vtk,/data/home/luozhiheng/tmp/pf_random_psd_v2_246x96_elastic_12h48h_20260730/Results/chel_T380_cuda_246x246x246_dt0.02_steps152600_xB0.030/xB_32697.vtk,0.023341743583137696,0.023341507861477755,0.006817857870142471,0.006794695236944262,0.030000008151534585,0.03,22,0
