step,registered_age_h,age_h,radius_bin_left_nm,radius_bin_right_nm,radius_bin_center_nm,count,number_fraction,n_of_R_nm^-4,M6_bin_contribution_nm^3
0,6.0,6.0,0.0,2.0,1.0,0,0.0,0.0,0.0
0,6.0,6.0,2.0,4.0,3.0,0,0.0,0.0,0.0
0,6.0,6.0,4.0,6.0,5.0,0,0.0,0.0,0.0
0,6.0,6.0,6.0,8.0,7.0,0,0.0,0.0,0.0
0,6.0,6.0,8.0,10.0,9.0,65,0.6770833333333334,2.1831221683226152e-06,2.5888133328888334
0,6.0,6.0,10.0,12.0,11.0,31,0.3229166666666667,1.0411813418154012e-06,2.7737921031794124
0,6.0,6.0,12.0,14.0,13.0,0,0.0,0.0,0.0
0,6.0,6.0,14.0,16.0,15.0,0,0.0,0.0,0.0
0,6.0,6.0,16.0,18.0,17.0,0,0.0,0.0,0.0
0,6.0,6.0,18.0,20.0,19.0,0,0.0,0.0,0.0
0,6.0,6.0,20.0,22.0,21.0,0,0.0,0.0,0.0
0,6.0,6.0,22.0,24.0,23.0,0,0.0,0.0,0.0
0,6.0,6.0,24.0,26.0,25.0,0,0.0,0.0,0.0
0,6.0,6.0,26.0,28.0,27.0,0,0.0,0.0,0.0
0,6.0,6.0,28.0,30.0,29.0,0,0.0,0.0,0.0
0,6.0,6.0,30.0,32.0,31.0,0,0.0,0.0,0.0
3633,7.0,7.0,0.0,2.0,1.0,1,0.011764705882352941,3.3586494897271006e-08,4.826291858714832e-07
3633,7.0,7.0,2.0,4.0,3.0,1,0.011764705882352941,3.3586494897271006e-08,0.00021478583481664078
3633,7.0,7.0,4.0,6.0,5.0,4,0.047058823529411764,1.3434597958908403e-07,0.003891924564688213
3633,7.0,7.0,6.0,8.0,7.0,13,0.15294117647058825,4.3662443366452306e-07,0.11712724083879307
3633,7.0,7.0,8.0,10.0,9.0,28,0.32941176470588235,9.40421857123588e-07,1.1456259168442628
3633,7.0,7.0,10.0,12.0,11.0,36,0.4235294117647059,1.209113816301756e-06,4.735103775320562
3633,7.0,7.0,12.0,14.0,13.0,2,0.023529411764705882,6.717298979454201e-08,0.41721231278412774
3633,7.0,7.0,14.0,16.0,15.0,0,0.0,0.0,0.0
3633,7.0,7.0,16.0,18.0,17.0,0,0.0,0.0,0.0
3633,7.0,7.0,18.0,20.0,19.0,0,0.0,0.0,0.0
3633,7.0,7.0,20.0,22.0,21.0,0,0.0,0.0,0.0
3633,7.0,7.0,22.0,24.0,23.0,0,0.0,0.0,0.0
3633,7.0,7.0,24.0,26.0,25.0,0,0.0,0.0,0.0
3633,7.0,7.0,26.0,28.0,27.0,0,0.0,0.0,0.0
3633,7.0,7.0,28.0,30.0,29.0,0,0.0,0.0,0.0
3633,7.0,7.0,30.0,32.0,31.0,0,0.0,0.0,0.0
7266,8.0,8.0,0.0,2.0,1.0,1,0.01694915254237288,3.3586494897271006e-08,1.0220697601667218e-06
7266,8.0,8.0,2.0,4.0,3.0,0,0.0,0.0,0.0
7266,8.0,8.0,4.0,6.0,5.0,1,0.01694915254237288,3.3586494897271006e-08,0.0024024310096426695
7266,8.0,8.0,6.0,8.0,7.0,4,0.06779661016949153,1.3434597958908403e-07,0.028639286517973338
7266,8.0,8.0,8.0,10.0,9.0,15,0.2542372881355932,5.037974234590651e-07,0.671804836597131
7266,8.0,8.0,10.0,12.0,11.0,17,0.288135593220339,5.70970413253607e-07,2.1547591045042642
7266,8.0,8.0,12.0,14.0,13.0,21,0.3559322033898305,7.053163928426911e-07,6.368845804328296
7266,8.0,8.0,14.0,16.0,15.0,0,0.0,0.0,0.0
7266,8.0,8.0,16.0,18.0,17.0,0,0.0,0.0,0.0
7266,8.0,8.0,18.0,20.0,19.0,0,0.0,0.0,0.0
7266,8.0,8.0,20.0,22.0,21.0,0,0.0,0.0,0.0
7266,8.0,8.0,22.0,24.0,23.0,0,0.0,0.0,0.0
7266,8.0,8.0,24.0,26.0,25.0,0,0.0,0.0,0.0
7266,8.0,8.0,26.0,28.0,27.0,0,0.0,0.0,0.0
7266,8.0,8.0,28.0,30.0,29.0,0,0.0,0.0,0.0
7266,8.0,8.0,30.0,32.0,31.0,0,0.0,0.0,0.0
10899,9.0,9.0,0.0,2.0,1.0,0,0.0,0.0,0.0
10899,9.0,9.0,2.0,4.0,3.0,0,0.0,0.0,0.0
10899,9.0,9.0,4.0,6.0,5.0,2,0.04081632653061224,6.717298979454201e-08,0.0035097045408404174
10899,9.0,9.0,6.0,8.0,7.0,6,0.12244897959183673,2.0151896938362603e-07,0.07107637956399859
10899,9.0,9.0,8.0,10.0,9.0,8,0.16326530612244897,2.6869195917816805e-07,0.31242053642952483
