step,registered_age_h,age_h,elapsed_physical_time_s,particle_count,particle_number_density_nm^-3,beta_volume_fraction,beta_volume_fraction_from_particle_h_volumes,beta_vf_particle_closure_abs,mean_radius_nm,std_radius_nm,median_radius_nm,radius_p10_nm,radius_p90_nm,Sv_spherical_equivalent_nm^-1,M6_integral_nm^3,mean_R6_nm^6,growing_count,shrinking_survivor_count,dissolved_count,shrinking_including_dissolved_count,stable_count,newly_resolved_count,growing_to_shrinking_ratio,matrix_xB,matrix_xAg,df_beta_dt_s^-1,dxAg_dt_s^-1,chemical_excess_energy_hat_mean,interface_gradient_energy_hat_mean,interface_double_well_energy_hat_mean,interface_energy_hat_mean,elastic_energy_hat_mean,total_excess_energy_hat_mean_excluding_elastic,chemical_excess_energy_J_m^-3,interface_energy_J_m^-3,elastic_energy_J_m^-3,total_excess_energy_J_m^-3_excluding_elastic,chemical_excess_energy_total_J,interface_energy_total_J,elastic_energy_total_J,total_excess_energy_total_J_excluding_elastic
0,6.0,6.0,0.0,96,6.448607020276033e-06,0.02392954496679758,0.02392903052073224,5.144460653409844e-07,9.54047257978136,0.7806634863978943,9.507465400972933,8.499592901127254,10.639552586240818,0.007425294979835234,5.362605436068244,831591.2908333339,0,0,0,0,0,0,,0.0062200000000001325,0.006200715773943168,-6.484902409160119e-07,6.552790039582033e-07,-0.002794337941230294,0.0011813382185629567,0.0012337471582412633,0.00241508537680422,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.00037925256442607365,-1408346.322380068,1217203.029909327,UNAVAILABLE_EXACT_RUNTIME_TRACE,-191143.29247074111,-2.096596156710744e-14,1.8120423605266235e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-2.845537961841205e-15
3633,7.0,7.0,3600.0,85,5.709704132536071e-06,0.02247121610351774,0.02247078377390807,4.323296096710172e-07,9.350440302099251,2.181912311828322,9.828749865592718,6.317894203792942,11.761609609478484,0.006614762150539012,6.419176438816436,1124257.2802043317,47,35,11,46,3,0,1.0217391304347827,0.007703875809002669,0.007674314824837801,-1.616924609061201e-07,1.6338713542770322e-07,-0.0026504768899675234,0.001028633301300083,0.001172752558957889,0.002201385860257972,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.0004490910297095512,-1335840.3525436318,1109498.473570018,UNAVAILABLE_EXACT_RUNTIME_TRACE,-226341.8789736138,-1.9886569834534485e-14,1.651703276813455e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-3.3695370663999343e-15
7266,8.0,8.0,7200.0,59,3.963206397877978e-06,0.022765359248273515,0.022764993130115957,3.6611815755829835e-07,10.676764909523044,2.305401882621315,10.801206100918094,8.10385912475051,12.985963242178098,0.005941919992612488,9.226452485027066,2328027.2483328627,38,17,26,43,4,0,0.8837209302325582,0.007404414714576416,0.007377103149022631,5.5837037518792315e-08,-5.639373733923285e-08,-0.0026856032347430205,0.0009339255758253082,0.0010555887468510308,0.0019895143226763387,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.0006960889120666818,-1353544.0303104823,1002715.2186288747,UNAVAILABLE_EXACT_RUNTIME_TRACE,-350828.8116816076,-2.015012335241421e-14,1.4927357285954065e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-5.222766066460145e-15
10899,9.0,9.0,10800.0,49,3.2914764999325584e-06,0.022873242773653046,0.022872909132305986,3.3364134706045934e-07,11.279984015923649,2.6301627215562946,12.441197045086257,7.549288017924599,14.03650919431962,0.005548940411368547,11.904371712399234,3616726.934748935,26,20,10,30,3,0,0.8666666666666667,0.007294790204562937,0.007268279915995325,4.0734536773142066e-08,-4.112099452678062e-08,-0.0026976929600455377,0.0008769934620136669,0.0009879394579870922,0.0018649329200007589,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.0008327600400447788,-1359637.251862951,939926.1916803825,UNAVAILABLE_EXACT_RUNTIME_TRACE,-419711.0601825685,-2.0240832751699633e-14,1.3992621060269586e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-6.248211691430046e-15
14532,10.0,10.0,14400.0,36,2.418227632603512e-06,0.023058647913040138,0.023058354185534008,2.937275061301592e-07,12.626220183330044,2.780719477857973,13.563937870334826,8.990395694104595,15.092471550306612,0.005079528408142587,15.341698809355531,6344191.341837555,24,10,13,23,2,0,1.0434782608695652,0.007106191573353222,0.007081031988429811,3.850557335475345e-08,-3.888992911077898e-08,-0.002717571986867283,0.0008094506936229694,0.000907039312931621,0.0017164900065545904,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.0010010819803126926,-1369656.2813811107,865110.9633035136,UNAVAILABLE_EXACT_RUNTIME_TRACE,-504545.31807759707,-2.0389985402918585e-14,1.2878851543597756e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-7.51113385932083e-15
18165,11.0,11.0,18000.0,30,2.0151896938362604e-06,0.02315048290180727,0.023150211310263676,2.715915435949623e-07,13.563398187897743,2.592676714885657,14.080929706317768,9.751835062086702,15.829351270894223,0.004828904046224164,17.805329240832386,8835559.895573342,18,7,6,13,5,0,1.3846153846153846,0.007012776021047912,0.006988272426397716,2.6806611473716445e-08,-2.7154078307269627e-08,-0.0027269479429743206,0.0007731831996299913,0.0008640787444249507,0.001637261944054942,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.0010896859989193786,-1374381.7632590577,825180.0198036907,UNAVAILABLE_EXACT_RUNTIME_TRACE,-549201.7434553668,-2.0460333349204743e-14,1.2284402143296276e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-8.175931205908464e-15
21798,12.0,12.0,21600.0,27,1.813670724452634e-06,0.023251655515650897,0.02325139449293978,2.6102271111563824e-07,14.141202427509677,2.472888397533583,14.426503594002185,11.589193887020068,16.51985650716263,0.004697022729246428,19.58784243904166,10800109.509929521,12,8,3,11,7,0,1.0909090909090908,0.0069093097288467015,0.0068855226246174695,1.6683493833329817e-08,-1.6926318410332877e-08,-0.0027370882290060085,0.000754351853218698,0.0008414716647142413,0.0015958235179329393,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.0011412647110730693,-1379492.4674190283,804295.0530382014,UNAVAILABLE_EXACT_RUNTIME_TRACE,-575197.4143808269,-2.053641607494916e-14,1.197348897969631e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-8.56292709525285e-15
25431,13.0,13.0,25200.0,26,1.7464977346580923e-06,0.023270604057407246,0.023270347560130914,2.564972763317852e-07,14.310718311653838,2.4607714213223306,14.564742168447939,10.848472185494785,17.091017896088868,0.004627599099645454,21.102185206162858,12082572.331703587,11,8,1,9,7,0,1.2222222222222223,0.006890057890700849,0.006866402933843319,7.381360970435811e-09,-7.445008195764377e-09,-0.002738923846776947,0.0007441744727825496,0.000829821392561633,0.0015739958653441825,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.0011649279814327645,-1380417.6187755812,793293.916133468,UNAVAILABLE_EXACT_RUNTIME_TRACE,-587123.7026421133,-2.0550188743984475e-14,1.1809715758668306e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-8.740472985316172e-15
29064,14.0,14.0,28800.0,24,1.6121517550690082e-06,0.023304801314638034,0.023304553946641923,2.473679961111086e-07,14.603695527471311,2.8451000125893753,14.99850527053772,10.372947657687085,17.69797769319421,0.0044845603106257615,23.560842466628984,14614531.412782826,12,7,2,9,5,0,1.3333333333333333,0.006855336114645532,0.006831918565607966,9.880489684784733e-09,-9.959402347091307e-09,-0.0027421706643101784,0.0007230153860910333,0.0008055481826081667,0.0015285635686991999,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.0012136070956109786,-1382054.01481233,770396.0386243968,UNAVAILABLE_EXACT_RUNTIME_TRACE,-611657.9761879332,-2.0574549667054208e-14,1.1468836521654923e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-9.105713145399286e-15
32697,15.0,15.0,32400.0,22,1.4778057754799242e-06,0.023341743583137696,0.023341507861477755,2.3572165994134586e-07,14.878994339587603,3.446877412324979,15.479851591631098,11.678344598999809,18.159314508109766,0.004331891960291307,26.202299487886368,17730543.433136232,10,7,2,9,5,0,1.1111111111111112,0.006817857870142471,0.006794695236944262,1.395797465738028e-08,-1.4129038038544028e-08,-0.002745592845756034,0.0007004680438871342,0.0007796563721626687,0.0014801244160498027,UNAVAILABLE_EXACT_RUNTIME_TRACE,-0.0012654684297062314,-1383778.794261041,745982.7056891005,UNAVAILABLE_EXACT_RUNTIME_TRACE,-637796.0885719407,-2.0600226348321286e-14,1.1105396796700476e-14,UNAVAILABLE_EXACT_RUNTIME_TRACE,-9.494829551620812e-15
