parent_age_h,child_age_h,parent_local_id,parent_canonical_id,child_local_id,child_canonical_id,overlap_voxels,parent_overlap_fraction,child_overlap_fraction,relation
14.0,15.0,1,1,1,1,34750,1.0,0.9390369129330379,continuation
14.0,15.0,2,3,2,3,6385,0.4830899599001286,1.0,continuation
14.0,15.0,3,5,3,5,25469,0.981048495820654,0.9905876862043483,continuation
14.0,15.0,5,11,5,11,46084,1.0,0.9052941754248109,continuation
14.0,15.0,6,10,6,10,38850,1.0,0.9465912967204327,continuation
14.0,15.0,7,21,7,21,36451,1.0,0.9518723559826605,continuation
14.0,15.0,9,28,9,28,36001,1.0,0.921283619520434,continuation
14.0,15.0,10,31,10,31,21863,0.9581050878653753,1.0,continuation
14.0,15.0,11,37,11,37,30259,0.9999669530733641,0.980429640670058,continuation
14.0,15.0,12,43,12,43,40853,1.0,0.9315471439972637,continuation
14.0,15.0,14,46,14,46,39513,1.0,0.9121612262800683,continuation
14.0,15.0,15,51,15,51,33802,1.0,0.9490944826617999,continuation
14.0,15.0,13,48,13,48,2404,0.21491149651349903,1.0,continuation
14.0,15.0,16,55,16,55,22693,0.9804709440483906,0.9985479186834463,continuation
14.0,15.0,17,64,17,64,15382,0.8299789564560514,1.0,continuation
14.0,15.0,18,68,18,68,25095,0.9721092388146426,0.9857799426483875,continuation
14.0,15.0,19,66,19,66,45296,1.0,0.9371650838971304,continuation
14.0,15.0,20,74,20,74,16905,0.888007564217051,1.0,continuation
14.0,15.0,21,84,21,84,20066,0.947492681084144,0.9984574812161019,continuation
14.0,15.0,22,89,22,89,42875,1.0,0.9485829332507356,continuation
14.0,15.0,23,90,23,90,29775,0.9834847233691164,0.9976211217583596,continuation
14.0,15.0,24,24,24,24,25056,0.9617687701520037,0.9998403830806065,continuation
15.0,16.0,1,1,1,1,37006,1.0,0.9418202178560521,continuation
15.0,16.0,3,5,3,5,24433,0.9502936486328809,1.0,continuation
15.0,16.0,5,11,5,11,50905,1.0,0.9303324378164007,continuation
15.0,16.0,6,10,6,10,41042,1.0,0.9673100945108298,continuation
15.0,16.0,7,21,7,21,38230,0.9983287199039014,0.9785001279754287,continuation
15.0,16.0,9,28,9,28,39077,1.0,0.9499465188642552,continuation
15.0,16.0,10,31,10,31,19843,0.9076064584000366,1.0,continuation
15.0,16.0,11,37,11,37,30438,0.9862294657032693,0.9990481504578724,continuation
15.0,16.0,12,43,12,43,43855,1.0,0.9497152261948589,continuation
15.0,16.0,14,46,14,46,43318,1.0,0.6044259641681085,merge
15.0,16.0,18,68,14,46,24297,0.9544329653926229,0.33902159959814704,merge
15.0,16.0,15,51,15,51,35615,1.0,0.9580620864044762,continuation
15.0,16.0,16,55,16,55,21145,0.9304321041978351,1.0,continuation
15.0,16.0,17,64,17,64,10376,0.6745546742946301,1.0,continuation
15.0,16.0,19,66,19,66,48333,1.0,0.9510812884944607,continuation
15.0,16.0,20,74,20,74,13451,0.795681750961254,1.0,continuation
15.0,16.0,21,84,21,84,18416,0.9163556749763646,1.0,continuation
15.0,16.0,22,89,22,89,45199,1.0,0.963690247750629,continuation
15.0,16.0,23,90,23,90,28683,0.9610333042953829,1.0,continuation
15.0,16.0,24,24,24,24,23087,0.921268954509178,1.0,continuation
16.0,17.0,1,1,1,1,39292,1.0,0.9365942028985508,continuation
16.0,17.0,3,5,3,5,22442,0.9185118487291778,1.0,continuation
16.0,17.0,5,11,5,11,54717,1.0,0.9307036791345614,continuation
16.0,17.0,6,10,6,10,42429,1.0,0.9719829561073948,continuation
16.0,17.0,7,21,7,21,38977,0.9976196570258511,0.9908483107506927,continuation
16.0,17.0,9,28,9,28,41136,1.0,0.9490805897146021,continuation
16.0,17.0,10,31,10,31,16970,0.855213425389306,1.0,continuation
16.0,17.0,11,37,11,37,29636,0.9727245872583451,1.0,continuation
16.0,17.0,12,43,12,43,46177,1.0,0.9505351996706464,continuation
16.0,17.0,14,46,14,46,70237,0.9800329296199141,0.9362561484423946,continuation
16.0,17.0,15,51,15,51,37174,1.0,0.9506201253036696,continuation
16.0,17.0,16,55,16,55,18904,0.8940174982265311,1.0,continuation
16.0,17.0,19,66,19,66,50819,1.0,0.9507408516051785,continuation
16.0,17.0,20,74,20,74,7866,0.5847892350011151,1.0,continuation
16.0,17.0,21,84,21,84,16288,0.8844483058210252,1.0,continuation
16.0,17.0,22,89,22,89,46902,1.0,0.9683693273320395,continuation
16.0,17.0,23,90,23,90,27129,0.9458215667817174,1.0,continuation
16.0,17.0,24,24,24,24,20496,0.8877723394117902,1.0,continuation
