step,time,y_rhs_prev_time_level_enabled,mean_xBtot_old,mean_xBtot_before_step,mean_xBtot_after_phi_update,mean_xBtot_after_Y_update,mean_xBtot_after_Y_to_xB,mean_xBtot_before_clipping,mean_xBtot_after_clipping,mean_xBtot_end_step,mean_elastic_energy,max_elastic_energy,stress_hydro_min,stress_hydro_max,delta_mass_phi_update,delta_mass_Y_update,delta_mass_Y_to_xB,delta_mass_clipping,total_delta_mass_step,delta_M_phi,delta_M_Y_actual,delta_M_Y_required,Y_compensation_ratio,mean_h_before_phi_update,mean_h_after_phi_update,delta_mean_h_phi_update,mean_xB_before_phi_update,mean_xB_after_Y_update,mean_xB_after_clipping,mean_h_old_for_Y_rhs,mean_h_new_for_Y_rhs,mean_h_alpha_q_for_Y_rhs,min_h_alpha_for_Y_rhs,min_h_alpha_q_for_Y_rhs,max_h_alpha_q_for_Y_rhs,mean_gamma_local,mean_term_h,mean_term_lap,mean_term_gamma,mean_divJ,mean_divJ_effective,mean_lapY,mean_Y_rhs_total,k0_divJ_re,k0_divJ_im,k0_term_h_re,k0_term_h_im,k0_term_lap_re,k0_term_lap_im,k0_term_gamma_re,k0_term_gamma_im,k0_Y_rhs_total_re,k0_Y_rhs_total_im,l1_divJ,l1_term_h,l1_term_lap,l1_term_gamma,l1_Y_rhs_total,l2_divJ,l2_term_h,l2_term_lap,l2_term_gamma,l2_Y_rhs_total,maxabs_divJ,maxabs_term_h,maxabs_term_lap,maxabs_term_gamma,maxabs_Y_rhs_total,max_abs_fY,max_abs_lagged_dYdt,divJ_k0_real_before_update,divJ_k0_imag_before_update,Y_rhs_picard_enabled,Y_rhs_picard_iters,Y_rhs_picard_omega,picard_rms_dYdt_change_final,picard_maxabs_dYdt_change_final,picard_mean_xBtot_after_iter_0,picard_mean_xBtot_after_final,picard_Y_compensation_ratio_final,conservative_residual_plus,conservative_residual_minus,conservative_balance_residual,predicted_delta_M_from_plus_divJ,predicted_delta_M_from_minus_divJ,predicted_delta_xBtot_from_phi_change,mean_phi_before,mean_phi_after,Y_k0_before_re,Y_k0_before_im,Y_rhs_k0_re,Y_rhs_k0_im,Y_k0_after_re,Y_k0_after_im,delta_Y_k0_re,delta_Y_k0_im,phi_clip_count_low,phi_clip_count_high,Y_clip_count_low,Y_clip_count_high,xB_clip_count_low,xB_clip_count_high,mean_xBtot_before_phi_clip,mean_xBtot_after_phi_clip,mean_xBtot_before_Y_clip,mean_xBtot_after_Y_clip,mean_xBtot_before_xB_clip,mean_xBtot_after_xB_clip,delta_mass_phi_clip,delta_mass_Y_clip,delta_mass_xB_clip
256,5.1200000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9998581756e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.1269276633e-03,4.1830743211e-02,-3.0371256173e+00,2.6512566209e+00,-1.4182444341e-06,1.4182444319e-06,-1.1449174941e-16,2.1788126858e-15,-1.2143064332e-16,-1.4182444341e-06,1.4182444319e-06,1.4182444341e-06,9.9999999846e-01,2.2550690100e-02,2.2549258784e-02,-1.4313162382e-06,7.6260317408e-03,7.6274064532e-03,7.6274064532e-03,2.2550690100e-02,2.2549258784e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9260747494e-01,-7.0937116377e-05,-3.8069559292e-19,-9.1772956634e-03,6.3672020333e-19,6.3672020333e-19,6.2652197702e-20,9.2482327797e-03,9.4788129169e-12,0.0000000000e+00,-1.0560363115e+03,0.0000000000e+00,-5.6673909272e-12,0.0000000000e+00,-1.3662181319e+05,0.0000000000e+00,1.3767784951e+05,0.0000000000e+00,9.7569717234e-04,2.8752399365e-04,1.8743620627e-03,1.4627818669e-02,1.5261396776e-02,2.4367068082e-03,2.2753952189e-03,7.0382491799e-03,1.8845953379e-02,1.9681150715e-02,5.7159177749e-02,6.1274311410e-02,1.4604419112e-01,9.9383223482e-02,1.4278010427e-01,1.4278010427e-01,0.0000000000e+00,-1.0516182129e+03,9.1091578724e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999999846e-01,-2.1857643141e-15,-2.1857388453e-15,-2.1857388453e-15,1.2734404067e-20,-1.2734404067e-20,-1.4182444341e-06,2.4344443350e-02,2.4342983290e-02,-7.2479781968e+07,0.0000000000e+00,1.3767784951e+05,0.0000000000e+00,-7.2506918940e+07,1.2779111103e-11,-2.7136972332e+04,1.2779111103e-11,2.6222280000e+06,4.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9998581756e-02,2.9998581756e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.6137759452e-14,-1.1449174941e-16,-1.1102230246e-16
512,1.0240000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999984594e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0998305251e-03,4.0972344448e-02,-3.0503612757e+00,2.7549825907e+00,-1.5405731472e-08,1.5405740197e-08,5.5511151231e-17,-8.7846396823e-15,-3.4694469520e-18,-1.5405731472e-08,1.5405740197e-08,1.5405731472e-08,1.0000005664e+00,2.2435687948e-02,2.2435671400e-02,-1.6548476783e-08,7.7363368366e-03,7.7363590480e-03,7.7363590480e-03,2.2435687948e-02,2.2435671400e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9249422758e-01,-7.8120351344e-07,-2.9846125935e-19,-1.5092985581e-04,1.2434147943e-18,1.2434147943e-18,-3.4761742525e-20,1.5171105932e-04,1.8510636464e-11,0.0000000000e+00,-1.1629726708e+01,0.0000000000e+00,-4.4431736664e-12,0.0000000000e+00,-2.2468831039e+03,0.0000000000e+00,2.2585128306e+03,0.0000000000e+00,3.3253185765e-04,1.8933110255e-04,1.2232131260e-03,3.4832285592e-03,4.2489034574e-03,1.4974471298e-03,1.4866982887e-03,5.3334285346e-03,4.3924444853e-03,6.6892837315e-03,3.6514175687e-02,3.8868725889e-02,1.1060256037e-01,2.1759379150e-02,1.0268621695e-01,1.0268621695e-01,0.0000000000e+00,1.8637699581e+03,2.1920243398e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,1.0000005664e+00,8.7256342159e-15,8.7256839525e-15,8.7256839525e-15,2.4868295886e-20,-2.4868295886e-20,-1.5405731472e-08,2.4228449868e-02,2.4228439207e-02,-7.2263414893e+07,0.0000000000e+00,2.2585128306e+03,0.0000000000e+00,-7.2233314752e+07,-3.4008351690e-12,3.0100141119e+04,-3.4008351690e-12,2.5935060000e+06,7.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999984594e-02,2.9999984594e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0232760739e-14,5.5511151231e-17,-2.0469737017e-16
768,1.5360000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000033302e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0874835662e-03,4.0043430295e-02,-3.0514109135e+00,2.8314325511e+00,3.3302343175e-08,-3.3302341249e-08,-1.6306400674e-16,-1.7590096046e-15,3.4694469520e-18,3.3302343175e-08,-3.3302341249e-08,-3.3302343175e-08,9.9999994218e-01,2.2442526378e-02,2.2442559241e-02,3.2863174855e-08,7.7305714221e-03,7.7305385147e-03,7.7305385147e-03,2.2442526378e-02,2.2442559241e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9250096033e-01,1.6588704742e-06,4.2456412571e-19,2.1434378703e-04,2.7186307829e-19,2.7186307829e-19,3.6958340144e-20,-2.1600265751e-04,4.0472082472e-12,0.0000000000e+00,2.4695498582e+01,0.0000000000e+00,6.3204589674e-12,0.0000000000e+00,3.1909222395e+03,0.0000000000e+00,-3.2156177381e+03,0.0000000000e+00,1.8315257116e-04,1.4116322577e-04,1.0291442838e-03,1.1079689723e-03,1.8652595122e-03,1.1040261790e-03,1.1037543273e-03,4.4174638297e-03,1.4028188150e-03,4.5506167540e-03,3.0994285134e-02,3.1850787873e-02,8.3538722862e-02,1.2161508333e-02,7.6412171140e-02,7.6412171140e-02,0.0000000000e+00,1.7426253130e+03,2.6005864129e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999994218e-01,1.9255376211e-15,1.9255484956e-15,1.9255484956e-15,5.4372615658e-21,-5.4372615658e-21,3.3302343172e-08,2.4236609278e-02,2.4236644515e-02,-7.2274438350e+07,0.0000000000e+00,-3.2156177381e+03,0.0000000000e+00,-7.2225881622e+07,1.6031398431e-11,4.8556727132e+04,1.6031398431e-11,2.5835770000e+06,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000033302e-02,3.0000033302e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.6860458302e-14,-1.6306400674e-16,-1.3877787808e-17
1024,2.0480000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,3.0000005196e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0796220651e-03,3.9922586285e-02,-3.0390660763e+00,2.8710175753e+00,5.1959879489e-09,-5.1959904157e-09,2.0816681712e-17,2.4459601011e-15,0.0000000000e+00,5.1959879489e-09,-5.1959904157e-09,-5.1959879489e-09,1.0000004747e+00,2.2446023278e-02,2.2446027887e-02,4.6084491431e-09,7.7266438475e-03,7.7266374569e-03,7.7266374569e-03,2.2446023278e-02,2.2446027887e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9250440458e-01,2.5498762299e-07,-4.4144410163e-19,4.5066165092e-05,2.7057561363e-19,2.7057561363e-19,-1.3703069279e-19,-4.5321152715e-05,4.0280418432e-12,0.0000000000e+00,3.7959844243e+00,0.0000000000e+00,-6.5717500886e-12,0.0000000000e+00,6.7089711549e+02,0.0000000000e+00,-6.7469309991e+02,0.0000000000e+00,1.3401213519e-04,1.1726990218e-04,9.7229642721e-04,4.1216005982e-04,1.1922142602e-03,9.3123149403e-04,9.3209785311e-04,4.0863857851e-03,5.4198721008e-04,4.0910259925e-03,3.6442260265e-02,3.6836530769e-02,7.7887063969e-02,5.9164365453e-03,8.2323955938e-02,8.2323955938e-02,0.0000000000e+00,1.9896841781e+03,1.5614176618e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,1.0000004747e+00,-2.4667821944e-15,-2.4667713713e-15,-2.4667713713e-15,5.4115122725e-21,-5.4115122725e-21,5.1959879454e-09,2.4239951996e-02,2.4239953309e-02,-7.2282208109e+07,0.0000000000e+00,-6.7469309991e+02,0.0000000000e+00,-7.2252292453e+07,-2.0730750450e-11,2.9915656665e+04,-2.0730750450e-11,2.5823500000e+06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000005196e-02,3.0000005196e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.4629603912e-14,2.0816681712e-17,9.3675067703e-17
1280,2.5600000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999995136e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0742872891e-03,4.0253737746e-02,-3.0212411284e+00,2.8881994784e+00,-4.8638454618e-09,4.8638445667e-09,1.3183898417e-16,7.6327832943e-16,0.0000000000e+00,-4.8638454618e-09,4.8638445667e-09,4.8638454618e-09,9.9999981597e-01,2.2445378868e-02,2.2445373293e-02,-5.5755715288e-09,7.7269922118e-03,7.7269969963e-03,7.7269969963e-03,2.2445378868e-02,2.2445373293e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9250377141e-01,-2.4793498394e-07,4.8006925957e-19,-2.8115773070e-05,5.5058445303e-19,5.5058445303e-19,7.8949079890e-19,2.8363708054e-05,8.1965155149e-12,0.0000000000e+00,-3.6909922381e+00,0.0000000000e+00,7.1467603428e-12,0.0000000000e+00,-4.1855771428e+02,0.0000000000e+00,4.2224870652e+02,0.0000000000e+00,1.1666664239e-04,1.0675081636e-04,9.4848948044e-04,2.0000938350e-04,1.0187739206e-03,8.8871839293e-04,8.8996795349e-04,3.9274021456e-03,2.9482331427e-04,3.9372325176e-03,4.4200775438e-02,4.4960574679e-02,8.6480588140e-02,6.7057015417e-03,9.2223548963e-02,9.2223548963e-02,0.0000000000e+00,2.3555524892e+03,1.4743761767e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999981597e-01,-8.9512832529e-16,-8.9510630191e-16,-8.9510630191e-16,1.1011689061e-20,-1.1011689061e-20,-4.8638454639e-09,2.4237850107e-02,2.4237836198e-02,-7.2281720690e+07,0.0000000000e+00,4.2224870652e+02,0.0000000000e+00,-7.2256777231e+07,-4.4046988279e-11,2.4943458604e+04,-4.4046988279e-11,2.5845050000e+06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999995136e-02,2.9999995136e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.3397950244e-14,1.3183898417e-16,1.2143064332e-16
1536,3.0720000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999986668e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0705110806e-03,4.0214192799e-02,-3.0189560652e+00,2.8912134171e+00,-1.3332373917e-08,1.3332374947e-08,-2.0816681712e-17,-1.0096090630e-15,0.0000000000e+00,-1.3332373917e-08,1.3332374947e-08,1.3332373917e-08,1.0000000773e+00,2.2442873633e-02,2.2442859410e-02,-1.4222661063e-08,7.7292774074e-03,7.7292906272e-03,7.7292906272e-03,2.2442873633e-02,2.2442859410e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9250130638e-01,-6.7206293887e-07,1.9433594354e-18,-8.1915661100e-05,1.5393387456e-19,1.5393387456e-19,-1.7778339998e-19,8.2587724039e-05,2.2916037388e-12,0.0000000000e+00,-1.0004957959e+01,0.0000000000e+00,2.8930667540e-11,0.0000000000e+00,-1.2194732042e+03,0.0000000000e+00,1.2294781621e+03,0.0000000000e+00,1.1339327856e-04,1.0516052512e-04,9.4096379517e-04,1.7910538648e-04,1.0071516350e-03,9.2227426099e-04,9.2377197274e-04,3.8633421230e-03,2.8175692653e-04,3.8899520171e-03,5.5852428473e-02,5.6882517584e-02,1.0385959292e-01,9.7371641815e-03,1.1147219014e-01,1.1147219014e-01,0.0000000000e+00,2.5720434853e+03,8.5975671027e-13,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,1.0000000773e+00,1.0304226661e-15,1.0304288234e-15,1.0304288234e-15,3.0786774912e-21,-3.0786774912e-21,-1.3332373917e-08,2.4232481750e-02,2.4232453397e-02,-7.2277518360e+07,0.0000000000e+00,1.2294781621e+03,0.0000000000e+00,-7.2261753541e+07,9.7193364468e-12,1.5764818816e+04,9.7193364468e-12,2.5858250000e+06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999986668e-02,2.9999986668e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.2662427490e-14,-2.0816681712e-17,5.5511151231e-17
1792,3.5840000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999978717e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0676345870e-03,4.0544939007e-02,-3.0238435268e+00,2.8963606656e+00,-2.1283370955e-08,2.1283368245e-08,-1.3877787808e-17,2.7165769634e-15,-6.9388939039e-18,-2.1283370955e-08,2.1283368245e-08,2.1283370955e-08,9.9999987269e-01,2.2438240073e-02,2.2438217658e-02,-2.2414884376e-08,7.7336295881e-03,7.7336508341e-03,7.7336508341e-03,2.2438240073e-02,2.2438217658e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9249674625e-01,-1.0711871964e-06,2.9589892582e-19,-1.3268651498e-04,1.1135160461e-18,1.1135160461e-18,4.0024303595e-19,1.3375770217e-04,1.6576842113e-11,0.0000000000e+00,-1.5946695237e+01,0.0000000000e+00,4.4050283711e-12,0.0000000000e+00,-1.9752956565e+03,0.0000000000e+00,1.9912423517e+03,0.0000000000e+00,1.1872832903e-04,1.1032670052e-04,9.3936583707e-04,2.0841616635e-04,1.0332548138e-03,1.0132151316e-03,1.0150575730e-03,3.8454659236e-03,3.3578050032e-04,3.8912953375e-03,7.4229278129e-02,7.5422234511e-02,1.3181007687e-01,1.6633364977e-02,1.4348392653e-01,1.4348392653e-01,0.0000000000e+00,2.7908268232e+03,9.7921670772e-13,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999987269e-01,-2.7096603398e-15,-2.7096157992e-15,-2.7096157992e-15,2.2270320921e-20,-2.2270320921e-20,-2.1283370957e-08,2.4223407645e-02,2.4223364387e-02,-7.2269371417e+07,0.0000000000e+00,1.9912423517e+03,0.0000000000e+00,-7.2260779248e+07,-2.5572433060e-11,8.5921682345e+03,-2.5572433060e-11,2.5892380000e+06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999978717e-02,2.9999978717e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.2749163664e-14,-1.3877787808e-17,6.9388939039e-18
2048,4.0960000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999968218e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0652501584e-03,3.9909453031e-02,-3.0296259522e+00,2.9293695390e+00,-3.1781832058e-08,3.1781833516e-08,8.6736173799e-17,-1.5439038936e-15,0.0000000000e+00,-3.1781832058e-08,3.1781833516e-08,3.1781832058e-08,1.0000000458e+00,2.2431241979e-02,2.2431208687e-02,-3.3292132409e-08,7.7403053775e-03,7.7403372802e-03,7.7403372802e-03,2.2431241979e-02,2.2431208687e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9248985885e-01,-1.5998753612e-06,6.5713949287e-19,-1.9946414603e-04,4.4394619560e-20,4.4394619560e-20,-3.3647660557e-19,2.0106402139e-04,6.6089986013e-13,0.0000000000e+00,-2.3817242110e+01,0.0000000000e+00,9.7827935734e-12,0.0000000000e+00,-2.9694099763e+03,0.0000000000e+00,2.9932272184e+03,0.0000000000e+00,1.2926927018e-04,1.1989845592e-04,9.4127034424e-04,2.6308004419e-04,1.0828552066e-03,1.1858774122e-03,1.1884586400e-03,3.8640581520e-03,4.5567514469e-04,3.9453829650e-03,1.2235898968e-01,1.2560004441e-01,1.7667812710e-01,3.8038730751e-02,2.0577203623e-01,2.0577203623e-01,0.0000000000e+00,3.0017015604e+03,8.6686213763e-13,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,1.0000000458e+00,1.4571668319e-15,1.4571686077e-15,1.4571686077e-15,8.8789239119e-22,-8.8789239119e-22,-3.1781832055e-08,2.4209925093e-02,2.4209861076e-02,-7.2256824628e+07,0.0000000000e+00,2.9932272184e+03,0.0000000000e+00,-7.2257135079e+07,9.6278540695e-13,-3.1045107234e+02,9.6278540695e-13,2.5873390000e+06,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999968218e-02,2.9999968218e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.1926904736e-14,8.6736173799e-17,-9.3675067703e-17
2304,4.6080000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999930190e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0629758178e-03,3.8105488525e-02,-3.0328276753e+00,2.9500470459e+00,-6.9810409627e-08,6.9810409342e-08,-8.6736173799e-17,3.6082248300e-16,-1.0408340856e-17,-6.9810409627e-08,6.9810409342e-08,6.9810409627e-08,9.9999999592e-01,2.2419381731e-02,2.2419308758e-02,-7.2973145498e-08,7.7517143631e-03,7.7517844194e-03,7.7517844194e-03,2.2419381731e-02,2.2419308758e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9247818788e-01,-3.6184084627e-06,-1.2056658925e-18,-4.3214292820e-04,2.0155596736e-19,2.0155596736e-19,3.6170081849e-19,4.3576133666e-04,3.0005507864e-12,0.0000000000e+00,-5.3867015206e+01,0.0000000000e+00,-1.7948670978e-11,0.0000000000e+00,-6.4332841149e+03,0.0000000000e+00,6.4871511301e+03,0.0000000000e+00,1.4778735488e-04,1.3485874276e-04,9.4643754338e-04,4.7665135407e-04,1.2810340986e-03,2.4835437628e-03,2.5000829945e-03,4.0831168659e-03,1.5262545823e-03,4.6488038457e-03,9.6580438882e-01,9.5628168995e-01,8.6673271262e-01,3.6903955501e-01,1.2687519783e+00,1.2687519783e+00,0.0000000000e+00,3.2316504631e+03,3.8617997689e-12,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,9.9999999592e-01,-2.8449868118e-16,-2.8449061894e-16,-2.8449061894e-16,4.0311193471e-21,-4.0311193471e-21,-6.9810409621e-08,2.4186500315e-02,2.4186323945e-02,-7.2235466475e+07,0.0000000000e+00,6.4871511301e+03,0.0000000000e+00,-7.2248650694e+07,2.3437696228e-11,-1.3184218613e+04,2.3437696228e-11,2.5875270000e+06,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999930190e-02,2.9999930190e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.2100377084e-14,-8.6736173799e-17,-3.1225022568e-17
2560,5.1200000000e+01,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,2.9999966821e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,1.0619791395e-03,3.8291521580e-02,-3.0457763076e+00,2.9580697119e+00,-3.3179140695e-08,3.3179144390e-08,3.1225022568e-17,-3.7192471325e-15,6.9388939039e-18,-3.3179140695e-08,3.3179144390e-08,3.3179140695e-08,1.0000001114e+00,2.2423661635e-02,2.2423626394e-02,-3.5241840793e-08,7.7471194329e-03,7.7471535559e-03,7.7471535559e-03,2.2423661635e-02,2.2423626394e-02,0.0000000000e+00,1.0000000000e+300,1.0000000000e+300,-1.0000000000e+300,-9.9248240194e-01,-1.6760489871e-06,1.2391914149e-18,-2.0561405026e-04,-3.1085610450e-19,-3.1085610450e-19,-6.7597121975e-20,2.0729009925e-04,-4.6276949329e-12,0.0000000000e+00,-2.4951234004e+01,0.0000000000e+00,1.8447763286e-11,0.0000000000e+00,-3.0609632069e+03,0.0000000000e+00,3.0859144409e+03,0.0000000000e+00,1.8047758231e-04,1.3790895521e-04,9.5823552867e-04,1.4210320186e-03,2.1529374731e-03,1.4439784096e-03,1.4424650266e-03,3.9097627013e-03,2.9836303910e-03,4.9877522136e-03,1.1808048643e-01,1.1902554963e-01,1.7704211458e-01,4.1599229705e-02,2.0713806672e-01,2.0713806672e-01,0.0000000000e+00,3.4394406905e+03,3.2507330161e-13,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0000000000e-02,3.0000000000e-02,1.0000001114e+00,3.6949672210e-15,3.6949547867e-15,3.6949547867e-15,-6.2171220900e-21,6.2171220900e-21,-3.3179140698e-08,2.4176511695e-02,2.4176427061e-02,-7.2244532140e+07,0.0000000000e+00,3.0859144409e+03,0.0000000000e+00,-7.2242885813e+07,-4.9134474267e-11,1.6463275823e+03,-4.9134474267e-11,2.5903820000e+06,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.9999966821e-02,2.9999966821e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,3.0000000000e-02,2.1854046350e-14,3.1225022568e-17,9.0205620751e-17
