step,target_mass_code,lambda,residual_code,derivative_code,iterations,newton_steps,bisection_steps,Y_star_min,Y_star_max,lambda_lower,lambda_upper,accepted_zero_mode_steps
1,4.46608079999958049e+05,4.69573967175455423e-02,1.69384293258190155e-08,9.41119210310318304e+04,3,3,0,-5.07696909981336830e+00,-5.04318840950740377e+00,0.00000000000000000e+00,4.69579996867904165e-02,1
2,4.46608079999958049e+05,-1.44413942986935297e-02,0.00000000000000000e+00,9.71979701253824751e+04,3,3,0,-4.98824241449130490e+00,-4.89775311334016905e+00,-1.50117575855086951e+01,-1.44413891293051610e-02,2
3,4.46608079999958049e+05,-1.17818375181329912e-02,0.00000000000000000e+00,9.92042621384751983e+04,3,3,0,-4.97654750634051979e+00,-4.81635131983373554e+00,-1.50234524936594802e+01,-1.17818352258412876e-02,3
4,4.46608079999958049e+05,-9.48880101432500109e-03,0.00000000000000000e+00,1.00293981411574467e+05,3,3,0,-4.97517018836784075e+00,-4.73951590741020912e+00,-1.50248298116321592e+01,-9.48880004885732133e-03,4
5,4.46608079999958049e+05,-7.41442981440449712e-03,0.00000000000000000e+00,1.00647265272075427e+05,3,3,0,-4.98284793495057521e+00,-4.67298586087401713e+00,-1.50171520650494248e+01,-7.41442945403463383e-03,5
6,4.46608079999958049e+05,-5.49639630744732776e-03,-5.82076609134674072e-11,1.00450307275214291e+05,3,3,0,-4.99638855346962085e+00,-4.62040449875379711e+00,-1.50036114465303783e+01,-5.49639619846634727e-03,6
7,4.46608079999958049e+05,-3.73545954872986580e-03,1.16415321826934814e-10,9.98829819920706213e+04,3,3,0,-5.01310383740501475e+00,-4.58358192775187945e+00,-1.49868961625949844e+01,-3.73545952544749671e-03,7
8,4.46608079999958049e+05,-2.16704211902702618e-03,2.61701643466949463e-07,9.91073695132969733e+04,2,2,0,-5.03250710613428520e+00,-4.56024580293766846e+00,-1.49674928938657139e+01,-2.16472802724276521e-03,8
9,4.46608079999958049e+05,-8.39128308900917831e-04,5.82076609134674072e-09,9.82589383381568623e+04,2,2,0,-5.05147302317588487e+00,-4.54329288440603385e+00,-1.49485269768241160e+01,-8.38781133301540627e-04,9
10,4.46608079999958049e+05,2.06803789147099235e-04,0.00000000000000000e+00,9.74414511442223302e+04,2,2,0,-5.06694220103375503e+00,-4.53814335570821914e+00,0.00000000000000000e+00,2.06824885747561868e-04,10
11,4.46608079999958049e+05,9.50206288423987373e-04,9.42964106798171997e-09,9.67258593400722166e+04,2,2,0,-5.07759517866420218e+00,-4.53757584634704525e+00,0.00000000000000000e+00,9.50651825296974914e-04,11
12,4.46608079999958049e+05,1.39858426787371282e-03,4.42378222942352295e-08,9.61526971571049071e+04,2,2,0,-5.08380565277427632e+00,-4.54436945223025202e+00,0.00000000000000000e+00,1.39954970845583950e-03,12
13,4.46608079999958049e+05,1.58637665920979918e-03,7.29341991245746613e-08,9.57369645713229256e+04,2,2,0,-5.08468261326207038e+00,-4.54885712161386113e+00,0.00000000000000000e+00,1.58761892229465759e-03,13
14,4.46608079999958049e+05,1.56728097531262721e-03,6.92671164870262146e-08,9.54742973562519765e+04,2,2,0,-5.08022503636198852e+00,-4.55668303956209098e+00,0.00000000000000000e+00,1.56849354797910373e-03,14
15,4.46608079999958049e+05,1.40348987042917314e-03,4.44706529378890991e-08,9.53473290001290588e+04,2,2,0,-5.07135574038886361e+00,-4.55910101669452850e+00,0.00000000000000000e+00,1.40446220621432338e-03,15
16,4.46608079999958049e+05,1.15546080658940884e-03,2.04890966415405273e-08,9.53314393861031567e+04,2,2,0,-5.07110926890350022e+00,-4.55890677360405405e+00,0.00000000000000000e+00,1.15611978727896418e-03,16
17,4.46608079999958049e+05,8.74596894023662230e-04,6.75208866596221924e-09,9.53994265818292915e+04,2,2,0,-5.07026187201282230e+00,-4.56209610265379251e+00,0.00000000000000000e+00,8.74974407728475916e-04,17
18,4.46608079999958049e+05,5.99585931798071996e-04,1.57160684466362000e-09,9.55249370800480829e+04,2,2,0,-5.06828217055971031e+00,-4.56797134835811036e+00,0.00000000000000000e+00,5.99763339172562551e-04,18
19,4.46608079999958049e+05,3.55883516510829910e-04,2.32830643653869629e-10,9.56847021094523516e+04,2,2,0,-5.06595428858199970e+00,-4.57279604234288861e+00,0.00000000000000000e+00,3.55946010602199020e-04,19
20,4.46608079999958049e+05,1.57257154835889772e-04,5.82076609134674072e-11,9.58597500873472454e+04,2,2,0,-5.06274901881923167e+00,-4.57575505116549319e+00,0.00000000000000000e+00,1.57269356079814073e-04,20
21,4.46608079999958049e+05,8.32152840123687094e-06,0.00000000000000000e+00,9.60358178829625685e+04,2,2,0,-5.05893231370897389e+00,-4.58002851163358127e+00,0.00000000000000000e+00,8.32156256487588905e-06,21
22,4.46608079999958049e+05,-9.27543348247839873e-05,5.82076609134674072e-11,9.62031870288822101e+04,2,2,0,-5.05655687001294574e+00,-4.58189941528973321e+00,-1.49434431299870543e+01,-9.27500906442950261e-05,22
23,4.46608079999958049e+05,-1.51811377870231376e-04,-5.82076609134674072e-11,9.63561496639172110e+04,2,2,0,-5.05430230202489739e+00,-4.58237049673097907e+00,-1.49456976979751026e+01,-1.51800009035855265e-04,23
24,4.46608079999958049e+05,-1.76747741569695022e-04,5.82076609134674072e-11,9.64922739128326793e+04,2,2,0,-5.05119476716587812e+00,-4.58384362468434947e+00,-1.49488052328341219e+01,-1.76732331560126713e-04,24
25,4.46608079999958049e+05,-1.76078597525106465e-04,1.16415321826934814e-10,9.66115999175267643e+04,2,2,0,-5.04941329479319023e+00,-4.58593795532355308e+00,-1.49505867052068098e+01,-1.76063304234150416e-04,25
26,4.46608079999958049e+05,-1.57952371833240245e-04,0.00000000000000000e+00,9.67158610568035365e+04,2,2,0,-5.04677020165436296e+00,-4.58831772150989092e+00,-1.49532297983456370e+01,-1.57940065284051842e-04,26
27,4.46608079999958049e+05,-1.29546934510648765e-04,5.82076609134674072e-11,9.68077916971666709e+04,2,2,0,-5.04341477045629283e+00,-4.58842441406656665e+00,-1.49565852295437072e+01,-1.29538656296630220e-04,27
28,4.46608079999958049e+05,-9.67464128874899026e-05,0.00000000000000000e+00,9.68905563646681258e+04,2,2,0,-5.03949435599177420e+00,-4.58833053129873036e+00,-1.49605056440082258e+01,-9.67417959735540644e-05,28
29,4.46608079999958049e+05,-6.40404307839870988e-05,0.00000000000000000e+00,9.69673128840483550e+04,2,2,0,-5.03549088707164749e+00,-4.58724509764792110e+00,-1.49645091129283525e+01,-6.40384078085265575e-05,29
30,4.46608079999958049e+05,-3.45620621900254399e-05,0.00000000000000000e+00,9.70409073370863334e+04,2,2,0,-5.03351027235282178e+00,-4.58363393059085045e+00,-1.49664897276471791e+01,-3.45614729647341869e-05,30
31,4.46608079999958049e+05,-1.02213184315689727e-05,-1.16415321826934814e-10,9.71136883712146955e+04,2,2,0,-5.03282228714008362e+00,-4.58063702426229824e+00,-1.49671777128599164e+01,-1.02212668971790327e-05,31
32,4.46608079999958049e+05,8.09925312874351442e-06,0.00000000000000000e+00,9.71874217351653206e+04,2,2,0,-5.03135900713022988e+00,-4.57817260819183947e+00,0.00000000000000000e+00,8.09928548609009527e-06,32
33,4.46608079999958049e+05,2.03297764475472057e-05,-1.16415321826934814e-10,9.72632838370799436e+04,2,2,0,-5.03145223209081305e+00,-4.57617702609267685e+00,0.00000000000000000e+00,2.03299803123080836e-05,33
34,4.46608079999958049e+05,2.69900415456936134e-05,1.16415321826934814e-10,9.73419123782235692e+04,2,2,0,-5.03437401719800537e+00,-4.57460194387401931e+00,0.00000000000000000e+00,2.69904008630044192e-05,34
35,4.46608079999958049e+05,2.89827027716892734e-05,-5.82076609134674072e-11,9.74234938576563145e+04,2,2,0,-5.03596619128951861e+00,-4.57341020038476742e+00,0.00000000000000000e+00,2.89831171007326515e-05,35
36,4.46608079999958049e+05,2.74081222387845268e-05,0.00000000000000000e+00,9.75078700095825188e+04,2,2,0,-5.03624715439365467e+00,-4.57257144916746583e+00,0.00000000000000000e+00,2.74084927654126001e-05,36
37,4.46608079999958049e+05,2.34114272768724527e-05,0.00000000000000000e+00,9.75946484615877707e+04,2,2,0,-5.03532695636914251e+00,-4.57205848784522928e+00,0.00000000000000000e+00,2.34116976173764773e-05,37
38,4.46608079999958049e+05,1.80665412055458289e-05,-5.82076609134674072e-11,9.76833065112686891e+04,2,2,0,-5.03338541041144705e+00,-4.57184475876760033e+00,0.00000000000000000e+00,1.80667021960028817e-05,38
39,4.46608079999958049e+05,1.22935597733203623e-05,5.82076609134674072e-11,9.77732801151688909e+04,2,2,0,-5.03065260499480615e+00,-4.57190312683081235e+00,0.00000000000000000e+00,1.22936343149662385e-05,39
40,4.46608079999958049e+05,6.81079972226116792e-06,0.00000000000000000e+00,9.78640334813329537e+04,2,2,0,-5.02825970313652348e+00,-4.57220574334489704e+00,0.00000000000000000e+00,6.81082260110444701e-06,40
41,4.46608079999958049e+05,2.11898419609612237e-06,2.16998159885406494e-07,9.79551077118848625e+04,1,1,0,-5.02559633626578250e+00,-4.57171081788996325e+00,0.00000000000000000e+00,2.45717108178899650e+01,41
