step,time,t_real_s,mean_phi,mean_hphi,mean_xB,mean_xBtot,initial_mean_xBtot,delta_mean_xBtot,relative_drift_vs_initial,xB_min,xB_max,phi_min,phi_max
0,0.0000000000e+00,0.0000000000e+00,2.5845485628e-02,2.3929544766e-02,6.2192797673e-03,3.0000000000e-02,3.0000000000e-02,0.0000000000e+00,0.0000000000e+00,6.2192797673e-03,6.2192797673e-03,0.0000000000e+00,9.9997829813e-01
256,5.1200000000e+00,2.5367708041e+02,2.4342983291e-02,2.2549258784e-02,7.6274064532e-03,3.0000000000e-02,3.0000000000e-02,1.6361911825e-14,5.4539706085e-13,6.5439695371e-03,9.2212588737e-03,-1.0000000000e-06,1.0000010000e+00
512,1.0240000000e+01,5.0735416082e+02,2.4228439208e-02,2.2435671400e-02,7.7363590480e-03,3.0000000000e-02,3.0000000000e-02,2.4286128664e-17,8.0953762212e-16,6.7135802427e-03,8.9480418005e-03,-1.0000000000e-06,1.0000010000e+00
768,1.5360000000e+01,7.6103124122e+02,2.4236644515e-02,2.2442559241e-02,7.7305385147e-03,3.0000000000e-02,3.0000000000e-02,3.4694469520e-18,1.1564823173e-16,6.8475618441e-03,8.9334733935e-03,-1.0000000000e-06,1.0000010000e+00
1024,2.0480000000e+01,1.0147083216e+03,2.4239953309e-02,2.2446027887e-02,7.7266374569e-03,3.0000000000e-02,3.0000000000e-02,0.0000000000e+00,0.0000000000e+00,6.9193278730e-03,9.1031511967e-03,-1.0000000000e-06,9.9998241152e-01
1280,2.5600000000e+01,1.2683854020e+03,2.4237836198e-02,2.2445373293e-02,7.7269969963e-03,3.0000000000e-02,3.0000000000e-02,0.0000000000e+00,0.0000000000e+00,6.9682548839e-03,9.3471940270e-03,-1.0000000000e-06,9.9996441412e-01
1536,3.0720000000e+01,1.5220624824e+03,2.4232453398e-02,2.2442859410e-02,7.7292906272e-03,3.0000000000e-02,3.0000000000e-02,0.0000000000e+00,0.0000000000e+00,7.0031769817e-03,9.6869989297e-03,-1.0000000000e-06,9.9991322987e-01
1792,3.5840000000e+01,1.7757395629e+03,2.4223364388e-02,2.2438217659e-02,7.7336508341e-03,3.0000000000e-02,3.0000000000e-02,-6.9388939039e-18,-2.3129646346e-16,7.0230129126e-03,1.0239900010e-02,-1.0000000000e-06,9.9993117278e-01
2048,4.0960000000e+01,2.0294166433e+03,2.4209861077e-02,2.2431208687e-02,7.7403372802e-03,3.0000000000e-02,3.0000000000e-02,0.0000000000e+00,0.0000000000e+00,7.0325884461e-03,1.1446962840e-02,-1.0000000000e-06,9.9997944165e-01
2304,4.6080000000e+01,2.2830937237e+03,2.4186323946e-02,2.2419308758e-02,7.7517844194e-03,3.0000000000e-02,3.0000000000e-02,-3.4694469520e-18,-1.1564823173e-16,7.0341688272e-03,1.9687144683e-02,-1.0000000000e-06,1.0000010000e+00
2560,5.1200000000e+01,2.5367708041e+03,2.4176427061e-02,2.2423626394e-02,7.7471535559e-03,3.0000000000e-02,3.0000000000e-02,6.9388939039e-18,2.3129646346e-16,7.0281256541e-03,1.1380422410e-02,-1.0000000000e-06,1.0000010000e+00
2816,5.6320000000e+01,2.7904478845e+03,2.4137071536e-02,2.2405215700e-02,7.7649516465e-03,3.0000000000e-02,3.0000000000e-02,3.9100667149e-15,1.3033555716e-13,7.0063645930e-03,1.6714144483e-02,-1.0000000000e-06,1.0000010000e+00
3072,6.1440000000e+01,3.0441249649e+03,2.4106608797e-02,2.2404024296e-02,7.7654869489e-03,3.0000000000e-02,3.0000000000e-02,3.4694469520e-18,1.1564823173e-16,6.9887516333e-03,2.0217990755e-02,-1.0000000000e-06,1.0000010000e+00
3328,6.6560000000e+01,3.2978020453e+03,2.4077680179e-02,2.2419636478e-02,7.7492152832e-03,3.0000000000e-02,3.0000000000e-02,3.1225022568e-17,1.0408340856e-15,6.9747255492e-03,1.8456472080e-02,-1.0000000000e-06,1.0000010000e+00
3584,7.1680000000e+01,3.5514791257e+03,2.4092817055e-02,2.2468689025e-02,7.7001227437e-03,3.0000000000e-02,3.0000000000e-02,5.2041704279e-17,1.7347234760e-15,6.9869674779e-03,2.0091408464e-02,-1.0000000000e-06,1.0000010000e+00
3840,7.6800000000e+01,3.8051562061e+03,2.4077618889e-02,2.2494025850e-02,7.6743735534e-03,3.0000000000e-02,3.0000000000e-02,0.0000000000e+00,0.0000000000e+00,6.9630140311e-03,2.0625505178e-02,-1.0000000000e-06,1.0000010000e+00
4096,8.1920000000e+01,4.0588332865e+03,2.4105789963e-02,2.2543666843e-02,7.6247674250e-03,3.0000000000e-02,3.0000000000e-02,2.7408630920e-16,9.1362103068e-15,6.9387361003e-03,1.6193080546e-02,-1.0000000000e-06,1.0000010000e+00
4352,8.7040000000e+01,4.3125103669e+03,2.4075975244e-02,2.2546326890e-02,7.6216472379e-03,3.0000000000e-02,3.0000000000e-02,2.5916768731e-15,8.6389229104e-14,6.9396782306e-03,1.7118600788e-02,-1.0000000000e-06,1.0000010000e+00
4608,9.2160000000e+01,4.5661874473e+03,2.4092165215e-02,2.2585095476e-02,7.5827750216e-03,3.0000000000e-02,3.0000000000e-02,2.0816681712e-17,6.9388939039e-16,6.9286616975e-03,1.3201045808e-02,-1.0000000000e-06,1.0000010000e+00
4864,9.7280000000e+01,4.8198645277e+03,2.4089528126e-02,2.2601648325e-02,7.5660842064e-03,3.0000000000e-02,3.0000000000e-02,4.1633363423e-17,1.3877787808e-15,6.9091250157e-03,1.7542663711e-02,-1.0000000000e-06,1.0000010000e+00
5120,1.0240000000e+02,5.0735416082e+03,2.4092177008e-02,2.2624914802e-02,7.5425913449e-03,3.0000000000e-02,3.0000000000e-02,6.9388939039e-18,2.3129646346e-16,6.8871458051e-03,1.2752406427e-02,-1.0000000000e-06,1.0000010000e+00
5376,1.0752000000e+02,5.3272186886e+03,2.4087717668e-02,2.2642557327e-02,7.5247173126e-03,3.0000000000e-02,3.0000000000e-02,0.0000000000e+00,0.0000000000e+00,6.9038861312e-03,1.2345936636e-02,-1.0000000000e-06,1.0000010000e+00
5632,1.1264000000e+02,5.5808957690e+03,2.4087997163e-02,2.2657873271e-02,7.5093008385e-03,3.0000000000e-02,3.0000000000e-02,0.0000000000e+00,0.0000000000e+00,6.8920035395e-03,1.0508730677e-02,-1.0000000000e-06,1.0000010000e+00
5888,1.1776000000e+02,5.8345728494e+03,2.4079861173e-02,2.2660671456e-02,7.5062713469e-03,3.0000000000e-02,3.0000000000e-02,3.4694469520e-18,1.1564823173e-16,6.8715338741e-03,1.3206107299e-02,-1.0000000000e-06,1.0000010000e+00
6144,1.2288000000e+02,6.0882499298e+03,2.4056251988e-02,2.2662539285e-02,7.5038099220e-03,3.0000000000e-02,3.0000000000e-02,5.5511151231e-17,1.8503717077e-15,6.8487392730e-03,1.4048424335e-02,-1.0000000000e-06,1.0000010000e+00
6400,1.2800000000e+02,6.3419270102e+03,2.4046394555e-02,2.2677057744e-02,7.4890597581e-03,3.0000000000e-02,3.0000000000e-02,5.8980598183e-17,1.9660199394e-15,6.8227843449e-03,1.2808878926e-02,-1.0000000000e-06,1.0000010000e+00
6656,1.3312000000e+02,6.5956040906e+03,2.4038839102e-02,2.2693860212e-02,7.4719827675e-03,3.0000000000e-02,3.0000000000e-02,2.7755575616e-17,9.2518585385e-16,6.8377992783e-03,1.1196693140e-02,-1.0000000000e-06,1.0000010000e+00
