step,registered_age_h,age_h,radius_bin_left_nm,radius_bin_right_nm,radius_bin_center_nm,count,number_fraction,n_of_R_nm^-4,M6_bin_contribution_nm^3
0,6,6.0,0.0,2.0,1.0,0,0.0,0.0,0.0
0,6,6.0,2.0,4.0,3.0,0,0.0,0.0,0.0
0,6,6.0,4.0,6.0,5.0,0,0.0,0.0,0.0
0,6,6.0,6.0,8.0,7.0,0,0.0,0.0,0.0
0,6,6.0,8.0,10.0,9.0,65,0.6770833333333334,2.1831221683226152e-06,2.588813332888837
0,6,6.0,10.0,12.0,11.0,31,0.3229166666666667,1.0411813418154012e-06,2.7737921031794084
0,6,6.0,12.0,14.0,13.0,0,0.0,0.0,0.0
0,6,6.0,14.0,16.0,15.0,0,0.0,0.0,0.0
0,6,6.0,16.0,18.0,17.0,0,0.0,0.0,0.0
0,6,6.0,18.0,20.0,19.0,0,0.0,0.0,0.0
0,6,6.0,20.0,22.0,21.0,0,0.0,0.0,0.0
0,6,6.0,22.0,24.0,23.0,0,0.0,0.0,0.0
0,6,6.0,24.0,26.0,25.0,0,0.0,0.0,0.0
0,6,6.0,26.0,28.0,27.0,0,0.0,0.0,0.0
0,6,6.0,28.0,30.0,29.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,0.0,2.0,1.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,2.0,4.0,3.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,4.0,6.0,5.0,5,0.052083333333333336,1.67932474486355e-07,0.010097861581952196
3633,7,7.000009585213333,6.0,8.0,7.0,20,0.20833333333333334,6.7172989794542e-07,0.19299377593497882
3633,7,7.000009585213333,8.0,10.0,9.0,32,0.3333333333333333,1.0747678367126722e-06,1.302247766214612
3633,7,7.000009585213333,10.0,12.0,11.0,39,0.40625,1.309873300993569e-06,4.793987880438003
3633,7,7.000009585213333,12.0,14.0,13.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,14.0,16.0,15.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,16.0,18.0,17.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,18.0,20.0,19.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,20.0,22.0,21.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,22.0,24.0,23.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,24.0,26.0,25.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,26.0,28.0,27.0,0,0.0,0.0,0.0
3633,7,7.000009585213333,28.0,30.0,29.0,0,0.0,0.0,0.0
7266,8,8.000019170426667,0.0,2.0,1.0,0,0.0,0.0,0.0
7266,8,8.000019170426667,2.0,4.0,3.0,0,0.0,0.0,0.0
7266,8,8.000019170426667,4.0,6.0,5.0,2,0.02857142857142857,6.717298979454201e-08,0.0013471795852655986
7266,8,8.000019170426667,6.0,8.0,7.0,10,0.14285714285714285,3.3586494897271e-07,0.12295935811875343
7266,8,8.000019170426667,8.0,10.0,9.0,15,0.21428571428571427,5.037974234590651e-07,0.6114864160152925
7266,8,8.000019170426667,10.0,12.0,11.0,25,0.35714285714285715,8.396623724317751e-07,3.238570849522669
7266,8,8.000019170426667,12.0,14.0,13.0,18,0.2571428571428571,6.04556908150878e-07,4.701618585995322
7266,8,8.000019170426667,14.0,16.0,15.0,0,0.0,0.0,0.0
7266,8,8.000019170426667,16.0,18.0,17.0,0,0.0,0.0,0.0
