step,warm_start_used,iterations,relative_residual,converged,hard_cap,tolerance,solver_wall_s,source_field_step
1,0,22,7.47906089762138573e-07,1,32,9.99999999999999955e-07,0.974627897,0
2,1,11,7.63034217908852663e-07,1,32,9.99999999999999955e-07,0.476044906,1
3,1,10,9.74114698383230820e-07,1,32,9.99999999999999955e-07,0.432647207,2
4,1,10,6.42849608790750754e-07,1,32,9.99999999999999955e-07,0.432510854,3
5,1,9,6.39493694321465809e-07,1,32,9.99999999999999955e-07,0.389208704,4
6,1,7,8.22366621791779078e-07,1,32,9.99999999999999955e-07,0.302781941,5
7,1,7,6.31353560582580998e-07,1,32,9.99999999999999955e-07,0.302716702,6
8,1,8,6.63031360139936499e-07,1,32,9.99999999999999955e-07,0.345777111,7
9,1,8,8.23683535724115589e-07,1,32,9.99999999999999955e-07,0.345924907,8
10,1,8,8.93489357784782841e-07,1,32,9.99999999999999955e-07,0.346138220,9
11,1,8,8.71024909540931380e-07,1,32,9.99999999999999955e-07,0.346135322,10
12,1,8,7.94027926760389965e-07,1,32,9.99999999999999955e-07,0.346337159,11
13,1,8,6.93722599333801548e-07,1,32,9.99999999999999955e-07,0.346171468,12
14,1,7,9.58047858594155435e-07,1,32,9.99999999999999955e-07,0.302489593,13
15,1,7,7.80595285205165287e-07,1,32,9.99999999999999955e-07,0.303043533,14
16,1,7,6.24742390937653040e-07,1,32,9.99999999999999955e-07,0.302444236,15
17,1,6,8.21478044885293075e-07,1,32,9.99999999999999955e-07,0.259669652,16
18,1,6,6.94711876125094677e-07,1,32,9.99999999999999955e-07,0.259441454,17
19,1,6,5.96564189089740538e-07,1,32,9.99999999999999955e-07,0.260104391,18
20,1,6,5.37737612628768349e-07,1,32,9.99999999999999955e-07,0.259364187,19
21,1,6,5.08683411163338616e-07,1,32,9.99999999999999955e-07,0.260076481,20
22,1,6,5.09772716133867413e-07,1,32,9.99999999999999955e-07,0.259322685,21
23,1,6,5.24652988814789966e-07,1,32,9.99999999999999955e-07,0.259938601,22
24,1,6,5.44927172695365618e-07,1,32,9.99999999999999955e-07,0.259475971,23
25,1,6,5.53362816783941140e-07,1,32,9.99999999999999955e-07,0.259805572,24
26,1,6,5.50811273254906948e-07,1,32,9.99999999999999955e-07,0.260043749,25
27,1,5,9.43698972300231083e-07,1,32,9.99999999999999955e-07,0.216661022,26
28,1,5,8.52836797997604575e-07,1,32,9.99999999999999955e-07,0.216764422,27
29,1,5,7.36398730652119762e-07,1,32,9.99999999999999955e-07,0.216666184,28
30,1,5,6.15269806846488001e-07,1,32,9.99999999999999955e-07,0.216698813,29
31,1,5,5.01496124660435407e-07,1,32,9.99999999999999955e-07,0.216735660,30
32,1,4,7.86564650922937373e-07,1,32,9.99999999999999955e-07,0.172894508,31
33,1,4,7.50809780566258976e-07,1,32,9.99999999999999955e-07,0.173599431,32
34,1,4,8.25472206235725300e-07,1,32,9.99999999999999955e-07,0.173367037,33
35,1,4,9.33941714618877404e-07,1,32,9.99999999999999955e-07,0.173918522,34
36,1,5,4.00753739983611500e-07,1,32,9.99999999999999955e-07,0.216841843,35
37,1,5,4.11494783302629493e-07,1,32,9.99999999999999955e-07,0.216468187,36
38,1,5,4.22302027724753058e-07,1,32,9.99999999999999955e-07,0.216555166,37
39,1,5,4.29307011726328669e-07,1,32,9.99999999999999955e-07,0.216374022,38
40,1,5,4.29992251227922180e-07,1,32,9.99999999999999955e-07,0.216793128,39
41,1,5,4.27625670898646676e-07,1,32,9.99999999999999955e-07,0.216571031,40
42,1,5,4.27655676185686500e-07,1,32,9.99999999999999955e-07,0.216711021,41
43,1,5,4.32785985380892128e-07,1,32,9.99999999999999955e-07,0.216776209,42
44,1,5,4.46601436573149936e-07,1,32,9.99999999999999955e-07,0.216605006,43
45,1,5,4.56969122778413418e-07,1,32,9.99999999999999955e-07,0.216440558,44
46,1,5,4.67742267987802884e-07,1,32,9.99999999999999955e-07,0.216446837,45
47,1,5,4.80243929102621088e-07,1,32,9.99999999999999955e-07,0.216618775,46
48,1,5,4.83307052232962705e-07,1,32,9.99999999999999955e-07,0.216747599,47
49,1,5,4.92897348792937494e-07,1,32,9.99999999999999955e-07,0.216516612,48
50,1,5,4.82367109212275078e-07,1,32,9.99999999999999955e-07,0.216614682,49
51,1,5,4.73399884113424217e-07,1,32,9.99999999999999955e-07,0.216566134,50
52,1,5,4.57592451677589148e-07,1,32,9.99999999999999955e-07,0.216614765,51
53,1,5,4.44881420500530469e-07,1,32,9.99999999999999955e-07,0.216772402,52
54,1,5,4.26766651091593409e-07,1,32,9.99999999999999955e-07,0.216737992,53
55,1,4,9.88511815566304121e-07,1,32,9.99999999999999955e-07,0.173060849,54
56,1,4,9.49011445335636964e-07,1,32,9.99999999999999955e-07,0.174002379,55
57,1,4,9.13453352068626927e-07,1,32,9.99999999999999955e-07,0.173364510,56
58,1,4,8.96042205809696556e-07,1,32,9.99999999999999955e-07,0.173333838,57
59,1,4,8.81853067756014473e-07,1,32,9.99999999999999955e-07,0.173523703,58
60,1,4,8.82260747053903294e-07,1,32,9.99999999999999955e-07,0.173399581,59
61,1,4,8.88792617772051232e-07,1,32,9.99999999999999955e-07,0.173247636,60
62,1,4,8.96950979623838388e-07,1,32,9.99999999999999955e-07,0.174001328,61
63,1,4,9.06154707140265929e-07,1,32,9.99999999999999955e-07,0.173850932,62
64,1,4,9.26404295987198106e-07,1,32,9.99999999999999955e-07,0.173141676,63
65,1,4,9.46889598351865482e-07,1,32,9.99999999999999955e-07,0.173293537,64
66,1,4,9.66643017295583441e-07,1,32,9.99999999999999955e-07,0.173483583,65
67,1,4,9.93388477191465774e-07,1,32,9.99999999999999955e-07,0.173307799,66
68,1,5,4.23837085680521704e-07,1,32,9.99999999999999955e-07,0.216707966,67
69,1,5,4.21553803059215905e-07,1,32,9.99999999999999955e-07,0.216814350,68
70,1,5,4.25191229795376718e-07,1,32,9.99999999999999955e-07,0.216383882,69
71,1,5,4.33680731411626680e-07,1,32,9.99999999999999955e-07,0.216844683,70
72,1,5,4.38204078547633233e-07,1,32,9.99999999999999955e-07,0.216645267,71
73,1,5,4.44261580297420158e-07,1,32,9.99999999999999955e-07,0.216298331,72
74,1,5,4.48162113181928065e-07,1,32,9.99999999999999955e-07,0.216763180,73
75,1,5,4.49851697405293125e-07,1,32,9.99999999999999955e-07,0.216579943,74
76,1,5,4.50862861280248584e-07,1,32,9.99999999999999955e-07,0.216579825,75
77,1,5,4.52137185114913284e-07,1,32,9.99999999999999955e-07,0.216644579,76
78,1,5,4.50252501661659540e-07,1,32,9.99999999999999955e-07,0.216773775,77
79,1,5,4.51768329482985017e-07,1,32,9.99999999999999955e-07,0.216696352,78
80,1,5,4.53798751815549867e-07,1,32,9.99999999999999955e-07,0.216768249,79
81,1,5,4.54966848299711602e-07,1,32,9.99999999999999955e-07,0.216671759,80
