replicate,snapshot_id,step,age_h,temperature_K,fixed_6h_matrix_xAg,pf_time_varying_matrix_xAg,kappa_L_no_dis_fixed_matrix_W_mK,kappa_L_no_dis_time_varying_matrix_W_mK,delta_kappa_PSD_W_mK,delta_kappa_PSD_plus_matrix_W_mK,delta_kappa_matrix_given_PSD_W_mK,reference_6h_full_psd_fixed_matrix_W_mK
historical_elastic_72848,historical_elastic_72848_step_000000,0,6,300,0.006200715773943168,0.006200715773943168,2.286555344237568,2.286555344237568,0,0,0,2.286555344237568
historical_elastic_72848,historical_elastic_72848_step_000000,0,6,350,0.006200715773943168,0.006200715773943168,2.006913063376619,2.006913063376619,0,0,0,2.006913063376619
historical_elastic_72848,historical_elastic_72848_step_000000,0,6,400,0.006200715773943168,0.006200715773943168,1.788146466701229,1.788146466701229,0,0,0,1.788146466701229
historical_elastic_72848,historical_elastic_72848_step_000000,0,6,450,0.006200715773943168,0.006200715773943168,1.612372192314814,1.612372192314814,0,0,0,1.612372192314814
historical_elastic_72848,historical_elastic_72848_step_000000,0,6,500,0.006200715773943168,0.006200715773943168,1.468067796645403,1.468067796645403,0,0,0,1.468067796645403
historical_elastic_72848,historical_elastic_72848_step_000000,0,6,550,0.006200715773943168,0.006200715773943168,1.34748320709519,1.34748320709519,0,0,0,1.34748320709519
historical_elastic_72848,historical_elastic_72848_step_000000,0,6,600,0.006200715773943168,0.006200715773943168,1.245216946330955,1.245216946330955,0,0,0,1.245216946330955
historical_elastic_72848,historical_elastic_72848_step_003633,3633,7,300,0.006200715773943168,0.007674314824837801,2.291249970832295,2.238277231432747,0.004694626594726969,-0.04827811280482086,-0.05297273939954783,2.286555344237568
historical_elastic_72848,historical_elastic_72848_step_003633,3633,7,350,0.006200715773943168,0.007674314824837801,2.010501490536058,1.969081922446118,0.00358842715943819,-0.03783114093050122,-0.04141956808993941,2.006913063376619
historical_elastic_72848,historical_elastic_72848_step_003633,3633,7,400,0.006200715773943168,0.007674314824837801,1.790978066861499,1.757704350333098,0.002831600160269954,-0.03044211636813143,-0.03327371652840139,1.788146466701229
historical_elastic_72848,historical_elastic_72848_step_003633,3633,7,450,0.006200715773943168,0.007674314824837801,1.614663372858187,1.587347361609742,0.002291180543373406,-0.02502483070507133,-0.02731601124844474,1.612372192314814
historical_elastic_72848,historical_elastic_72848_step_003633,3633,7,500,0.006200715773943168,0.007674314824837801,1.469959699766992,1.447132381475212,0.001891903121589822,-0.02093541517019082,-0.02282731829178064,1.468067796645403
historical_elastic_72848,historical_elastic_72848_step_003633,3633,7,550,0.006200715773943168,0.007674314824837801,1.349071789803898,1.329710423486855,0.001588582708708097,-0.01777278360833479,-0.01936136631704288,1.34748320709519
historical_elastic_72848,historical_elastic_72848_step_003633,3633,7,600,0.006200715773943168,0.007674314824837801,1.246569712274242,1.229940361165704,0.001352765943286816,-0.01527658516525054,-0.01662935110853736,1.245216946330955
historical_elastic_72848,historical_elastic_72848_step_007266,7266,8,300,0.006200715773943168,0.007377103149022631,2.288250535836252,2.245521915415252,0.00169519159868381,-0.04103342882231598,-0.04272862042099979,2.286555344237568
historical_elastic_72848,historical_elastic_72848_step_007266,7266,8,350,0.006200715773943168,0.007377103149022631,2.008227379368374,1.974855880585931,0.001314315991754356,-0.03205718279068859,-0.03337149878244294,2.006913063376619
historical_elastic_72848,historical_elastic_72848_step_007266,7266,8,400,0.006200715773943168,0.007377103149022631,1.78919474211168,1.76241076198115,0.001048275410450827,-0.02573570472007969,-0.02678398013053052,1.788146466701229
historical_elastic_72848,historical_elastic_72848_step_007266,7266,8,450,0.006200715773943168,0.007377103149022631,1.613227528952383,1.59125566247779,0.0008553366375696481,-0.02111652983702395,-0.02197186647459359,1.612372192314814
historical_elastic_72848,historical_elastic_72848_step_007266,7266,8,500,0.006200715773943168,0.007377103149022631,1.468778848692936,1.450428919701842,0.0007110520475333004,-0.01763887694356026,-0.01834992899109356,1.468067796645403
historical_elastic_72848,historical_elastic_72848_step_007266,7266,8,550,0.006200715773943168,0.007377103149022631,1.348083577498602,1.332527978231838,0.0006003704034120982,-0.0149552288633521,-0.0155555992667642,1.34748320709519
historical_elastic_72848,historical_elastic_72848_step_007266,7266,8,600,0.006200715773943168,0.007377103149022631,1.245730574457463,1.232376007231313,0.0005136281265083475,-0.01284093909964157,-0.01335456722614992,1.245216946330955
historical_elastic_72848,historical_elastic_72848_step_010899,10899,9,300,0.006200715773943168,0.007268279915995325,2.286945617683878,2.247991961975856,0.0003902734463094859,-0.03856338226171241,-0.03895365570802189,2.286555344237568
historical_elastic_72848,historical_elastic_72848_step_010899,10899,9,350,0.006200715773943168,0.007268279915995325,2.00722507826995,1.976817940836132,0.0003120148933302147,-0.0300951225404873,-0.03040713743381751,2.006913063376619
historical_elastic_72848,historical_elastic_72848_step_010899,10899,9,400,0.006200715773943168,0.007268279915995325,1.788400788543067,1.764006184646409,0.0002543218418378235,-0.02414028205482022,-0.02439460389665804,1.788146466701229
historical_elastic_72848,historical_elastic_72848_step_010899,10899,9,450,0.006200715773943168,0.007268279915995325,1.612583110513987,1.592578100165108,0.0002109181991736264,-0.01979409214970551,-0.02000501034887914,1.612372192314814
historical_elastic_72848,historical_elastic_72848_step_010899,10899,9,500,0.006200715773943168,0.007268279915995325,1.468245375618923,1.451542751414446,0.0001775789735201094,-0.01652504523095688,-0.01670262420447699,1.468067796645403
historical_elastic_72848,historical_elastic_72848_step_010899,10899,9,550,0.006200715773943168,0.007268279915995325,1.347634681153448,1.333478868920101,0.0001514740582579943,-0.0140043381750885,-0.0141558122333465,1.34748320709519
historical_elastic_72848,historical_elastic_72848_step_010899,10899,9,600,0.006200715773943168,0.007268279915995325,1.245347625807111,1.233197226339669,0.0001306794761564145,-0.01201971999128593,-0.01215039946744234,1.245216946330955
historical_elastic_72848,historical_elastic_72848_step_014532,14532,10,300,0.006200715773943168,0.007081031988429811,2.285276705270101,2.252930867021818,-0.00127863896746705,-0.03362447721574968,-0.03234583824828263,2.286555344237568
historical_elastic_72848,historical_elastic_72848_step_014532,14532,10,350,0.006200715773943168,0.007081031988429811,2.005929855383793,1.980700698831839,-0.0009832079928266957,-0.02621236454478093,-0.02522915655195423,2.006913063376619
historical_elastic_72848,historical_elastic_72848_step_014532,14532,10,400,0.006200715773943168,0.007081031988429811,1.787366686072242,1.767138876940611,-0.0007797806289870923,-0.02100758976061834,-0.02022780913163125,1.788146466701229
historical_elastic_72848,historical_elastic_72848_step_014532,14532,10,450,0.006200715773943168,0.007081031988429811,1.611738553105355,1.595159014027587,-0.0006336392094590249,-0.01721317828722646,-0.01657953907776744,1.612372192314814
historical_elastic_72848,historical_elastic_72848_step_014532,14532,10,500,0.006200715773943168,0.007081031988429811,1.467542710808387,1.453705945009452,-0.0005250858370151601,-0.01436185163595005,-0.01383676579893489,1.468067796645403
historical_elastic_72848,historical_elastic_72848_step_014532,14532,10,550,0.006200715773943168,0.007081031988429811,1.34704097069771,1.335318218531483,-0.0004422363974800891,-0.01216498856370696,-0.01172275216622687,1.34748320709519
historical_elastic_72848,historical_elastic_72848_step_014532,14532,10,600,0.006200715773943168,0.007081031988429811,1.244839380951976,1.234780430315474,-0.000377565378979261,-0.01043651601548135,-0.01005895063650208,1.245216946330955
historical_elastic_72848,historical_elastic_72848_step_018165,18165,11,300,0.006200715773943168,0.006988272426397716,2.284516195036744,2.255474293438686,-0.002039149200824042,-0.0310810507988819,-0.02904190159805786,2.286555344237568
historical_elastic_72848,historical_elastic_72848_step_018165,18165,11,350,0.006200715773943168,0.006988272426397716,2.005328988580914,1.982686216258372,-0.001584074795705881,-0.02422684711824719,-0.0226427723225413,2.006913063376619
historical_elastic_72848,historical_elastic_72848_step_018165,18165,11,400,0.006200715773943168,0.006988272426397716,1.786880492980552,1.768732291331694,-0.001265973720677716,-0.01941417536953538,-0.01814820164885766,1.788146466701229
historical_elastic_72848,historical_elastic_72848_step_018165,18165,11,450,0.006200715773943168,0.006988272426397716,1.611337325439264,1.59646626676218,-0.001034866875549989,-0.0159059255526337,-0.01487105867708371,1.612372192314814
historical_elastic_72848,historical_elastic_72848_step_018165,18165,11,500,0.006200715773943168,0.006988272426397716,1.467206104370052,1.45479791222992,-0.0008616922753510448,-0.0132698844154826,-0.01240819214013156,1.468067796645403
