snapshot_id,replicate,step,registered_age_h,age_h,elapsed_physical_time_s,particle_count,box_volume_nm3,Nv_nm-3,mean_radius_nm,Sv_nm-1,M6_nm3,beta_volume_fraction,matrix_xAg,matrix_xB,matrix_xAg_source_column,matrix_xB_source_column,matrix_observation_contract,full_psd_canonical_sha256
historical_elastic_72848_step_000000,historical_elastic_72848,0,6.0,6.0,0.0,96,14886936.0,6.448607020276033e-06,9.54047257978136,0.007425294979835234,5.362605436068244,0.02392954496679758,0.006200715773943168,0.0062200000000001325,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,06bf7da2777ba0ee1f65289dd286c06769b85c9c2e4a1e0350dbec7ba570c919
historical_elastic_72848_step_003633,historical_elastic_72848,3633,7.0,7.0,3600.0,85,14886935.999999998,5.709704132536071e-06,9.350440302099251,0.006614762150539012,6.419176438816436,0.02247121610351774,0.007674314824837801,0.007703875809002669,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,9f8641c6dddebd917388105a10725e7ec955d0f230ed755e588800ef543022aa
historical_elastic_72848_step_007266,historical_elastic_72848,7266,8.0,8.0,7200.0,59,14886936.0,3.963206397877978e-06,10.676764909523044,0.005941919992612488,9.226452485027066,0.022765359248273515,0.007377103149022631,0.007404414714576416,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,bd7c02a531ff1157039373556c44db932dc793d7a26412939a1eb125d907029d
historical_elastic_72848_step_010899,historical_elastic_72848,10899,9.0,9.0,10800.0,49,14886936.0,3.2914764999325584e-06,11.279984015923649,0.005548940411368547,11.904371712399234,0.022873242773653046,0.007268279915995325,0.007294790204562937,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,f6d02e94ed7b3255e0ed06fb27076b6ebdbe339281adab1845513ee4ef8acdc7
historical_elastic_72848_step_014532,historical_elastic_72848,14532,10.0,10.0,14400.0,36,14886936.0,2.418227632603512e-06,12.626220183330044,0.005079528408142587,15.341698809355531,0.023058647913040138,0.007081031988429811,0.007106191573353222,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,814289b45e932b778cfecb8a5d401fcc3a401014ce8a6958b4613613e8913c32
historical_elastic_72848_step_018165,historical_elastic_72848,18165,11.0,11.0,18000.0,30,14886935.999999998,2.0151896938362604e-06,13.563398187897743,0.004828904046224164,17.805329240832386,0.02315048290180727,0.006988272426397716,0.007012776021047912,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,387bdeb01f1ca3ab91741992297b426d2eb591c42832432257f4ce9b06d5922b
historical_elastic_72848_step_021798,historical_elastic_72848,21798,12.0,12.0,21600.0,27,14886936.0,1.813670724452634e-06,14.141202427509677,0.004697022729246428,19.58784243904166,0.023251655515650897,0.0068855226246174695,0.0069093097288467015,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,bacaa47f69cf6a1864a0086730bd592d1ce65dab0e068767eb1e4d2296be5d5f
historical_elastic_72848_step_025431,historical_elastic_72848,25431,13.0,13.0,25200.0,26,14886936.0,1.7464977346580923e-06,14.310718311653838,0.004627599099645454,21.102185206162858,0.023270604057407246,0.006866402933843319,0.006890057890700849,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,2e8266bec2914cbdf6ecf69a27da4c22e8418f5238f3cd329ea71b0e0329c7ba
historical_elastic_72848_step_029064,historical_elastic_72848,29064,14.0,14.0,28800.0,24,14886936.0,1.6121517550690082e-06,14.603695527471311,0.0044845603106257615,23.560842466628984,0.023304801314638034,0.006831918565607966,0.006855336114645532,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,18e49781b135ebfef6fdf58497c055b20e35015e931e5bb0f3e776a6fbf5ee0a
historical_elastic_72848_step_032697,historical_elastic_72848,32697,15.0,15.0,32400.0,22,14886936.0,1.4778057754799242e-06,14.878994339587603,0.004331891960291307,26.202299487886368,0.023341743583137696,0.006794695236944262,0.006817857870142471,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,83dad0745ba364c9969ac7a67354f50e7cc4ff1a98de401cf66fd03b09133faf
historical_elastic_72848_step_036330,historical_elastic_72848,36330,16.0,16.0,36000.0,19,14886936.0,1.276286806096298e-06,15.834558425699775,0.004161821338467003,30.581133936913325,0.023405298732171172,0.006730189491730449,0.006752913686094808,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,45efba7bc7baa9e296f965503d9754ce4586e769af8c97ba1268022fce72e558
historical_elastic_72848_step_039963,historical_elastic_72848,39963,17.0,17.0,39600.0,18,14886936.0,1.209113816301756e-06,16.022097685829095,0.004066153061197095,33.09351473515558,0.02340504425478264,0.0067307025734398744,0.006753430238583063,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,7fa3aebe3656b1f988e7d67c13b74c021d6e08b4f0d14d22ead9e35f5bc96cc4
historical_elastic_72848_step_043596,historical_elastic_72848,43596,18.0,18.0,43200.0,17,14886936.000000002,1.141940826507214e-06,16.286946642424535,0.003980858096882629,35.7570014558626,0.023440124884222934,0.006695177704069287,0.0067176656868342295,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,c8bf2583131b47216e35cda1b85c1e99fd641cf1004ce04711eb8fa8e00c3e08
historical_elastic_72848_step_047229,historical_elastic_72848,47229,19.0,19.0,46800.0,17,14886936.000000002,1.141940826507214e-06,15.74579541516553,0.0038779177171999633,39.20893269805619,0.02342274989039219,0.006712969649519892,0.00673557751322904,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,0595acb2e1e5ed119eef1477304cb2bf194ca3b10c863a9b27af308a900693f5
historical_elastic_72848_step_050862,historical_elastic_72848,50862,20.0,20.0,50400.0,14,14886936.0,9.40421857123588e-07,17.055362852397824,0.003695785016656368,43.435932373318636,0.0234742572460755,0.0066610608331993575,0.006683319833187653,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,5f9d725a6bf4a8ba842d7469b373ba75d9a9ac72c6cd0f6767198cce6845f95d
historical_elastic_72848_step_054495,historical_elastic_72848,54495,21.0,21.0,54000.0,12,14886936.0,8.060758775345041e-07,18.63038183694835,0.0036136691277111823,46.081565222627646,0.023567542357059743,0.006566313284453837,0.0065879425317355135,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,1027d87d8398ea4404950255ceb3fa3565ce76023623d924e21ea4f151df256f
historical_elastic_72848_step_058128,historical_elastic_72848,58128,22.0,22.0,57600.0,12,14886936.0,8.060758775345041e-07,18.409165730717024,0.0035797808320951812,47.84403250325276,0.023564227755102335,0.006569722166963967,0.006591373914622789,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,f19c295a9f4af9bf031cb65050f853f2f53919a6a8441e42ab5826f08bc46bc8
historical_elastic_72848_step_061761,historical_elastic_72848,61761,23.0,23.0,61200.0,11,14886936.0,7.389028877399621e-07,19.124604087332486,0.0035063233315749585,50.23026079223739,0.023586580322459524,0.006547164259947403,0.006568667331942994,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,f6eae78c38e608560f665659c538fbb2cb7085937d5453895684b32a1d217d28
historical_elastic_72848_step_065394,historical_elastic_72848,65394,24.0,24.0,64800.0,10,14886936.0,6.7172989794542e-07,20.063829412392856,0.0034421584629990114,52.2077905166305,0.023600226852405093,0.006533480869022269,0.006554894006316638,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,6f57cee0a88cc41b29d06c238b161957067ed55e64211afa4eab7287876e92a1
historical_elastic_72848_step_069027,historical_elastic_72848,69027,25.0,25.0,68400.0,10,14886936.0,6.7172989794542e-07,20.009165713759373,0.0034354295822554776,53.35553613857739,0.023635244952692126,0.006497796712752075,0.006518976203825941,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,0392861a4f90f7ff9f1ea5256480bc9b6f58f571ddec51be723c6f15036afc28
historical_elastic_72848_step_072660,historical_elastic_72848,72660,26.0,26.0,72000.0,10,14886936.0,6.7172989794542e-07,19.917780848390212,0.0034214946581654516,54.577267301827455,0.023633295289223633,0.006499794872498293,0.006520987412772876,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,6aade79e0a192595b1bd5e61e4addfc16a93162c3b753eb819c7c7e9856e29c5
historical_elastic_72848_step_076293,historical_elastic_72848,76293,27.0,27.0,75600.0,10,14886936.0,6.7172989794542e-07,19.778038243147595,0.0034013841407582435,56.09797333950184,0.023629807852260192,0.006503363756106409,0.006524579613397208,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,21103c6f140591539943f2549139ce062c303594bc12b2defbe79ad39eaf11ab
historical_elastic_72848_step_079926,historical_elastic_72848,79926,28.0,28.0,79200.0,10,14886936.0,6.7172989794542e-07,19.504200842365332,0.003366761320683658,58.05233998213128,0.023621933452142863,0.006511458486167898,0.006532727277402027,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,dbc1e1c0a1d3af9011ed78b0686bba6a742b894749e3864cfedaa84cc8e0be73
historical_elastic_72848_step_083559,historical_elastic_72848,83559,29.0,29.0,82800.0,9,14886936.0,6.04556908150878e-07,20.699902813469595,0.003315087539667345,60.21784485156858,0.02367377619780053,0.00645885336719564,0.006479779339498442,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,d02de902ba638835ce413fb9631b37af3ddb6f3f3ab3889af9ddf4bd9907fca8
historical_elastic_72848_step_087192,historical_elastic_72848,87192,30.0,30.0,86400.0,9,14886936.0,6.04556908150878e-07,20.612533666454514,0.0033027801056746326,61.50718797800266,0.02367351890201894,0.0064591305614324305,0.00648005833284119,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,605432260c87b54c8a1cb30b70bb691ac27c847f39535db850df84e9430bc541
historical_elastic_72848_step_090825,historical_elastic_72848,90825,31.0,31.0,90000.0,9,14886936.0,6.04556908150878e-07,20.484758995122156,0.003285524660919017,63.065578905683346,0.023669951654230144,0.0064627365421033554,0.006483687724896994,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,d9599f3881737fd192a58f29a0fcf2bc1545ffed47e747f62693146379745024
historical_elastic_72848_step_094458,historical_elastic_72848,94458,32.0,32.0,93600.0,9,14886936.0,6.04556908150878e-07,20.265969148060172,0.0032586860836515768,65.01157296721983,0.023663494061579887,0.006469402630537855,0.00649039712666008,matrix_xAg,matrix_xB,historical h(phi)<0.005 matrix observation; smoke only,296817449a8f4352812ba61058e5c6aa162c77ac42c8cffae0f006c10811b611
