age_h,temperature_K,replicate_count,kappa_L_no_dis_fixed_matrix_W_mK_mean,kappa_L_no_dis_fixed_matrix_W_mK_sample_std,kappa_L_no_dis_fixed_matrix_W_mK_min,kappa_L_no_dis_fixed_matrix_W_mK_max,kappa_L_no_dis_time_varying_matrix_W_mK_mean,kappa_L_no_dis_time_varying_matrix_W_mK_sample_std,kappa_L_no_dis_time_varying_matrix_W_mK_min,kappa_L_no_dis_time_varying_matrix_W_mK_max,delta_kappa_PSD_W_mK_mean,delta_kappa_PSD_W_mK_sample_std,delta_kappa_PSD_W_mK_min,delta_kappa_PSD_W_mK_max,delta_kappa_PSD_plus_matrix_W_mK_mean,delta_kappa_PSD_plus_matrix_W_mK_sample_std,delta_kappa_PSD_plus_matrix_W_mK_min,delta_kappa_PSD_plus_matrix_W_mK_max,delta_kappa_matrix_given_PSD_W_mK_mean,delta_kappa_matrix_given_PSD_W_mK_sample_std,delta_kappa_matrix_given_PSD_W_mK_min,delta_kappa_matrix_given_PSD_W_mK_max
6,300,3,2.286555344237568,0,2.286555344237568,2.286555344237568,2.286555344237568,0,2.286555344237568,2.286555344237568,0,0,0,0,0,0,0,0,0,0,0,0
6,450,3,1.612372192314814,2.719479911021036e-16,1.612372192314814,1.612372192314814,1.612372192314814,2.719479911021036e-16,1.612372192314814,1.612372192314814,0,0,0,0,0,0,0,0,0,0,0,0
6,600,3,1.245216946330955,0,1.245216946330955,1.245216946330955,1.245216946330955,0,1.245216946330955,1.245216946330955,0,0,0,0,0,0,0,0,0,0,0,0
12,300,3,2.283916985085304,0,2.283916985085304,2.283916985085304,2.25857880484668,0,2.25857880484668,2.25857880484668,-0.002638359152264069,0,-0.002638359152264069,-0.002638359152264069,-0.02797653939088818,0,-0.02797653939088818,-0.02797653939088818,-0.02533818023862411,0,-0.02533818023862411,-0.02533818023862411
12,450,3,1.611024048532019,0,1.611024048532019,1.611024048532019,1.5980614185366,2.719479911021036e-16,1.5980614185366,1.5980614185366,-0.001348143782794242,0,-0.001348143782794242,-0.001348143782794242,-0.01431077377821399,0,-0.01431077377821399,-0.01431077377821399,-0.01296262999541975,0,-0.01296262999541975,-0.01296262999541975
12,600,3,1.244401156210863,0,1.244401156210863,1.244401156210863,1.236545156267251,0,1.236545156267251,1.236545156267251,-0.0008157901200922524,0,-0.0008157901200922524,-0.0008157901200922524,-0.008671790063704332,0,-0.008671790063704332,-0.008671790063704332,-0.00785599994361208,0,-0.00785599994361208,-0.00785599994361208
18,300,3,2.282825632872417,0,2.282825632872417,2.282825632872417,2.26437094227443,0,2.26437094227443,2.26437094227443,-0.003729711365151545,0,-0.003729711365151545,-0.003729711365151545,-0.02218440196313853,0,-0.02218440196313853,-0.02218440196313853,-0.01845469059798699,0,-0.01845469059798699,-0.01845469059798699
18,450,3,1.610304036408777,2.719479911021036e-16,1.610304036408777,1.610304036408777,1.600886453003455,0,1.600886453003455,1.600886453003455,-0.002068155906036928,0,-0.002068155906036928,-0.002068155906036928,-0.01148573931135854,0,-0.01148573931135854,-0.01148573931135854,-0.009417583405321617,0,-0.009417583405321617,-0.009417583405321617
18,600,3,1.243914882217971,0,1.243914882217971,1.243914882217971,1.238215181304118,0,1.238215181304118,1.238215181304118,-0.001302064112984169,0,-0.001302064112984169,-0.001302064112984169,-0.007001765026837026,0,-0.007001765026837026,-0.007001765026837026,-0.005699700913852856,0,-0.005699700913852856,-0.005699700913852856
24,300,3,2.282542756710503,0,2.282542756710503,2.282542756710503,2.270034355885589,0,2.270034355885589,2.270034355885589,-0.004012587527065126,0,-0.004012587527065126,-0.004012587527065126,-0.01652098835197924,0,-0.01652098835197924,-0.01652098835197924,-0.01250840082491411,0,-0.01250840082491411,-0.01250840082491411
24,450,3,1.60994550894439,2.719479911021036e-16,1.60994550894439,1.60994550894439,1.603575438169498,0,1.603575438169498,1.603575438169498,-0.002426683370423621,0,-0.002426683370423621,-0.002426683370423621,-0.008796754145315333,0,-0.008796754145315333,-0.008796754145315333,-0.006370070774891712,0,-0.006370070774891712,-0.006370070774891712
24,600,3,1.243629914389277,0,1.243629914389277,1.243629914389277,1.239778963489938,0,1.239778963489938,1.239778963489938,-0.001587031941678418,2.655742100606481e-19,-0.001587031941678418,-0.001587031941678418,-0.005437982841017153,0,-0.005437982841017153,-0.005437982841017153,-0.003850950899338734,0,-0.003850950899338734,-0.003850950899338734
