matrix_mode,descriptor_model,observations,MAPE_fraction_vs_full_psd,max_relative_error_vs_full_psd,RMSE_W_mK_vs_full_psd
fixed_6h_matrix,full_psd,54,0,0,0
fixed_6h_matrix,Nv_plus_mean_R_monodisperse,54,0.001995374180622683,0.00485427496179188,0.004474115507272025
fixed_6h_matrix,Sv_geometric_limit,54,0.04581608719736347,0.08792538470298752,0.08953246762232948
fixed_6h_matrix,M6_rayleigh_limit,54,0.7451430448332526,0.8846725264640077,1.355721996465244
fixed_6h_matrix,Sv_plus_M6_moment_reconstruction,54,0.0007386671448339155,0.001551643683038037,0.001596935504707482
pf_time_varying_matrix,full_psd,54,0,0,0
pf_time_varying_matrix,Nv_plus_mean_R_monodisperse,54,0.002003235619238302,0.004885040353126412,0.004467531062139205
pf_time_varying_matrix,Sv_geometric_limit,54,0.04598679208701108,0.08792538470298752,0.08952493932462069
pf_time_varying_matrix,M6_rayleigh_limit,54,0.744291396977261,0.8843930049234658,1.347927637956737
pf_time_varying_matrix,Sv_plus_M6_moment_reconstruction,54,0.0007415705646080095,0.001562716501970315,0.001595956507215368
