replicate,snapshot_id,step,age_h,temperature_K,fixed_6h_matrix_xAg,pf_time_varying_matrix_xAg,kappa_L_no_dis_fixed_matrix_W_mK,kappa_L_no_dis_time_varying_matrix_W_mK,delta_kappa_PSD_W_mK,delta_kappa_PSD_plus_matrix_W_mK,delta_kappa_matrix_given_PSD_W_mK,reference_6h_full_psd_fixed_matrix_W_mK
A,A_step_000000,0,6,300,0.006200715773943168,0.006200715773943168,2.286555344237568,2.286555344237568,0,0,0,2.286555344237568
A,A_step_000000,0,6,450,0.006200715773943168,0.006200715773943168,1.612372192314814,1.612372192314814,0,0,0,1.612372192314814
A,A_step_000000,0,6,600,0.006200715773943168,0.006200715773943168,1.245216946330955,1.245216946330955,0,0,0,1.245216946330955
A,A_step_021798,21798,12,300,0.006200715773943168,0.00688552262461747,2.283916985085304,2.25857880484668,-0.002638359152264069,-0.02797653939088818,-0.02533818023862411,2.286555344237568
A,A_step_021798,21798,12,450,0.006200715773943168,0.00688552262461747,1.611024048532019,1.5980614185366,-0.001348143782794242,-0.01431077377821399,-0.01296262999541975,1.612372192314814
A,A_step_021798,21798,12,600,0.006200715773943168,0.00688552262461747,1.244401156210863,1.236545156267251,-0.0008157901200922524,-0.008671790063704332,-0.00785599994361208,1.245216946330955
A,A_step_043596,43596,18,300,0.006200715773943168,0.006695177704069287,2.282825632872417,2.26437094227443,-0.003729711365151545,-0.02218440196313853,-0.01845469059798699,2.286555344237568
A,A_step_043596,43596,18,450,0.006200715773943168,0.006695177704069287,1.610304036408777,1.600886453003455,-0.002068155906036928,-0.01148573931135854,-0.009417583405321617,1.612372192314814
A,A_step_043596,43596,18,600,0.006200715773943168,0.006695177704069287,1.243914882217971,1.238215181304118,-0.001302064112984169,-0.007001765026837026,-0.005699700913852856,1.245216946330955
A,A_step_065394,65394,24,300,0.006200715773943168,0.006533480869022269,2.282542756710503,2.270034355885589,-0.004012587527065126,-0.01652098835197924,-0.01250840082491411,2.286555344237568
A,A_step_065394,65394,24,450,0.006200715773943168,0.006533480869022269,1.60994550894439,1.603575438169498,-0.002426683370423621,-0.008796754145315333,-0.006370070774891712,1.612372192314814
A,A_step_065394,65394,24,600,0.006200715773943168,0.006533480869022269,1.243629914389277,1.239778963489938,-0.001587031941678418,-0.005437982841017153,-0.003850950899338734,1.245216946330955
A,A_step_108990,108990,36,300,0.006200715773943168,0.006422403354565369,2.282771824652034,2.274400873761843,-0.003783519585534023,-0.01215447047572482,-0.008370950890190798,2.286555344237568
A,A_step_108990,108990,36,450,0.006200715773943168,0.006422403354565369,1.609886209583147,1.605628718379355,-0.00248598273166678,-0.006743473935458377,-0.004257491203791597,1.612372192314814
A,A_step_108990,108990,36,600,0.006200715773943168,0.006422403354565369,1.243536643291452,1.240964669326114,-0.001680303039502951,-0.004252277004840543,-0.002571973965337593,1.245216946330955
A,A_step_152600,152600,48,300,0.006200715773943168,0.006348132582575448,2.283500131750247,2.277913367520153,-0.00305521248732088,-0.008641976717414845,-0.005586764230093966,2.286555344237568
A,A_step_152600,152600,48,450,0.006200715773943168,0.006348132582575448,1.61002901191155,1.607190601917668,-0.002343180403263201,-0.005181590397145719,-0.002838409993882518,1.612372192314814
A,A_step_152600,152600,48,600,0.006200715773943168,0.006348132582575448,1.243547271619769,1.241833565972176,-0.001669674711185731,-0.003383380358779497,-0.001713705647593766,1.245216946330955
