step,age_h,temperature_K,replicate_count,kappa_L_no_dis_fixed_6h_matrix_W_mK_mean,kappa_L_no_dis_fixed_6h_matrix_W_mK_sample_std,kappa_L_no_dis_fixed_6h_matrix_W_mK_min,kappa_L_no_dis_fixed_6h_matrix_W_mK_max,kappa_L_no_dis_pf_time_varying_matrix_W_mK_mean,kappa_L_no_dis_pf_time_varying_matrix_W_mK_sample_std,kappa_L_no_dis_pf_time_varying_matrix_W_mK_min,kappa_L_no_dis_pf_time_varying_matrix_W_mK_max,delta_kappa_PSD_W_mK_mean,delta_kappa_PSD_W_mK_sample_std,delta_kappa_PSD_W_mK_min,delta_kappa_PSD_W_mK_max,delta_kappa_PSD_plus_matrix_W_mK_mean,delta_kappa_PSD_plus_matrix_W_mK_sample_std,delta_kappa_PSD_plus_matrix_W_mK_min,delta_kappa_PSD_plus_matrix_W_mK_max,delta_kappa_matrix_given_PSD_W_mK_mean,delta_kappa_matrix_given_PSD_W_mK_sample_std,delta_kappa_matrix_given_PSD_W_mK_min,delta_kappa_matrix_given_PSD_W_mK_max
0,6,300,3,2.2864700818238162,6.5277321770093287e-06,2.2864628053189278,2.2864754232042155,2.2864700818238162,6.5277321770093287e-06,2.2864628053189278,2.2864754232042155,0,0,0,0,0,0,0,0,0,0,0,0
0,6,350,3,2.0068465520693981,5.0845173346718934e-06,2.0068408843227634,2.0068507125182284,2.0068465520693981,5.0845173346718934e-06,2.0068408843227634,2.0068507125182284,0,0,0,0,0,0,0,0,0,0,0,0
0,6,400,3,1.7880931428366029,4.0718513067695829e-06,1.7880886039141914,1.7880964746586563,1.7880931428366029,4.0718513067695829e-06,1.7880886039141914,1.7880964746586563,0,0,0,0,0,0,0,0,0,0,0,0
0,6,450,3,1.6123284914014431,3.3341612671880222e-06,1.6123247747864624,1.6123312196004034,1.6123284914014431,3.3341612671880222e-06,1.6123247747864624,1.6123312196004034,0,0,0,0,0,0,0,0,0,0,0,0
0,6,500,3,1.4680313311401856,2.780227405731301e-06,1.4680282319987883,1.4680336060772587,1.4680313311401856,2.780227405731301e-06,1.4680282319987883,1.4680336060772587,0,0,0,0,0,0,0,0,0,0,0,0
0,6,550,3,1.3474523183096718,2.3537264886604269e-06,1.3474496945917038,1.3474542442585524,1.3474523183096718,2.3537264886604269e-06,1.3474496945917038,1.3474542442585524,0,0,0,0,0,0,0,0,0,0,0,0
0,6,600,3,1.2451904462844445,2.0183662910192791e-06,1.245188196394837,1.2451920978221178,1.2451904462844445,2.0183662910192791e-06,1.245188196394837,1.2451920978221178,0,0,0,0,0,0,0,0,0,0,0,0
3633,7.0000095845504964,300,3,2.2913453553458361,8.8366762103330164e-05,2.2912446267004105,2.2914098260372415,2.2375925492565787,0.00016333827538758165,2.2374830360741718,2.2377802890774237,0.0048752735220197367,8.9250697996047043e-05,0.0047726097521052502,0.0049344028330260414,-0.048877532567237626,0.00016118209762625417,-0.048979769244756,-0.048691727870881607,-0.053752806089257366,0.00024982574746425034,-0.053898577225683919,-0.053464337622986857
3633,7.0000095845504964,350,3,2.0105715888146753,6.6825174419630863e-05,2.010495405992704,2.0106202980014918,1.9685383497395172,0.00013087866372711262,1.9684512437173238,1.9686888542830585,0.0037250367452773916,6.7522944077042584e-05,0.0036473466255024789,0.003769585483263338,-0.038308202329880491,0.00012922187588589214,-0.03838964060543959,-0.038159205084143055,-0.04203323907515788,0.00019632090794255132,-0.042147818732505948,-0.041806551709645534
3633,7.0000095845504964,400,3,1.791031645135164,5.2291260494872341e-05,1.7909720268465499,1.7910697380389549,1.757262525146954,0.00010712183741275869,1.7571916123649713,1.7573857518123228,0.0029385022985608522,5.2855505195256852e-05,0.0028776769095881782,0.0029732633802985742,-0.03083061768964912,0.00010580809991079864,-0.030896991549220099,-0.030708598124638886,-0.033769119988209972,0.00015835163252571173,-0.033861558155015903,-0.033586275034227064
3633,7.0000095845504964,450,3,1.6147055942557047,4.2026738875884617e-05,1.6146576763665945,1.6147361980259132,1.5869812436330879,8.9248525511748385e-05,1.5869224035958795,1.5870839349750185,0.0023771028542614778,4.2492151755222625e-05,0.0023281965491308565,0.0024049784255097961,-0.025347247768355247,8.8180856709587412e-05,-0.025402371190582862,-0.025245544842445122,-0.027724350622616727,0.0001304341867580244,-0.027800504778726642,-0.027573741391575979
