replicate,step,age_h,temperature_K,matrix_mode,registered_kappa_W_mK,hourly_recomputed_kappa_W_mK,relative_difference
A,0,6,300,fixed_6h_matrix,2.2864720169483048,2.2864720169483053,1.9422464240029363e-16
A,0,6,300,pf_time_varying_matrix,2.2864720169483048,2.2864720169483053,1.9422464240029363e-16
A,0,6,350,fixed_6h_matrix,2.006848059367202,2.0068480593672016,2.2128691196985412e-16
A,0,6,350,pf_time_varying_matrix,2.006848059367202,2.0068480593672016,2.2128691196985412e-16
A,0,6,400,fixed_6h_matrix,1.7880943499369619,1.7880943499369617,1.241794678971271e-16
A,0,6,400,pf_time_varying_matrix,1.7880943499369619,1.7880943499369617,1.241794678971271e-16
A,0,6,450,fixed_6h_matrix,1.6123294798174641,1.6123294798174637,2.75433287928432e-16
A,0,6,450,pf_time_varying_matrix,1.6123294798174641,1.6123294798174637,2.75433287928432e-16
A,0,6,500,fixed_6h_matrix,1.4680321553445099,1.4680321553445097,1.5125322978563985e-16
A,0,6,500,pf_time_varying_matrix,1.4680321553445099,1.4680321553445097,1.5125322978563985e-16
A,0,6,550,fixed_6h_matrix,1.3474530160787599,1.3474530160787601,1.6478838391798338e-16
A,0,6,550,pf_time_varying_matrix,1.3474530160787599,1.3474530160787601,1.6478838391798338e-16
A,0,6,600,fixed_6h_matrix,1.245191044636379,1.2451910446363788,1.7832171688150297e-16
A,0,6,600,pf_time_varying_matrix,1.245191044636379,1.2451910446363788,1.7832171688150297e-16
A,21798,12,300,fixed_6h_matrix,2.2843640018064089,2.2843640018064093,1.9440387324388309e-16
A,21798,12,300,pf_time_varying_matrix,2.2554958398609659,2.2554958398609664,1.9689205451047843e-16
A,21798,12,350,fixed_6h_matrix,2.005201102244182,2.0052011022441816,2.214686643414701e-16
A,21798,12,350,pf_time_varying_matrix,1.9826951585910411,1.9826951585910411,0
A,21798,12,400,fixed_6h_matrix,1.7867724067837349,1.7867724067837345,2.485426840956436e-16
A,21798,12,400,pf_time_varying_matrix,1.7687347035637819,1.7687347035637817,1.25538671502085e-16
A,21798,12,450,fixed_6h_matrix,1.6112451792199021,1.6112451792199018,1.3780932150409043e-16
A,21798,12,450,pf_time_varying_matrix,1.5964651977146549,1.5964651977146553,2.7817030429838231e-16
A,21798,12,500,fixed_6h_matrix,1.4671268206870489,1.4671268206870489,0
A,21798,12,500,pf_time_varying_matrix,1.4547949789800501,1.4547949789800503,1.5262948259603269e-16
A,21798,12,550,fixed_6h_matrix,1.3466857891792501,1.3466857891792501,0
A,21798,12,550,pf_time_varying_matrix,1.3362402189777189,1.3362402189777187,1.6617117324526047e-16
A,21798,12,600,fixed_6h_matrix,1.2445326068371529,1.2445326068371529,0
A,21798,12,600,pf_time_varying_matrix,1.235571165062896,1.2355711650628962,1.7971008971687055e-16
A,43596,18,300,fixed_6h_matrix,2.2827781430373659,2.2827781430373664,1.9453892670409779e-16
A,43596,18,300,pf_time_varying_matrix,2.2654097789820589,2.2654097789820589,0
A,43596,18,350,fixed_6h_matrix,2.0038065254561821,2.0038065254561821,0
A,43596,18,350,pf_time_varying_matrix,1.990287395419142,1.9902873954191416,2.2312818283036969e-16
A,43596,18,400,fixed_6h_matrix,1.7855584776365381,1.7855584776365379,1.2435582911792482e-16
A,43596,18,400,pf_time_varying_matrix,1.7747368661822871,1.7747368661822867,2.5022819907120208e-16
A,43596,18,450,fixed_6h_matrix,1.610188643457183,1.6101886434571833,1.3789974598770405e-16
A,43596,18,450,pf_time_varying_matrix,1.6013303952885209,1.6013303952885212,1.3866258055073279e-16
A,43596,18,500,fixed_6h_matrix,1.4662037343981249,1.4662037343981253,3.0288369851435465e-16
A,43596,18,500,pf_time_varying_matrix,1.458818887299685,1.4588188872996855,3.0441695930608923e-16
A,43596,18,550,fixed_6h_matrix,1.345874949237027,1.3458749492370266,3.2996320356643508e-16
A,43596,18,550,pf_time_varying_matrix,1.339624041293487,1.3396240412934872,1.6575143329813191e-16
A,43596,18,600,fixed_6h_matrix,1.24381618746217,1.2438161874621705,3.5703765100224611e-16
A,43596,18,600,pf_time_varying_matrix,1.2384566041038101,1.2384566041038096,3.585827782568295e-16
A,65393,24,300,fixed_6h_matrix,2.2829997411331329,2.2829997411331333,1.9452004389174637e-16
A,65393,24,300,pf_time_varying_matrix,2.2702484023235052,2.2702484023235048,1.9561260758759071e-16
A,65393,24,350,fixed_6h_matrix,2.0038174441596239,2.0038174441596244,2.2162159090111529e-16
A,65393,24,350,pf_time_varying_matrix,1.993899297171146,1.9938992971711456,2.2272399136712486e-16
A,65393,24,400,fixed_6h_matrix,1.7854673517176061,1.7854673517176058,1.2436217593753596e-16
A,65393,24,400,pf_time_varying_matrix,1.777532699583108,1.7775326995831082,1.2491731093166855e-16
A,65393,24,450,fixed_6h_matrix,1.610048980579867,1.6100489805798668,1.379117080308084e-16
A,65393,24,450,pf_time_varying_matrix,1.6035568632648869,1.6035568632648873,2.7694010734729078e-16
A,65393,24,500,fixed_6h_matrix,1.466043076505523,1.4660430765055226,3.0291689034717775e-16
A,65393,24,500,pf_time_varying_matrix,1.4606328203450389,1.4606328203450387,1.5201945474056833e-16
A,65393,24,550,fixed_6h_matrix,1.3457078449547599,1.3457078449547604,3.3000417699503862e-16
A,65393,24,550,pf_time_varying_matrix,1.341129761281189,1.341129761281189,0
A,65393,24,600,fixed_6h_matrix,1.243650378343784,1.243650378343784,0
A,65393,24,600,pf_time_varying_matrix,1.239726130744276,1.239726130744276,0
A,108989,36,300,fixed_6h_matrix,2.2833646842939368,2.2833646842939372,1.9448895435088334e-16
A,108989,36,300,pf_time_varying_matrix,2.2784761341897579,2.2784761341897579,0
A,108989,36,350,fixed_6h_matrix,2.0039244616474878,2.0039244616474878,0
A,108989,36,350,pf_time_varying_matrix,2.0001255621490759,2.0001255621490763,2.2203066560126449e-16
A,108989,36,400,fixed_6h_matrix,1.7854423197418861,1.7854423197418865,2.4872783900084923e-16
A,108989,36,400,pf_time_varying_matrix,1.7824053387907379,1.7824053387907384,2.4915163806194178e-16
A,108989,36,450,fixed_6h_matrix,1.6099556687779091,1.6099556687779091,0
A,108989,36,450,pf_time_varying_matrix,1.6074722668112129,1.6074722668112131,1.3813277498435934e-16
A,108989,36,500,fixed_6h_matrix,1.4659153884116589,1.4659153884116594,3.0294327582660815e-16
A,108989,36,500,pf_time_varying_matrix,1.4638468248514529,1.4638468248514531,1.5168568265164204e-16
A,108989,36,550,fixed_6h_matrix,1.3455644127661379,1.3455644127661381,1.6501967710974469e-16
A,108989,36,550,pf_time_varying_matrix,1.3438147334200889,1.3438147334200889,0
A,108989,36,600,fixed_6h_matrix,1.243501644481271,1.2435016444812714,3.5712796345783301e-16
A,108989,36,600,pf_time_varying_matrix,1.242002371389106,1.2420023713891064,3.5755906758324076e-16
A,152585,48,300,fixed_6h_matrix,2.2840431266470991,2.2840431266470991,0
A,152585,48,300,pf_time_varying_matrix,2.280328018819537,2.280328018819537,0
A,152585,48,350,fixed_6h_matrix,2.004352206047388,2.0043522060473884,2.2156246218114185e-16
A,152585,48,350,pf_time_varying_matrix,2.001465844046538,2.001465844046538,0
A,152585,48,400,fixed_6h_matrix,1.7857214774149139,1.7857214774149144,2.4868895595798341e-16
A,152585,48,400,pf_time_varying_matrix,1.7834144169476309,1.7834144169476307,1.2450533247626626e-16
A,152585,48,450,fixed_6h_matrix,1.610142291401496,1.6101422914014965,2.7580743156775269e-16
A,152585,48,450,pf_time_varying_matrix,1.6082560240798831,1.6082560240798833,1.3806545823577293e-16
A,152585,48,500,fixed_6h_matrix,1.466042097321389,1.4660420973213895,3.0291709266838905e-16
A,152585,48,500,pf_time_varying_matrix,1.464471099765692,1.464471099765692,0
A,152585,48,550,fixed_6h_matrix,1.3456511036134411,1.3456511036134409,1.6500904605122445e-16
A,152585,48,550,pf_time_varying_matrix,1.344322413162905,1.3443224131629046,3.3034427269959372e-16
A,152585,48,600,fixed_6h_matrix,1.243560925401161,1.2435609254011613,1.7855546953069613e-16
A,152585,48,600,pf_time_varying_matrix,1.242422482743013,1.2424224827430126,3.5743816295854939e-16
B,0,6,300,fixed_6h_matrix,2.2864628053189282,2.2864628053189278,1.942254248864191e-16
B,0,6,300,pf_time_varying_matrix,2.2864628053189282,2.2864628053189278,1.942254248864191e-16
B,0,6,350,fixed_6h_matrix,2.006840884322763,2.0068408843227634,2.2128770313543161e-16
B,0,6,350,pf_time_varying_matrix,2.006840884322763,2.0068408843227634,2.2128770313543161e-16
B,0,6,400,fixed_6h_matrix,1.788088603914191,1.7880886039141914,2.4835973389570025e-16
B,0,6,400,pf_time_varying_matrix,1.788088603914191,1.7880886039141914,2.4835973389570025e-16
B,0,6,450,fixed_6h_matrix,1.612324774786462,1.6123247747864624,2.7543409168843062e-16
B,0,6,450,pf_time_varying_matrix,1.612324774786462,1.6123247747864624,2.7543409168843062e-16
B,0,6,500,fixed_6h_matrix,1.4680282319987881,1.4680282319987883,1.5125363401404573e-16
B,0,6,500,pf_time_varying_matrix,1.4680282319987881,1.4680282319987883,1.5125363401404573e-16
B,0,6,550,fixed_6h_matrix,1.3474496945917041,1.3474496945917038,1.6478879012423088e-16
B,0,6,550,pf_time_varying_matrix,1.3474496945917041,1.3474496945917038,1.6478879012423088e-16
B,0,6,600,fixed_6h_matrix,1.245188196394837,1.245188196394837,0
B,0,6,600,pf_time_varying_matrix,1.245188196394837,1.245188196394837,0
B,21798,12,300,fixed_6h_matrix,2.2837335683947182,2.2837335683947178,1.9445753917880261e-16
B,21798,12,300,pf_time_varying_matrix,2.2587824341534408,2.2587824341534413,1.9660557083112826e-16
B,21798,12,350,fixed_6h_matrix,2.0047111564797881,2.0047111564797877,2.2152279065971268e-16
B,21798,12,350,pf_time_varying_matrix,1.9852659301253599,1.9852659301253599,0
B,21798,12,400,fixed_6h_matrix,1.786380817473868,1.7863808174738682,1.2429858334407439e-16
B,21798,12,400,pf_time_varying_matrix,1.770800640125235,1.770800640125235,0
B,21798,12,450,fixed_6h_matrix,1.6109250939507049,1.6109250939507049,0
B,21798,12,450,pf_time_varying_matrix,1.598161798267608,1.598161798267608,0
B,21798,12,500,fixed_6h_matrix,1.466860328445643,1.4668603284456432,1.5137406106027875e-16
B,21798,12,500,pf_time_varying_matrix,1.456213224674205,1.4562132246742054,3.0496166517744516e-16
B,21798,12,550,fixed_6h_matrix,1.346460490621308,1.346460490621308,0
B,21798,12,550,pf_time_varying_matrix,1.3374434656407741,1.3374434656407741,0
B,21798,12,600,fixed_6h_matrix,1.2443396485539779,1.2443396485539779,0
B,21798,12,600,pf_time_varying_matrix,1.23660488938326,1.2366048893832597,1.7955986332528013e-16
B,43596,18,300,fixed_6h_matrix,2.2825909182623421,2.2825909182623421,0
B,43596,18,300,pf_time_varying_matrix,2.2648745701089732,2.2648745701089732,0
B,43596,18,350,fixed_6h_matrix,2.0037261094366001,2.0037261094365997,2.21631692953749e-16
B,43596,18,350,pf_time_varying_matrix,1.989933362975326,1.9899333629753262,1.1158393997326258e-16
B,43596,18,400,fixed_6h_matrix,1.785534236082887,1.7855342360828865,2.4871503490423547e-16
B,43596,18,400,pf_time_varying_matrix,1.774491924349793,1.7744919243497925,2.5026273929805865e-16
B,43596,18,450,fixed_6h_matrix,1.610194819490127,1.6101948194901268,1.3789921706203377e-16
B,43596,18,450,pf_time_varying_matrix,1.6011548294019919,1.6011548294019922,1.386777848385604e-16
B,43596,18,500,fixed_6h_matrix,1.466226496745388,1.466226496745388,0
B,43596,18,500,pf_time_varying_matrix,1.4586894066616909,1.4586894066616907,1.5222199044633866e-16
B,43596,18,550,fixed_6h_matrix,1.345906567493427,1.3459065674934274,3.2995545201708915e-16
B,43596,18,550,pf_time_varying_matrix,1.3395262828592209,1.3395262828592209,0
B,43596,18,600,fixed_6h_matrix,1.243852216334522,1.2438522163345216,3.5702730920779186e-16
B,43596,18,600,pf_time_varying_matrix,1.2383813365661831,1.2383813365661827,3.5860457254745542e-16
B,65393,24,300,fixed_6h_matrix,2.2824875881675251,2.2824875881675251,0
B,65393,24,300,pf_time_varying_matrix,2.2675178083655072,2.2675178083655072,0
B,65393,24,350,fixed_6h_matrix,2.0035677147836828,2.0035677147836828,0
B,65393,24,350,pf_time_varying_matrix,1.9919183577244679,1.9919183577244679,0
B,65393,24,400,fixed_6h_matrix,1.785359617781316,1.7853596177813162,1.2436968032298632e-16
B,65393,24,400,pf_time_varying_matrix,1.7760364619325439,1.7760364619325439,0
B,65393,24,450,fixed_6h_matrix,1.610020915026793,1.6100209150267932,1.3791411207930561e-16
B,65393,24,450,pf_time_varying_matrix,1.6023904357900041,1.6023904357900043,1.3857085012839569e-16
B,65393,24,500,fixed_6h_matrix,1.466060583811555,1.4660605838115552,1.5145663649707164e-16
B,65393,24,500,pf_time_varying_matrix,1.4597001060506829,1.4597001060506831,1.5211659162359586e-16
B,65393,24,550,fixed_6h_matrix,1.345751469681719,1.345751469681719,0
B,65393,24,550,pf_time_varying_matrix,1.340368223544476,1.340368223544476,0
B,65393,24,600,fixed_6h_matrix,1.243708659786501,1.243708659786501,0
B,65393,24,600,pf_time_varying_matrix,1.23909344586308,1.2390934458630802,1.7919924091791803e-16
B,108989,36,300,fixed_6h_matrix,2.2824608759256271,2.2824608759256271,0
B,108989,36,300,pf_time_varying_matrix,2.2724615847508192,2.2724615847508187,1.9542209770677291e-16
B,108989,36,350,fixed_6h_matrix,2.0034316319426719,2.0034316319426719,0
B,108989,36,350,pf_time_varying_matrix,1.995655371930771,1.995655371930771,0
B,108989,36,400,fixed_6h_matrix,1.7851794331813671,1.7851794331813668,1.2438223340346566e-16
B,108989,36,400,pf_time_varying_matrix,1.7789591807497269,1.7789591807497267,1.2481714438858149e-16
B,108989,36,450,fixed_6h_matrix,1.609826998079205,1.6098269980792053,1.3793072497229079e-16
B,108989,36,450,pf_time_varying_matrix,1.6047381871747,1.6047381871747,0
B,108989,36,500,fixed_6h_matrix,1.4658673720245281,1.4658673720245281,0
B,108989,36,500,pf_time_varying_matrix,1.461626986627508,1.4616269866275076,3.0383210895327951e-16
B,108989,36,550,fixed_6h_matrix,1.345565730076455,1.3455657300764547,1.6501951555530084e-16
B,108989,36,550,pf_time_varying_matrix,1.341977875274355,1.341977875274355,0
B,108989,36,600,fixed_6h_matrix,1.243533332893257,1.2435333328932572,1.7855943146165048e-16
B,108989,36,600,pf_time_varying_matrix,1.240458113948615,1.240458113948615,0
B,152585,48,300,fixed_6h_matrix,2.2834517248225281,2.2834517248225277,1.9448154082809769e-16
B,152585,48,300,pf_time_varying_matrix,2.2732269419433591,2.2732269419433591,0
B,152585,48,350,fixed_6h_matrix,2.0040579862567651,2.0040579862567647,2.2159499021260593e-16
B,152585,48,350,pf_time_varying_matrix,1.9961080717097961,1.9961080717097957,2.2247753823753211e-16
