step,time,dt,stage,actual_operator,legacy_mode,mass_C,mass_q_plus_hvB,min_C,max_C,min_q,max_q,min_q_minus_1_minus_h,max_q_minus_1_minus_h,min_active_x,max_active_x,min_mu,max_mu,min_mobility,max_mobility,flux_min,flux_max,flux_L1_mean,flux_L2_rms,net_boundary_flux,divergence_sum,phase_storage_signed,phase_storage_abs,stabilizer_increment_L2,projection_mass_increment,projection_increment_L2,nan_inf_count,first_bad_i,first_bad_j,first_bad_k,bad_phi,bad_h,bad_x,bad_q,bad_C,bad_Cmin,bad_Cmax,bad_Y
1,1.00000000000000005e-04,1.00000000000000005e-04,S0,accepted_state,lagged_rhs,4.51324649330590972e+01,4.51324649330590972e+01,2.99999999999999989e-02,9.99999999999999334e-01,3.93547882711454423e-18,2.99999999999999989e-02,-9.69999999999999973e-01,-6.62198335947979372e-16,5.90794032643917905e-03,2.99999999999999989e-02,nan,nan,1.38582497800878168e-02,9.24025385829111201e+00,nan,nan,nan,nan,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S1,phase_input_context_actual_order,lagged_rhs,4.51324649330590972e+01,4.51324649330590972e+01,2.99999999999999989e-02,9.99999999999999334e-01,3.93547882711454423e-18,2.99999999999999989e-02,-9.69999999999999973e-01,-6.62198335947979372e-16,5.90794032643917905e-03,2.99999999999999989e-02,nan,nan,1.38582497800878168e-02,9.24025385829111201e+00,nan,nan,nan,nan,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S5,phase_update_precedes_transport,lagged_rhs,4.35111425952024362e+01,4.35111425952024362e+01,2.99999849180329764e-02,1.00000000000000000e+00,0.00000000000000000e+00,2.99999999999999989e-02,-9.70000015081966982e-01,0.00000000000000000e+00,5.90794032643917905e-03,2.99999999999999989e-02,nan,nan,1.38582497800869026e-02,9.24025385829118129e+00,nan,nan,nan,nan,0.00000000000000000e+00,0.00000000000000000e+00,-1.58769645948405280e+00,6.11583231114624404e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S2,mu_and_mobility,lagged_rhs,4.35111425952024362e+01,4.35111425952024362e+01,2.99999849180329833e-02,1.00000000000000000e+00,0.00000000000000000e+00,3.00000000000000024e-02,-9.70000015081966982e-01,0.00000000000000000e+00,5.90794032643917732e-03,3.00000000000000024e-02,-3.02154653860411404e-02,2.66197010997575312e-02,1.38582497800869026e-02,9.24025385829118129e+00,nan,nan,nan,nan,0.00000000000000000e+00,0.00000000000000000e+00,-1.58769645948405280e+00,6.11583231114624404e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S3,raw_flux_and_periodic_spectral_divergence,lagged_rhs,4.35111425952024362e+01,4.35111425952024362e+01,2.99999849180329833e-02,1.00000000000000000e+00,0.00000000000000000e+00,3.00000000000000024e-02,-9.70000015081966982e-01,0.00000000000000000e+00,5.90794032643917732e-03,3.00000000000000024e-02,-3.02154653860411404e-02,2.66197010997575312e-02,1.38582497800869026e-02,9.24025385829118129e+00,-2.09639112060927141e-01,2.09639112060927141e-01,1.57591700707934088e-02,3.87938440852738445e-02,0.00000000000000000e+00,-2.26381413614973326e-16,-1.58769645948405280e+00,6.11583231114624404e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S4,composition_transport_result,lagged_rhs,4.33990135753215185e+01,4.33990135753215185e+01,2.93051116047782813e-02,1.00000000000000000e+00,0.00000000000000000e+00,3.17578023535870432e-02,-9.70694888395221778e-01,0.00000000000000000e+00,1.96281700398213011e-03,3.17597597276822671e-02,-6.73988140986436065e+02,3.35879460970929131e+03,4.43061684549087009e-03,1.00099072010791481e+01,-2.09639112060927141e-01,2.09639112060927141e-01,1.57591700707934088e-02,3.87938440852738445e-02,0.00000000000000000e+00,-2.26381413614973326e-16,-1.58769645948405280e+00,6.11583231114624404e+00,1.54763487629602830e-05,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S6,local_storage_reconstruction,lagged_rhs,4.33990135753215185e+01,4.33990135753215185e+01,2.93051116047782813e-02,1.00000000000000000e+00,0.00000000000000000e+00,3.17578023535870432e-02,-9.70694888395221778e-01,0.00000000000000000e+00,1.96281700398213011e-03,3.17597597276822671e-02,-6.73988140986436065e+02,3.35879460970929131e+03,4.43061684549087009e-03,1.00099072010791481e+01,-2.09639112060927141e-01,2.09639112060927141e-01,1.57591700707934088e-02,3.87938440852738445e-02,0.00000000000000000e+00,-2.26381413614973326e-16,-1.58769645948405280e+00,6.11583231114624404e+00,1.54763487629602830e-05,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S7,spectral_stabilizer_result,lagged_rhs,4.33990135753215185e+01,4.33990135753215185e+01,2.93051116047782813e-02,1.00000000000000000e+00,0.00000000000000000e+00,3.17578023535870432e-02,-9.70694888395221778e-01,0.00000000000000000e+00,1.96281700398213011e-03,3.17597597276822671e-02,-6.73988140986436065e+02,3.35879460970929131e+03,4.43061684549087009e-03,1.00099072010791481e+01,-2.09639112060927141e-01,2.09639112060927141e-01,1.57591700707934088e-02,3.87938440852738445e-02,0.00000000000000000e+00,-2.26381413614973326e-16,-1.58769645948405280e+00,6.11583231114624404e+00,1.54763487629602830e-05,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S8,optional_global_projection,lagged_rhs,4.33990135753215185e+01,4.33990135753215185e+01,2.93051116047782813e-02,1.00000000000000000e+00,0.00000000000000000e+00,3.17578023535870432e-02,-9.70694888395221778e-01,0.00000000000000000e+00,1.96281700398213011e-03,3.17597597276822671e-02,-6.73988140986436065e+02,3.35879460970929131e+03,4.43061684549087009e-03,1.00099072010791481e+01,-2.09639112060927141e-01,2.09639112060927141e-01,1.57591700707934088e-02,3.87938440852738445e-02,0.00000000000000000e+00,-2.26381413614973326e-16,-1.58769645948405280e+00,6.11583231114624404e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
1,1.00000000000000005e-04,1.00000000000000005e-04,S9,final_reconstruction_and_history_commit,lagged_rhs,4.33990135753215185e+01,4.33990135753215185e+01,2.93051116047782813e-02,1.00000000000000000e+00,0.00000000000000000e+00,3.17578023535870432e-02,-9.70694888395221778e-01,0.00000000000000000e+00,1.96281700398213011e-03,3.17597597276822671e-02,-6.73988140986436065e+02,3.35879460970929131e+03,4.43061684549087009e-03,1.00099072010791481e+01,-2.09639112060927141e-01,2.09639112060927141e-01,1.57591700707934088e-02,3.87938440852738445e-02,0.00000000000000000e+00,-2.26381413614973326e-16,-1.58769645948405280e+00,6.11583231114624404e+00,0.00000000000000000e+00,0.00000000000000000e+00,0.00000000000000000e+00,0,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan
