case_id,gate_id,dt_id,accepted_residual_p50,accepted_residual_p95,accepted_residual_p99,accepted_residual_max,ER_L1,ER_L2,eta_R,maximum_abs_local_cumulative_defect,trajectory_schema,trajectory_observed_time_code,trajectory_time_closure_error,trajectory_transaction_closed,signed_local_cumulative_defect_sum,matrix_cell_count,matrix_max_abs_D,matrix_mean_abs_D,matrix_signed_D,interface_cell_count,interface_max_abs_D,interface_mean_abs_D,interface_signed_D,beta_core_cell_count,beta_core_max_abs_D,beta_core_mean_abs_D,beta_core_signed_D,accumulated_defect_gate_pass
G12_dt16,G12,dt16,4.762272433716781e-13,9.365149624020004e-13,9.881565591867894e-13,1.0032994266200575e-12,2.218720908545829e-11,2.6502263967077485e-12,5.3810435119706055e-12,2.1575132397646024e-13,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000002214,2.2137847111025621e-13,True,3.584809401023363e-14,474,1.0901182032837018e-13,5.945052562516533e-15,-2.576479425826827e-13,8,2.1575132397646024e-13,1.0569341001859934e-13,2.369584917771797e-13,30,7.330852046815928e-14,1.62119402885034e-14,5.6537544815736694e-14,True
G12_dt8,G12,dt8,6.467078974058325e-13,9.649950320127857e-13,9.93583458465094e-13,1.003315629785261e-12,1.3268909632423818e-11,2.245860759117249e-12,3.218258709711213e-12,4.874473335432939e-14,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000000877,8.770761894538737e-14,True,4.1457737247120465e-14,474,4.874473335432939e-14,3.7021004852837926e-15,-1.8926512025174604e-13,8,4.7495375809004045e-14,3.040873621869619e-14,7.983481214926595e-14,30,4.560444999656456e-14,1.1317321708637041e-14,1.508880453496005e-13,True
G12_dt4,G12,dt4,8.968672306331349e-13,9.916159073127585e-13,1.0020511386238137e-12,1.035571556619636e-12,2.6297317051223002e-11,3.704242970083846e-12,6.377897390174061e-12,9.162865413105976e-14,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.5624999999999478,5.218048215738236e-14,True,4.417186195521039e-14,474,9.162865413105976e-14,4.0788850876784885e-15,-1.8068711870230056e-14,8,3.6388814172384e-14,1.9571213094769406e-14,-5.727593504350654e-14,30,5.547843059367869e-14,1.3005940090432277e-14,1.19516508868947e-13,True
G12_dt2,G12,dt2,5.930295607383948e-13,9.789105408222056e-13,1.0001894751573805e-12,1.0359072370122962e-12,2.0243857162631734e-11,2.7278408331971703e-12,4.910301418185068e-12,8.754223126558658e-14,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.5624999999999802,1.9761969838327786e-14,True,5.856747651409713e-14,474,8.754223126558658e-14,7.315731831102469e-15,-1.4360308724866056e-13,8,6.935365124039024e-14,2.859863354705072e-14,1.7758084511959367e-13,30,5.3753635406218344e-14,1.7053838066698228e-14,2.4589718643164064e-14,True
G12_dt1,G12,dt1,,,,,,,,,,,,,,,,,,,,,,,,,,
G10_dt16,G10,dt16,3.9667865546955634e-11,8.92893188017133e-11,9.818403044665287e-11,9.998049203824724e-11,7.58989267347834e-10,1.6673391473156825e-10,1.8407696179832612e-10,4.013163904720136e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000002214,2.2137847111025621e-13,True,2.921291584237644e-14,474,1.4319860696328818e-11,5.664643600011075e-13,4.177313851577216e-11,8,4.013163904720136e-11,2.110372453597211e-11,-4.220233157926844e-11,30,1.8292249422926895e-12,3.3319362008036294e-13,4.584059793386881e-13,True
G10_dt8,G10,dt8,4.254563307267928e-11,9.319314201020708e-11,9.876325090523458e-11,9.996466442598616e-11,8.368378392166433e-10,1.777356846579332e-10,2.0295732235111768e-10,1.5598848316474685e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000000877,8.770761894538737e-14,True,4.707223586298311e-14,474,1.5598848316474685e-11,3.079124875893958e-13,-1.692314996106538e-11,8,1.509487946273264e-11,1.0402428302237353e-11,1.4050040720102534e-11,30,1.3182242014307054e-12,2.9180099577864076e-13,2.9201814768258314e-12,True
G10_dt4,G10,dt4,8.834675479610272e-11,9.928893535762151e-11,9.983049567264932e-11,9.99937745452306e-11,1.5542283591714178e-09,3.030489963164356e-10,3.769441422756452e-10,3.084567511279668e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5624999999999447,5.5289106626332796e-14,True,2.2450013063277865e-14,474,3.084567511279668e-11,5.775389552133478e-13,-3.3827965522932684e-11,8,2.5655410098706895e-11,1.0974807038878689e-11,3.066209982225953e-11,30,8.459540730843221e-13,2.3341995164332005e-13,3.1883157137364527e-12,True
G10_dt2,G10,dt2,4.6605901082971146e-11,9.659904043884334e-11,9.928042405604224e-11,1.000028210704998e-10,1.1363712736383288e-09,2.0403276695559955e-10,2.755865419651339e-10,2.0534904398248707e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.562499999999978,2.19824158875781e-14,True,7.375258175686688e-14,474,2.0534904398248707e-11,4.782456389590276e-13,-1.0129557637552239e-10,8,1.7650244900932957e-11,1.1453784168209032e-11,9.163027334567226e-11,30,5.931669422718536e-12,1.133638130362895e-12,9.739055611607016e-12,True
G10_dt1,G10,dt1,5.2352853532847395e-11,9.704297775109491e-11,9.984186185913471e-11,9.999282559405704e-11,2.625443975438794e-09,2.8128377113407297e-10,6.373093958568024e-10,1.9313208829570427e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.562500000000005,5.10702591327572e-15,True,3.385245836662625e-14,474,1.6274748311881794e-11,1.7386552536877134e-12,-1.0177228782791004e-10,8,1.9313208829570427e-11,1.2574362427881274e-11,1.0059489942305019e-10,30,3.1584605949964974e-12,6.857046433708819e-13,1.2112408632264977e-12,True
G9_dt16,G9,dt16,1.3712052211654356e-10,6.539003537422436e-10,9.142322189895648e-10,9.992496046023075e-10,5.112355470485364e-09,1.2755612268046828e-09,1.239893584744345e-09,3.0565091555307676e-10,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000002214,2.2137847111025621e-13,True,6.578886865898127e-14,474,6.797722564701693e-11,1.2362430714052142e-12,1.4156530260825953e-10,8,3.0565091555307676e-10,1.8754107006556483e-10,-1.7306630598791404e-10,30,1.6157519412164455e-11,1.9475778287626067e-12,3.156679224831344e-11,True
G9_dt8,G9,dt8,5.023612502830898e-10,9.265303773204963e-10,9.903108116267927e-10,9.99857117501365e-10,3.155113907015831e-08,3.1847297887539783e-09,7.652049302939698e-09,2.3637124254096264e-10,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000000877,8.770761894538737e-14,True,5.235460846601071e-14,474,1.511914449076684e-10,1.0962638082179642e-11,1.278108422642079e-10,8,2.3637124254096264e-10,1.999165158625826e-10,-2.612813403248813e-10,30,1.3426618379326972e-10,3.250992240008387e-11,1.3352285266913942e-10,True
G9_dt4,G9,dt4,8.805324627423245e-10,9.913623523973815e-10,9.97879128616911e-10,9.999333520915472e-10,1.2346313201131084e-08,2.627213170816603e-09,2.9943280699585556e-09,2.133270071391314e-10,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5624999999999447,5.5289106626332796e-14,True,2.494744010626228e-14,474,2.133270071391314e-10,3.7058881478755544e-12,1.7641316480055853e-10,8,1.016589182412514e-10,4.350199284119069e-11,-1.9374129878252416e-10,30,2.63841007613909e-11,4.215970668529485e-12,1.7353081422071904e-11,True
G9_dt2,G9,dt2,4.722901093361066e-10,9.589920499490678e-10,9.89097277463968e-10,9.999969035078365e-10,1.028194759914352e-08,1.9892758083970507e-09,2.493566611182493e-09,1.2226400669530788e-10,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.562499999999978,2.19824158875781e-14,True,3.843910626872473e-14,474,1.2226400669530788e-10,2.7461879705038356e-12,-4.4931483710245205e-10,8,6.470719655043688e-11,5.878668773843322e-11,2.292921760112875e-10,30,5.161984484296059e-11,1.071702599277555e-11,2.200611001974332e-10,True
