case_id,gate_id,requested_transport_gate,relative_gate,dt_id,dt_code,dt_physical_s,steps,equal_time_code,equal_time_physical_s,completed,macro_steps,wall_seconds,physical_s_per_GPU_hour,macro_hard_rejects,internal_trial_rejects,retry_fraction,fallback_macros,fallback_fraction,retry_wall_overhead_fraction,max_consecutive_fallback_macros,max_accepted_subcycle_depth,accepted_iteration_p99,nonlinear_iteration_budget,persistent_interface_cells,hard_numerical_gates_pass,energy_work_pass,rollback_pass,max_mass_error,max_phase_KKT,transport_solves,phase_solves,line_search_evaluations,event_BE_solves,history_rebuild_BE_solves,retry_efficiency_gate_pass,first_runtime_failure,Ctot_field_relative_L2_error,Ctot_field_Linf_error,Ctot_increment_relative_L2_error,phi_field_relative_L2_error,phi_field_Linf_error,phi_increment_relative_L2_error,hvolume,hvolume_reference,hvolume_increment_relative_error,equimolar_hvolume_interface_error_dx,phi_half_interface_position_dx,phi_half_interface_reference_dx,phi_half_interface_error_dx,interface_direction_same,matrix_profile_capacity_weighted_relative_error,cumulative_transfer,cumulative_transfer_reference,cumulative_transfer_relative_error,far_field_matrix_composition,far_field_reference,far_field_relative_error,final_mass_difference_from_reference_abs,equal_time_accuracy_pass,defect_evidence_complete,trajectory_schema,trajectory_observed_time_code,trajectory_time_closure_error,accepted_residual_p50,accepted_residual_p95,accepted_residual_p99,accepted_residual_max,ER_L1,ER_L2,cumulative_C_increment_L1,eta_R,maximum_abs_local_cumulative_defect,signed_local_cumulative_defect_sum,matrix_cell_count,matrix_max_abs_D,matrix_mean_abs_D,matrix_signed_D,interface_cell_count,interface_max_abs_D,interface_mean_abs_D,interface_signed_D,beta_core_cell_count,beta_core_max_abs_D,beta_core_mean_abs_D,beta_core_signed_D,trajectory_transaction_closed,accumulated_defect_gate_pass,full_common_window_pass,matrix_status
G12_dt16,G12,1e-12,1e-10,dt16,0.0001953125,0.008033122153233353,8000,1.5625,64.26497722586683,True,8000,254.107323884964,910.4574967617067,0,0,0.0,0,0.0,0.0,0,0,44.0,500,,True,True,True,9.947598300641403e-13,1.0016876217378012e-10,8000,8000,467692,0,0,True,NONE,4.2249668052540605e-08,1.4344115306652583e-07,2.9705393193579167e-07,6.023382855709791e-07,1.607241646772728e-06,5.438815752749553e-06,34.26232511314903,34.262324785193655,1.449638772744185e-07,1.639776862578623e-07,272.65954461163057,272.65954451769744,9.393312438987778e-08,True,1.5869330933221594e-07,1.990376744566873,1.9903764146199578,1.6577111379507719e-07,0.04634652397595157,0.04634652458185524,1.3073335551761595e-08,1.0594192190183094e-10,True,True,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000002214,2.2137847111025621e-13,4.762272433716781e-13,9.365149624020004e-13,9.881565591867894e-13,1.0032994266200575e-12,2.218720908545829e-11,2.6502263967077485e-12,4.123216814006593,5.3810435119706055e-12,2.1575132397646024e-13,3.584809401023363e-14,474,1.0901182032837018e-13,5.945052562516533e-15,-2.576479425826827e-13,8,2.1575132397646024e-13,1.0569341001859934e-13,2.369584917771797e-13,30,7.330852046815928e-14,1.62119402885034e-14,5.6537544815736694e-14,True,True,True,PASS
G12_dt8,G12,1e-12,1e-10,dt8,0.000390625,0.016066244306466707,4000,1.5625,64.26497722586683,True,4000,200.9301359653473,1151.4147288141,0,18,0.0045,18,0.0045,0.15361014786569274,2,2,69.0,500,244;267,True,True,True,9.521272659185342e-13,1.0032741304399906e-10,4090,4036,472064,18,0,False,NONE,1.3265139091866704e-05,4.5000593818955714e-05,9.32660990380782e-05,1.1980926196330952e-05,3.0362242060655298e-05,0.0001081818169126756,34.26219914225786,34.262324785193655,5.5537090259456505e-05,6.282146789575975e-05,272.6594887268785,272.65954451769744,5.579081891937676e-05,True,7.583376951970608e-05,1.99025167452788,1.9903764146199578,6.267160882815991e-05,0.0463466699768754,0.04634652458185524,3.137128867249355e-06,2.2156854129207204e-10,True,True,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000000877,8.770761894538737e-14,6.467078974058325e-13,9.649950320127857e-13,9.93583458465094e-13,1.003315629785261e-12,1.3268909632423818e-11,2.245860759117249e-12,4.123009002472175,3.218258709711213e-12,4.874473335432939e-14,4.1457737247120465e-14,474,4.874473335432939e-14,3.7021004852837926e-15,-1.8926512025174604e-13,8,4.7495375809004045e-14,3.040873621869619e-14,7.983481214926595e-14,30,4.560444999656456e-14,1.1317321708637041e-14,1.508880453496005e-13,True,True,False,FAIL
G12_dt4,G12,1e-12,1e-10,dt4,0.00078125,0.03213248861293341,2000,1.5625,64.26497722586683,True,2000,184.49593305587769,1253.9784166572992,0,15,0.0075,14,0.007,0.09858314690193713,5,4,121.0,500,244;266;267,True,True,True,9.876544027065393e-13,1.0072709333286411e-10,2092,2044,496328,14,0,False,NONE,1.9410685326339263e-05,6.820795189077522e-05,0.00013647492781687604,4.893543632650471e-05,0.0001741459139594781,0.0004418627013024288,34.26211509355033,34.262324785193655,9.268856739832509e-05,0.00010484582166467334,272.659460620464,272.65954451769744,8.389723342361322e-05,True,9.72102959193956e-05,1.9901784035156633,1.9903764146199578,9.948424973289468e-05,0.046346856149679386,0.04634652458185524,7.154103293386311e-06,2.93638890980219e-10,True,True,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.5624999999999478,5.218048215738236e-14,8.968672306331349e-13,9.916159073127585e-13,1.0020511386238137e-12,1.035571556619636e-12,2.6297317051223002e-11,3.704242970083846e-12,4.1231953796775205,6.377897390174061e-12,9.162865413105976e-14,4.417186195521039e-14,474,9.162865413105976e-14,4.0788850876784885e-15,-1.8068711870230056e-14,8,3.6388814172384e-14,1.9571213094769406e-14,-5.727593504350654e-14,30,5.547843059367869e-14,1.3005940090432277e-14,1.19516508868947e-13,True,True,False,FAIL
G12_dt2,G12,1e-12,1e-10,dt2,0.0015625,0.06426497722586683,1000,1.5625,64.26497722586683,True,1000,189.24896836280823,1222.4844342062313,0,36,0.036,29,0.029,0.18807151487500356,4,8,280.0,500,244;245;266;267;268,True,True,True,1.0018652574217413e-12,1.0025258401213932e-10,1317,1151,540652,29,0,False,NONE,0.00018679481346501776,0.000661903546855136,0.0013133389293376852,0.00019658773786631603,0.00045435817871519735,0.0017750896981273247,34.260383469037414,34.262324785193655,0.0008581067444223149,0.0009706580781243278,272.6587868141481,272.65954451769744,0.000757703549368216,True,0.0009019154585956533,1.9885009734882688,1.9903764146199578,0.00094225449915569,0.046349886260629775,0.04634652458185524,7.253356761626563e-05,3.200071319042763e-10,True,True,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.5624999999999802,1.9761969838327786e-14,5.930295607383948e-13,9.789105408222056e-13,1.0001894751573805e-12,1.0359072370122962e-12,2.0243857162631734e-11,2.7278408331971703e-12,4.1227320766215225,4.910301418185068e-12,8.754223126558658e-14,5.856747651409713e-14,474,8.754223126558658e-14,7.315731831102469e-15,-1.4360308724866056e-13,8,6.935365124039024e-14,2.859863354705072e-14,1.7758084511959367e-13,30,5.3753635406218344e-14,1.7053838066698228e-14,2.4589718643164064e-14,True,True,False,FAIL
G12_dt1,G12,1e-12,1e-10,dt1,0.003125,0.12852995445173365,500,1.5625,64.26497722586683,False,,,,,,,,,,,,,,,False,True,True,9.947598300641403e-13,9.945910761643972e-11,1281,903,534271,,,,"[reject] CTOT_MIMETIC_BE_REJECT step=352 attempt_id=1 iters=248 first_failure=transport_line_search_stagnation failure_source_line=34707 res_inf=1.86664563901260823e-11 mass_error=7.10542735760100186e-15 sum_divJ=-2.77555756156289135e-17; nonfinite=0 Y_cap=0 bounds=0 mobility_fail=0 x=[1.19420978788283776e-05,4.99999999971100229e-02] M=[0.00000000000000000e+00,1.38473425405255199e+02] residual_active=1.86664563901260823e-11 residual_inactive=0.00000000000000000e+00; BE_target_lower_violations=2 max_lower_defect=5.39845945723982368e-12 BE_target_upper_violations=0 max_upper_defect=0.00000000000000000e+00; W_finite_interface_sum=0.00000000000000000e+00 max_finite_interface_face_flux=0.00000000000000000e+00; whole accepted state restored.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,RUNTIME_FAIL
G10_dt16,G10,1e-10,1e-10,dt16,0.0001953125,0.008033122153233353,8000,1.5625,64.26497722586683,True,8000,148.10624527931213,1562.0807723321354,0,0,0.0,0,0.0,0.0,0,0,37.0,500,,True,True,True,9.947598300641403e-13,1.0019107765657509e-10,8000,8000,115785,0,0,True,NONE,5.734386873872534e-08,2.341038359832126e-07,4.0318001220897084e-07,4.857237541468626e-06,1.692551565546374e-05,4.385844414711879e-05,34.26232509482277,34.262324785193655,1.368632456271101e-07,1.548145563821463e-07,272.6595445770381,272.65954451769744,5.934066393820103e-08,True,6.449523265966915e-07,1.9903767397286307,1.9903764146199578,1.633402960785171e-07,0.046346523912745366,0.04634652458185524,1.443710996051618e-08,1.5717915857749176e-10,True,True,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000002214,2.2137847111025621e-13,3.9667865546955634e-11,8.92893188017133e-11,9.818403044665287e-11,9.998049203824724e-11,7.58989267347834e-10,1.6673391473156825e-10,4.123217049721731,1.8407696179832612e-10,4.013163904720136e-11,2.921291584237644e-14,474,1.4319860696328818e-11,5.664643600011075e-13,4.177313851577216e-11,8,4.013163904720136e-11,2.110372453597211e-11,-4.220233157926844e-11,30,1.8292249422926895e-12,3.3319362008036294e-13,4.584059793386881e-13,True,True,True,PASS
G10_dt8,G10,1e-10,1e-10,dt8,0.000390625,0.016066244306466707,4000,1.5625,64.26497722586683,True,4000,80.74125075340271,2865.3744629212415,0,0,0.0,0,0.0,0.0,0,0,46.0,500,,True,True,True,9.947598300641403e-13,9.990686056227105e-11,4000,4000,73779,0,0,True,NONE,2.2302712011265286e-07,7.675684881025546e-07,1.568085289460534e-06,3.87421989643334e-06,1.0688130031577536e-05,3.4982282725666756e-05,34.262326512684936,34.262324785193655,7.635911924949312e-07,8.637456402685269e-07,272.65954499242866,272.65954451769744,4.747312232211698e-07,True,8.201194553032202e-07,1.9903781518515196,1.9903764146199578,8.728155885265594e-07,0.04634652137977485,0.04634652458185524,6.908997847102089e-08,1.9989698785138899e-10,True,True,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000000877,8.770761894538737e-14,4.254563307267928e-11,9.319314201020708e-11,9.876325090523458e-11,9.996466442598616e-11,8.368378392166433e-10,1.777356846579332e-10,4.123220731937464,2.0295732235111768e-10,1.5598848316474685e-11,4.707223586298311e-14,474,1.5598848316474685e-11,3.079124875893958e-13,-1.692314996106538e-11,8,1.509487946273264e-11,1.0402428302237353e-11,1.4050040720102534e-11,30,1.3182242014307054e-12,2.9180099577864076e-13,2.9201814768258314e-12,True,True,True,PASS
G10_dt4,G10,1e-10,1e-10,dt4,0.00078125,0.03213248861293341,2000,1.5625,64.26497722586683,True,2000,68.39528942108154,3382.6001757046465,0,0,0.0,0,0.0,0.0,0,0,95.0,500,,True,True,True,8.952838470577262e-13,9.762557429127128e-11,2000,2000,109507,0,0,True,NONE,9.514221014419022e-07,3.4172526065523456e-06,6.689370335702214e-06,4.349427048479627e-05,0.00016523267800305774,0.0003927316744324468,34.26233102975549,34.262324785193655,2.7602410897735996e-06,3.122280915252726e-06,272.65954593649786,272.65954451769744,1.4188004229254148e-06,True,3.106994371061996e-06,1.990382720132529,1.9903764146199578,3.168000045054751e-06,0.04634651324063106,0.04634652458185524,2.4470495419856267e-07,3.3802649568315246e-10,True,True,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5624999999999447,5.5289106626332796e-14,8.834675479610272e-11,9.928893535762151e-11,9.983049567264932e-11,9.99937745452306e-11,1.5542283591714178e-09,3.030489963164356e-10,4.123232555859347,3.769441422756452e-10,3.084567511279668e-11,2.2450013063277865e-14,474,3.084567511279668e-11,5.775389552133478e-13,-3.3827965522932684e-11,8,2.5655410098706895e-11,1.0974807038878689e-11,3.066209982225953e-11,30,8.459540730843221e-13,2.3341995164332005e-13,3.1883157137364527e-12,True,True,True,PASS
G10_dt2,G10,1e-10,1e-10,dt2,0.0015625,0.06426497722586683,1000,1.5625,64.26497722586683,True,1000,71.91280508041382,3217.1449542875944,0,3,0.003,3,0.003,0.012669124415099747,1,2,181.0,500,,True,True,True,9.805489753489383e-13,9.963940783563885e-11,1015,1006,169992,3,0,True,NONE,1.7997352972388247e-05,6.249422151360928e-05,0.0001265379045874599,8.503332684419874e-05,0.00030997297920731803,0.0007678087357680192,34.262131067382086,34.262324785193655,8.562776345797018e-05,9.685890578584349e-05,272.6594703574517,272.65954451769744,7.416024573103641e-05,True,8.957619892224601e-05,1.9901870697576398,1.9903764146199578,9.513017785341069e-05,0.046346882030055735,0.04634652458185524,7.712513585903959e-06,3.1017322044135653e-10,True,True,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.562499999999978,2.19824158875781e-14,4.6605901082971146e-11,9.659904043884334e-11,9.928042405604224e-11,1.000028210704998e-10,1.1363712736383288e-09,2.0403276695559955e-10,4.123464322804624,2.755865419651339e-10,2.0534904398248707e-11,7.375258175686688e-14,474,2.0534904398248707e-11,4.782456389590276e-13,-1.0129557637552239e-10,8,1.7650244900932957e-11,1.1453784168209032e-11,9.163027334567226e-11,30,5.931669422718536e-12,1.133638130362895e-12,9.739055611607016e-12,True,True,True,PASS
G10_dt1,G10,1e-10,1e-10,dt1,0.003125,0.12852995445173365,500,1.5625,64.26497722586683,True,500,158.71313452720642,1457.6860239217451,0,57,0.114,39,0.078,0.30290820762391013,4,4,380.0,500,236;238;239;270;273;275,True,True,True,9.805489753489383e-13,1.0093736957372812e-10,1014,746,450117,39,0,False,NONE,0.0008805567256732778,0.0031182168549669376,0.0061911217226243796,0.0007667756086195852,0.001986464613681571,0.006923603162683065,34.25296155362571,34.262324785193655,0.004138765410355369,0.004681615783975089,272.6556041071376,272.65954451769744,0.0039404105598350725,True,0.004454324027873509,1.9813878640437173,1.9903764146199578,0.00451600536974654,0.04636064425586148,0.04634652458185524,0.0003046544295096407,3.5571900980357896e-10,True,True,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.562500000000005,5.10702591327572e-15,5.2352853532847395e-11,9.704297775109491e-11,9.984186185913471e-11,9.999282559405704e-11,2.625443975438794e-09,2.8128377113407297e-10,4.119575189863837,6.373093958568024e-10,1.9313208829570427e-11,3.385245836662625e-14,474,1.6274748311881794e-11,1.7386552536877134e-12,-1.0177228782791004e-10,8,1.9313208829570427e-11,1.2574362427881274e-11,1.0059489942305019e-10,30,3.1584605949964974e-12,6.857046433708819e-13,1.2112408632264977e-12,True,True,False,FAIL
