run,reject_index,macro_step,original_category,gate_id,requested_gate,relative_gate,inferred_initial_residual,effective_gate,replay_status,classification,final_true_cold_residual,nonlinear_iterations,line_search_trials,minimum_lambda,iteration_limit_hit,stagnation_status,fallback_triggered,accepted_endpoint_difference,wall_time,evidence_mode
dt4,1,1283,J_OTHER_PROVEN_CAUSE,G12,1e-12,1e-10,3.748335278564494e-08,1.0000037483352785e-12,REJECTED_AS_FROZEN,OTHER,1.0009315713777656e-12,34,34,1.0,0,0,1,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,1,1283,J_OTHER_PROVEN_CAUSE,G10,1e-10,1e-10,3.748335278564494e-08,1.0000000374833528e-10,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,9.283009118342296e-11,14,14,1.0,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,1,1283,J_OTHER_PROVEN_CAUSE,G9,1e-09,1e-10,3.748335278564494e-08,1.0000000037483353e-09,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,8.083551320212877e-10,6,6,1.0,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,1,1283,J_OTHER_PROVEN_CAUSE,G8,1e-08,1e-10,3.748335278564494e-08,1.0000000003748336e-08,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,5.514699034983106e-09,2,2,1.0,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,2,1412,C_TRANSPORT_LINE_SEARCH_STAGNATION,G12,1e-12,1e-10,6.847634077530457e-06,1.000684763407753e-12,REJECTED_AS_FROZEN,LINE_SEARCH_DIRECTION_FAILURE,4.666191178826942e-12,105,1195,1e-06,0,1,1,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,2,1412,C_TRANSPORT_LINE_SEARCH_STAGNATION,G10,1e-10,1e-10,6.847634077530457e-06,1.0000068476340775e-10,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,7.682103194504953e-11,89,1027,1e-06,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,2,1412,C_TRANSPORT_LINE_SEARCH_STAGNATION,G9,1e-09,1e-10,6.847634077530457e-06,1.0000006847634078e-09,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,8.87422048488819e-10,75,904,1e-06,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,2,1412,C_TRANSPORT_LINE_SEARCH_STAGNATION,G8,1e-08,1e-10,6.847634077530457e-06,1.0000000684763408e-08,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,7.815309389523194e-09,57,706,1e-06,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,3,1536,C_TRANSPORT_LINE_SEARCH_STAGNATION,G12,1e-12,1e-10,5.492836990150824e-06,1.000549283699015e-12,REJECTED_AS_FROZEN,LINE_SEARCH_DIRECTION_FAILURE,7.343993249160187e-12,141,1883,1e-06,0,1,1,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,3,1536,C_TRANSPORT_LINE_SEARCH_STAGNATION,G10,1e-10,1e-10,5.492836990150824e-06,1.0000054928369902e-10,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,4.341476523976128e-11,88,1022,1e-06,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,3,1536,C_TRANSPORT_LINE_SEARCH_STAGNATION,G9,1e-09,1e-10,5.492836990150824e-06,1.000000549283699e-09,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,5.419971893968386e-10,69,824,1e-06,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,3,1536,C_TRANSPORT_LINE_SEARCH_STAGNATION,G8,1e-08,1e-10,5.492836990150824e-06,1.00000005492837e-08,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,9.210873384752561e-09,48,594,1e-06,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,4,1551,B_TRANSPORT_NONLINEAR_ITERATION_LIMIT,G12,1e-12,1e-10,5.432447576128972e-06,1.000543244757613e-12,REJECTED_AS_FROZEN,ITERATION_LIMIT_WITHOUT_GATE_CROSSING,4.246662810159117e-12,499,9514,1e-06,1,0,1,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,4,1551,B_TRANSPORT_NONLINEAR_ITERATION_LIMIT,G10,1e-10,1e-10,5.432447576128972e-06,1.0000054324475761e-10,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,9.550464627263881e-11,85,996,1e-06,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
dt4,4,1551,B_TRANSPORT_NONLINEAR_ITERATION_LIMIT,G9,1e-09,1e-10,5.432447576128972e-06,1.0000005432447576e-09,CONVERGED_AT_RELAXED_GATE,RESIDUAL_FLOOR_ONLY,2.0842608261397773e-10,76,899,1e-06,0,0,0,NOT_AVAILABLE_NO_ITERATE_FIELD_IN_FROZEN_TRACE,NOT_RECORDED_PER_FROZEN_REJECT,FROZEN_NONLINEAR_TRACE_CONTROL_FLOW_REPLAY
