gate_id,dt_id,requested_transport_gate,dt_code,long_time_physical_s,wall_seconds,physical_s_per_GPU_hour,long_hard_gates_pass,long_retry_efficiency_gate_pass,all_registered_windows_accuracy_pass,residual_bias_growth_pass,local_defect_rate_growth_pass,signed_residual_bias_growth_pass,local_defect_rate_growth_vs_common,common_signed_defect_fraction,long_signed_defect_fraction,signed_defect_fraction_limit,eta_R,maximum_abs_local_cumulative_defect,continuation_max_abs_local_cumulative_defect,continuation_observed_time_code,continuation_time_closure_error,continuation_time_roundoff_bound,continuation_trajectory_schema,combined_ER_L1,combined_C_increment_L1,retry_fraction,fallback_fraction,retry_wall_overhead_fraction,max_consecutive_fallback_macros,boundary_consecutive_fallback_macros,max_accepted_subcycle_depth,accepted_iteration_p99,persistent_failed_cells,final_Ctot_increment_relative_L2_error,final_phi_increment_relative_L2_error,final_hvolume_increment_relative_error,final_matrix_profile_error,final_interface_error_dx,final_transfer_error,final_far_field_error,failure_reasons,long_window_status
G12,dt16,1e-12,0.0001953125,257.0599089034673,5454.442009449005,169.66275751934626,True,False,True,False,False,False,3.180202031067684,0.001615709928732263,0.0072543598985168895,0.006462839714929052,1.7151965491885747e-11,1.9854905898883016e-12,2.0583983961464423e-12,4.6874999999979385,2.0614621121239907e-12,5.307629336037678e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.5874644213110163e-10,9.25529159944972,0.04678125,0.04678125,0.6161425717252932,3,0,2,106.0,244;267,0.00015523626365727302,0.0003106446216584247,9.540436074577818e-05,0.00010030639054551727,0.0001863504575112529,0.00010787818439139485,2.2004459352513913e-05,RETRY_EFFICIENCY_GATE;LOCAL_DEFECT_RATE_GROWTH_GATE;SIGNED_RESIDUAL_BIAS_GROWTH_GATE,FAIL
G10,dt16,1e-10,0.0001953125,257.0599089034673,603.9727458953857,1532.2142900348251,True,True,True,True,True,True,0.2793029114953786,3.84892344320708e-05,0.00011452615624685125,0.001,3.392415264465688e-10,7.375828993409624e-11,3.362665088689489e-11,4.687499999997876,2.1236346015029994e-12,4.9960036108132044e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,3.1400097007166665e-09,9.255970911365488,0.0,0.0,0.0,0,0,0,37.0,,5.400156647147809e-07,5.3646111041017236e-05,9.983730793751021e-08,2.817567446725908e-07,5.790013233308855e-07,1.4894399946740645e-07,2.6204005554958794e-08,NONE,PASS
G10,dt8,1e-10,0.000390625,257.0599089034673,371.35125279426575,2492.022485690056,True,True,True,False,False,True,3.9285163688986504,5.625012834869779e-05,1.3996401156337474e-05,0.001,5.811945263303261e-10,1.851010445030793e-10,1.8384099284171388e-10,4.687500000000016,1.5987211554602254e-14,2.4982099722237194e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,5.3795236110639604e-09,9.255977761921436,6.25e-05,6.25e-05,4.521757013805313e-05,1,0,2,52.0,,2.3855634571251834e-06,0.00040458148366988544,3.345711046981297e-07,4.843258149800056e-07,2.5223654915862426e-06,3.8305731537509863e-07,6.545901176698929e-08,LOCAL_DEFECT_RATE_GROWTH_GATE,FAIL
G10,dt4,1e-10,0.00078125,257.0599089034673,240.67558431625366,3845.07499870225,True,False,True,False,False,True,2.8269179107056353,1.4444475247669718e-05,1.3906568495640247e-05,0.001,7.118237816710246e-10,2.620455771520829e-10,2.61594574332516e-10,4.687500000000531,5.311306949806749e-13,1.2506662372402388e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,6.58866835296861e-09,9.256038534567562,0.001,0.001,0.00113774515114436,1,0,2,95.0,246,1.7922972249334544e-05,0.002394167616447898,4.443856889885004e-06,5.132119709332769e-06,2.916099930416749e-05,4.692731731942128e-06,1.175087284134384e-06,RETRY_EFFICIENCY_GATE;LOCAL_DEFECT_RATE_GROWTH_GATE,FAIL
G10,dt2,1e-10,0.0015625,257.0599089034673,611.9612226486206,1512.2129275564291,False,False,True,True,True,True,0.7242282955010679,6.490183575367287e-05,7.517631103180368e-05,0.001,7.759206307825124e-10,5.054754585458166e-11,4.461587643186313e-11,4.687500000000002,1.7763568394002505e-15,6.3303529085345644e-12,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,7.183499702493936e-09,9.258034156469598,0.0105,0.01,0.0265564127400934,3,0,4,215.0,243;267;268,0.00015543183135004166,0.003591508724295049,0.0001165328502612215,0.00012200887082393918,0.0002773116674461562,0.00012787576067298392,2.905234928340897e-05,HARD_NUMERICAL_GATE;RETRY_EFFICIENCY_GATE,FAIL
G9,dt16,1e-09,0.0001953125,257.0599089034673,485.15019392967224,1907.4828447592693,True,True,True,True,True,True,1.5629346037944822,1.2868602161722396e-05,4.739035573327987e-06,0.001,3.5547233431622816e-09,1.5738373391320127e-09,1.4331371777981063e-09,4.687499999997876,2.1236346015029994e-12,4.9960036108132044e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,3.2902696103518844e-08,9.256049747671392,0.0,0.0,0.0,0,0,0,21.0,,9.726357942537904e-06,8.222936375484106e-05,7.822859789673831e-06,8.26196013136279e-06,2.157197019414525e-05,8.19551306595731e-06,1.9892528111120343e-06,NONE,PASS
G9,dt8,1e-09,0.000390625,257.0599089034673,883.8911473751068,1046.9792290608307,True,True,True,False,False,True,2.652637808598561,1.6593571582183776e-06,7.177165393636367e-07,0.001,3.3374331262792734e-08,2.0981147873888426e-09,1.8810218844887344e-09,4.687500000000016,1.5987211554602254e-14,2.4980018054066022e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,3.089219907563268e-07,9.256275079307057,0.0,0.000125,0.0,1,0,0,54.0,,2.634564904385376e-05,0.002932002764471613,2.81279588831099e-05,6.054926665894018e-05,3.72638587577967e-05,3.00996073707715e-05,7.124362386852111e-06,LOCAL_DEFECT_RATE_GROWTH_GATE,FAIL
G9,dt4,1e-09,0.00078125,257.0599089034673,300.1646001338959,3083.0273511256078,True,True,True,False,False,True,2.791611414868852,2.0206388498209142e-06,6.109557562556906e-07,0.001,6.6633273041004095e-09,1.6155323141446501e-09,1.7865783246882248e-09,4.687500000000531,5.311306949806749e-13,1.2494172363375355e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,6.167603061263024e-08,9.256040983410298,0.00025,0.00025,0.00021255112798864917,1,0,2,95.0,,1.288376661744962e-05,0.002098498805711245,2.107889942123855e-06,5.797325089988103e-06,1.603144693262948e-05,2.5105197406263728e-06,4.7179794042268217e-07,LOCAL_DEFECT_RATE_GROWTH_GATE,FAIL
G9,dt2,1e-09,0.0015625,257.0599089034673,783.7906761169434,1180.6923713831065,True,False,True,False,False,True,2.2183693594602976,3.738504393071084e-06,3.3377087146753757e-06,0.001,8.177830709890974e-09,6.914161719578511e-10,8.13680178653159e-10,4.68750000000001,9.769962616701378e-15,6.438599653435517e-12,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,7.571672362596828e-08,9.258778557789164,0.022,0.0205,0.0418427822990548,2,0,4,260.0,241;243;244;267;268;271,0.000467406022072657,0.004326583680400291,0.0002976619837820556,0.00031248185358580873,0.0006284207200906167,0.00033318117735213384,6.98306927395675e-05,RETRY_EFFICIENCY_GATE;LOCAL_DEFECT_RATE_GROWTH_GATE,FAIL
G8,dt16,1e-08,0.0001953125,257.0599089034673,667.4562232494354,1386.4814497454238,True,True,True,True,True,True,0.1872769812070687,2.7688405070997397e-07,1.532167193238993e-07,0.001,7.284366618887504e-08,3.778650905636584e-09,1.5451309707544814e-09,4.687499999997876,2.1236346015029994e-12,4.9960036108132044e-11,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,6.743069031711575e-07,9.256905074255313,0.0,9.375e-05,0.0,1,0,0,32.0,,8.987426698644611e-05,0.0009899729231453373,7.093075282093005e-05,0.00012726562881452226,0.00020069158580326985,7.356524310522348e-05,1.813588957131414e-05,NONE,PASS
