gate_id,dt_id,window_index,time_code,time_physical_s,candidate_step,reference_step,Ctot_field_relative_L2_error,Ctot_field_Linf_error,Ctot_increment_relative_L2_error,phi_field_relative_L2_error,phi_field_Linf_error,phi_increment_relative_L2_error,hvolume,hvolume_reference,hvolume_increment_relative_error,equimolar_hvolume_interface_error_dx,phi_half_interface_position_dx,phi_half_interface_reference_dx,phi_half_interface_error_dx,interface_direction_same,matrix_profile_capacity_weighted_relative_error,cumulative_transfer,cumulative_transfer_reference,cumulative_transfer_relative_error,far_field_matrix_composition,far_field_reference,far_field_relative_error,final_mass_difference_from_reference_abs,equal_time_accuracy_pass,registered_long_accuracy_pass
G12,dt16,1,1.5625,64.26497722586683,8000,16000,4.2249668052540605e-08,1.4344115306652583e-07,2.9705393193579167e-07,6.023382855709791e-07,1.607241646772728e-06,5.438815752749553e-06,34.26232511314903,34.262324785193655,1.449638772744185e-07,1.639776862578623e-07,272.65954461163057,272.65954451769744,9.393312438987778e-08,True,1.5869330933221594e-07,1.990376744566873,1.9903764146199578,1.6577111379507719e-07,0.04634652397595157,0.04634652458185524,1.3073335551761595e-08,1.0594192190183094e-10,True,True
G12,dt16,2,3.125,128.52995445173366,8000,16000,2.8718105075350908e-05,8.44005076161558e-05,0.0001441621193295412,3.2307859129938057e-05,7.788929735708106e-05,0.00020214425028721415,35.3474070562489,35.34767308286894,7.946612869499605e-05,0.00013301331001602828,273.2076180654452,273.20772657767816,0.00010851223294139345,True,8.490815368052494e-05,3.0196356423073842,3.0199210583043783,9.451107876121404e-05,0.044232455579073765,0.0442320300249996,9.620948302085935e-06,2.19806395307387e-10,True,True
G12,dt16,3,4.6875,192.7949316776005,16000,32000,4.478695481739993e-05,0.00015391521921426232,0.00018798537269737638,6.0650425224445706e-05,0.0001324858940903173,0.0003105053831530734,36.17525429097894,36.175684781935935,0.0001030946969121855,0.0002152454784972681,273.6030206703013,273.60317493048393,0.00015426018262587604,True,0.00010871251266977951,3.794350225607624,3.794782242854976,0.0001138450692830675,0.042625898875659714,0.04262509873326418,1.8771625622315103e-05,2.061121051610826e-09,True,True
G12,dt16,4,6.25,257.0599089034673,24000,48000,4.161815825733861e-05,0.00014764294683256018,0.00015523626365727302,6.951714978373848e-05,0.00017964013731641693,0.0003106446216584247,36.8711410825402,36.8716058549826,9.540436074577818e-05,0.0002323862212000142,273.9536993769351,273.9538857273926,0.0001863504575112529,True,0.00010030639054551727,4.465838935170715,4.466320753744538,0.00010787818439139485,0.04115098518481372,0.04115007969955762,2.2004459352513913e-05,4.8278039344040735e-09,True,True
G10,dt16,1,1.5625,64.26497722586683,8000,16000,5.734386873872534e-08,2.341038359832126e-07,4.0318001220897084e-07,4.857237541468626e-06,1.692551565546374e-05,4.385844414711879e-05,34.26232509482277,34.262324785193655,1.368632456271101e-07,1.548145563821463e-07,272.6595445770381,272.65954451769744,5.934066393820103e-08,True,6.449523265966915e-07,1.9903767397286307,1.9903764146199578,1.633402960785171e-07,0.046346523912745366,0.04634652458185524,1.443710996051618e-08,1.5717915857749176e-10,True,True
G10,dt16,2,3.125,128.52995445173366,8000,16000,1.0983560792247526e-07,3.713335803290363e-07,5.513641646761439e-07,3.2071468375500655e-05,0.00010079709931520853,0.00020066519741532954,35.34767363916352,35.34767308286894,1.6617351033761247e-07,2.781472938215545e-07,273.20772603390844,273.20772657767816,5.437697154775378e-07,True,3.620249577311798e-07,3.01992170143036,3.0199210583043783,2.1296118984118098e-07,0.044232029029627376,0.0442320300249996,2.2503426172912548e-08,4.99056795888464e-10,True,True
G10,dt16,3,4.6875,192.7949316776005,16000,32000,1.7891819089593e-07,5.264787908410007e-07,7.509776660422731e-07,1.297119281119369e-05,3.4120179561725195e-05,6.640720454782099e-05,36.175685324544034,36.175684781935935,1.299446984653418e-07,2.713040499375069e-07,273.6031741919488,273.60317493048393,7.385351068478485e-07,True,3.8797434981277396e-07,3.7947828877553196,3.794782242854976,1.699439658251438e-07,0.04262509757321844,0.04262509873326418,2.7215086287123195e-08,5.462368335429346e-10,True,True
G10,dt16,4,6.25,257.0599089034673,24000,48000,1.4477582019856025e-07,3.529539057134379e-07,5.400156647147809e-07,1.2005116060416178e-05,3.6618488677864214e-05,5.3646111041017236e-05,36.87160634135061,36.8716058549826,9.983730793751021e-08,2.4318400694704997e-07,273.9538851483913,273.9538857273926,5.790013233308855e-07,True,2.817567446725908e-07,4.466321418976214,4.466320753744538,1.4894399946740645e-07,0.0411500786212607,0.04115007969955762,2.6204005554958794e-08,9.506635478828684e-10,True,True
G10,dt8,1,1.5625,64.26497722586683,4000,16000,2.2302712011265286e-07,7.675684881025546e-07,1.568085289460534e-06,3.87421989643334e-06,1.0688130031577536e-05,3.4982282725666756e-05,34.262326512684936,34.262324785193655,7.635911924949312e-07,8.637456402685269e-07,272.65954499242866,272.65954451769744,4.747312232211698e-07,True,8.201194553032202e-07,1.9903781518515196,1.9903764146199578,8.728155885265594e-07,0.04634652137977485,0.04634652458185524,6.908997847102089e-08,1.9989698785138899e-10,True,True
G10,dt8,2,3.125,128.52995445173366,4000,16000,4.402610599691966e-07,1.5260917491932702e-06,2.2100680841197214e-06,4.053570911320793e-05,0.0001317297011590446,0.0002536243734255047,35.347671591086204,35.34767308286894,4.456178050268644e-07,7.458913655678406e-07,273.2077240248071,273.20772657767816,2.552871080752084e-06,True,9.873620714703866e-07,3.019919558618093,3.0199210583043783,4.965978435939048e-07,0.04423203278621673,0.0442320300249996,6.242573828020802e-08,1.97225347164931e-09,True,True
G10,dt8,3,4.6875,192.7949316776005,8000,32000,4.958658157429651e-07,1.3633349404962303e-06,2.0813096259921474e-06,6.105319074922616e-05,0.00021695619458939053,0.0003125673779887237,36.17568541489224,36.175684781935935,1.5158143784856254e-07,3.1647815162412395e-07,273.60317222451954,273.60317493048393,2.7059643912252795e-06,True,4.4557365775688886e-07,3.79478279285352,3.794782242854976,1.4493546897905748e-07,0.04262509786844796,0.04262509873326418,2.0288896550112844e-08,3.017326832832623e-09,True,True
G10,dt8,4,6.25,257.0599089034673,12000,48000,6.395590511683136e-07,1.5901523199302048e-06,2.3855634571251834e-06,9.053867229329449e-05,0.00032613111698265307,0.00040458148366988544,36.87160748488115,36.8716058549826,3.345711046981297e-07,8.149492762777434e-07,273.9538832050271,273.9538857273926,2.5223654915862426e-06,True,4.843258149800056e-07,4.466322464601376,4.466320753744538,3.8305731537509863e-07,0.04115007700591407,0.04115007969955762,6.545901176698929e-08,3.422407246489456e-09,True,True
G10,dt4,1,1.5625,64.26497722586683,2000,16000,9.514221014419022e-07,3.4172526065523456e-06,6.689370335702214e-06,4.349427048479627e-05,0.00016523267800305774,0.0003927316744324468,34.26233102975549,34.262324785193655,2.7602410897735996e-06,3.122280915252726e-06,272.65954593649786,272.65954451769744,1.4188004229254148e-06,True,3.106994371061996e-06,1.990382720132529,1.9903764146199578,3.168000045054751e-06,0.04634651324063106,0.04634652458185524,2.4470495419856267e-07,3.3802649568315246e-10,True,True
G10,dt4,2,3.125,128.52995445173366,2000,16000,4.193520013271327e-06,1.335124839152435e-05,2.1051066251684205e-05,0.00026244392931541884,0.0009686569583949867,0.0016420627290879759,35.34764771792274,35.34767308286894,7.576888653048753e-06,1.268247309785412e-05,273.20770432933085,273.20772657767816,2.22483473066859e-05,True,8.10121472446398e-06,3.019894380249684,3.0199210583043783,8.834023863269622e-06,0.044232078066229086,0.0442320300249996,1.0861185765256927e-06,2.1337172029234353e-09,True,True
