case_id,gate_id,requested_transport_gate,relative_gate,dt_id,dt_code,dt_physical_s,steps,equal_time_code,equal_time_physical_s,matrix_status,trajectory_schema,trajectory_observed_time_code,trajectory_time_closure_error,trajectory_transaction_closed,hard_numerical_gates_pass,equal_time_accuracy_pass,accumulated_defect_gate_pass,retry_efficiency_gate_pass,full_common_window_pass
G12_dt16,G12,1e-12,1e-10,dt16,0.0001953125,0.008033122153233353,8000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000002214,2.2137847111025621e-13,True,True,True,True,True,True
G12_dt8,G12,1e-12,1e-10,dt8,0.000390625,0.016066244306466707,4000,1.5625,64.26497722586683,FAIL,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000000877,8.770761894538737e-14,True,True,True,True,False,False
G12_dt4,G12,1e-12,1e-10,dt4,0.00078125,0.03213248861293341,2000,1.5625,64.26497722586683,FAIL,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.5624999999999478,5.218048215738236e-14,True,True,True,True,False,False
G12_dt2,G12,1e-12,1e-10,dt2,0.0015625,0.06426497722586683,1000,1.5625,64.26497722586683,FAIL,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.5624999999999802,1.9761969838327786e-14,True,True,True,True,False,False
G12_dt1,G12,1e-12,1e-10,dt1,0.003125,0.12852995445173365,500,1.5625,64.26497722586683,RUNTIME_FAIL,,,,,False,,,,False
G10_dt16,G10,1e-10,1e-10,dt16,0.0001953125,0.008033122153233353,8000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000002214,2.2137847111025621e-13,True,True,True,True,True,True
G10_dt8,G10,1e-10,1e-10,dt8,0.000390625,0.016066244306466707,4000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000000877,8.770761894538737e-14,True,True,True,True,True,True
G10_dt4,G10,1e-10,1e-10,dt4,0.00078125,0.03213248861293341,2000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5624999999999447,5.5289106626332796e-14,True,True,True,True,True,True
G10_dt2,G10,1e-10,1e-10,dt2,0.0015625,0.06426497722586683,1000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.562499999999978,2.19824158875781e-14,True,True,True,True,True,True
G10_dt1,G10,1e-10,1e-10,dt1,0.003125,0.12852995445173365,500,1.5625,64.26497722586683,FAIL,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.562500000000005,5.10702591327572e-15,True,True,True,True,False,False
G9_dt16,G9,1e-09,1e-10,dt16,0.0001953125,0.008033122153233353,8000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000002214,2.2137847111025621e-13,True,True,True,True,True,True
G9_dt8,G9,1e-09,1e-10,dt8,0.000390625,0.016066244306466707,4000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000000877,8.770761894538737e-14,True,True,True,True,True,True
G9_dt4,G9,1e-09,1e-10,dt4,0.00078125,0.03213248861293341,2000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5624999999999447,5.5289106626332796e-14,True,True,True,True,True,True
G9_dt2,G9,1e-09,1e-10,dt2,0.0015625,0.06426497722586683,1000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.562499999999978,2.19824158875781e-14,True,True,True,True,True,True
G9_dt1,G9,1e-09,1e-10,dt1,0.003125,0.12852995445173365,500,1.5625,64.26497722586683,FAIL,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.5625000000000073,7.327471962526033e-15,True,True,True,True,False,False
G8_dt16,G8,1e-08,1e-10,dt16,0.0001953125,0.008033122153233353,8000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000002207,2.2071233729548112e-13,True,True,True,True,True,True
G8_dt8,G8,1e-08,1e-10,dt8,0.000390625,0.016066244306466707,4000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.5625000000000877,8.770761894538737e-14,True,True,True,True,True,True
G8_dt4,G8,1e-08,1e-10,dt4,0.00078125,0.03213248861293341,2000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.562499999999945,5.5067062021407764e-14,True,True,True,True,True,True
G8_dt2,G8,1e-08,1e-10,dt2,0.0015625,0.06426497722586683,1000,1.5625,64.26497722586683,PASS,CTOT_TRANSPORT_GATE_TRAJECTORY_V1,1.562499999999978,2.19824158875781e-14,True,True,True,True,True,True
G8_dt1,G8,1e-08,1e-10,dt1,0.003125,0.12852995445173365,500,1.5625,64.26497722586683,FAIL,CTOT_TRANSPORT_GATE_TRAJECTORY_V2_TRANSACTIONAL,1.5625000000000102,1.021405182655144e-14,True,True,True,True,False,False
