case_id,gate_id,dt_id,record_type,window_index,time_start_code,time_end_code,delta_time_code,sum_abs_D,sum_A,D_peak,A_scale,eta_global,eta_interface,eta_cell_max,b_signed,b_interface,r_peak,signed_D,interface_sum_abs_D,interface_sum_A,interface_signed_D,interface_cells,material_cells,material_A_threshold,accepted_rows_in_record,machine_roundoff_accumulation_estimate,nonzero_floor,roundoff_floor,interface_contract,eta_global_pass,eta_interface_pass,eta_cell_max_pass,b_signed_pass,b_interface_pass,registered_QoI_pass,replay_matches_frozen_V1
V2_G12_dt32_5windows_holdout,G12,dt32,WINDOW,1,0.00000000000000000e+00,1.56249999999964873e+00,1.56249999999964873e+00,2.76978767131082569e-12,4.12321595186399126e+00,1.91086504626958748e-13,4.49986678549844976e-01,6.71754209249865150e-13,5.05445331462583764e-13,3.20995996646968333e-09,2.18275892291189483e-03,4.92632683756755608e-03,1.22295362961281093e-13,2.48150959454493987e-14,1.15085012794069247e-12,2.27690326985616975e+00,5.60058519746184650e-14,18,314,4.49986678549844967e-07,16000,1.45768795431281556e-24,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,False,False,True,True
V2_G12_dt32_5windows_holdout,G12,dt32,WINDOW,2,1.56249999999857891e+00,3.12499999999822764e+00,1.56249999999964873e+00,6.16133431466723464e-12,2.12771486714544089e+00,4.68435221107466299e-13,2.27794233916353894e-01,2.89575187437277690e-12,8.06112160483282192e-13,3.91747242518570509e-08,1.07662751800854471e-02,2.67054062014196493e-02,2.99798541508845827e-13,1.22398377926463664e-13,8.59699655352345221e-13,1.06647647498201259e+00,-3.03605318111063389e-13,16,456,2.27794233916353892e-07,16001,2.08020347779164850e-24,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,False,False,True,True
V2_G12_dt32_5windows_holdout,G12,dt32,WINDOW,3,3.12500000000028377e+00,4.68749999999993250e+00,1.56249999999964873e+00,3.12311471675029574e-11,1.63134636560082491e+00,3.94061508204039815e-13,1.53110091677862048e-01,1.91443998810151660e-11,3.43422353391980146e-12,1.04556504963548538e-08,2.18069213254074457e-03,1.43544821773865304e-03,2.52199365250642170e-13,6.81055169183958534e-14,2.80779275622001861e-12,8.17591728810739715e-01,-1.63191568587837189e-14,18,488,1.53110091677862030e-07,16002,1.78576650967213045e-24,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,False,False,True,True
V2_G12_dt32_5windows_holdout,G12,dt32,WINDOW,4,4.68750000000596856e+00,6.25000000000561684e+00,1.56249999999964828e+00,4.64351098793629661e-12,1.37369054949132030e+00,5.13484751111167474e-13,1.44443894940093909e-01,3.38031807065703115e-12,5.98321749689598879e-12,8.05564294218183856e-09,2.31735749509498316e-03,1.54927584825910805e-02,3.28630240711221181e-13,2.63453045487833942e-14,4.11113485748981838e-12,6.87111050136923640e-01,-1.76132271947052234e-13,16,488,1.44443894940093895e-07,16000,1.82426429913459640e-24,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,False,False,True,True
V2_G12_dt32_5windows_holdout,G12,dt32,WINDOW,5,6.25000000001165290e+00,7.81250000001130118e+00,1.56249999999964828e+00,3.03443461704804930e-12,1.20979159635990130e+00,4.69452157450977611e-13,1.29702801763756315e-01,2.50822920755793921e-12,4.30989864247888014e-12,2.17119409032394168e-08,2.77137948524345569e-03,2.05162827218159129e-03,3.00449380768693312e-13,3.15069369803888537e-14,2.61083406344815337e-12,6.05776209610931038e-01,-2.33243130444588075e-14,18,488,1.29702801763756320e-07,16000,1.66782910132442010e-24,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,False,False,True,HOLDOUT
V2_G9_dt4_5windows_holdout,G9,dt4,WINDOW,1,0.00000000000000000e+00,1.56249999999994471e+00,1.56249999999994471e+00,2.23108604487842147e-09,4.12323329731267219e+00,2.13327007139131403e-10,4.49989766851804585e-01,5.41101093244599429e-10,5.28389400293034199e-10,2.31755411538128568e-06,1.11817471870082156e-05,1.10135812604122876e-01,1.36529284569048918e-10,2.49474401062925736e-14,1.20309693241581312e-09,2.27691345009684065e+00,-1.32504058293143075e-10,18,314,4.49989766851804568e-07,2000,5.43578543634201989e-22,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,True,False,True,True
V2_G9_dt4_5windows_holdout,G9,dt4,WINDOW,2,1.56250000000023070e+00,3.12500000000017542e+00,1.56249999999994471e+00,1.00669429101588963e-08,2.12772203103193513e+00,4.41739203320073198e-10,2.27785617643265270e-01,4.73132428171384605e-09,2.45718177287478662e-09,5.60685879828104973e-05,1.01226902890084889e-06,1.74891271198257064e-01,2.82713090124856877e-10,1.01904545236668327e-14,2.62056820418596282e-09,1.06649342474977815e+00,-4.58314504491816681e-10,16,462,2.27785617643265261e-07,2002,3.23668098741684094e-22,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,True,False,True,True
V2_G9_dt4_5windows_holdout,G9,dt4,WINDOW,3,3.12500000000058531e+00,4.68750000000053024e+00,1.56249999999994493e+00,2.06112718153851250e-08,1.63137798334819450e+00,8.71060712528144209e-10,1.53110507869289592e-01,1.26342711657068748e-08,5.84760085052958813e-09,8.41373111535382760e-05,1.23036003282990639e-07,1.23443979116924785e-02,5.57478856018031952e-10,2.53592850674433677e-15,4.78103378025580836e-09,8.17606040915534460e-01,5.90189834127209988e-11,18,490,1.53110507869289597e-07,2000,5.02312902632520638e-22,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,True,False,True,True
V2_G9_dt4_5windows_holdout,G9,dt4,WINDOW,4,4.68750000000094058e+00,6.25000000000088551e+00,1.56249999999994493e+00,7.70780004010996081e-09,1.37370767171750163e+00,1.20748837839136713e-09,1.44440776704881979e-01,5.61094634528258237e-09,9.79778165777453178e-09,3.03210816799231596e-04,9.73401585073628688e-10,1.85793940792565032e-02,7.72792562170502184e-10,7.50278477647361499e-18,6.73225982901589655e-09,6.87120826342752178e-01,-1.25081308407234355e-10,16,490,1.44440776704881970e-07,2000,5.36232559863193787e-22,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,True,False,True,True
V2_G9_dt4_5windows_holdout,G9,dt4,WINDOW,5,6.25000000000129585e+00,7.81250000000124079e+00,1.56249999999994493e+00,1.08721076117336671e-08,1.20980377048376275e+00,1.00729742388620403e-09,1.29707784504784651e-01,8.98667029892480132e-09,6.97543112108316344e-09,2.08624376665676921e-04,1.62894992190035443e-07,3.43065964189438657e-03,6.44670351287193345e-10,1.77101188450258061e-15,4.22559614266047645e-09,6.05782792390947566e-01,1.44965821495698916e-11,18,490,1.29707784504784649e-07,2000,4.96829252151228077e-22,1.13686837721616030e-11,1.13686837721616030e-11,UNION_OF_ACCEPTED_FINAL_STATE_INTERFACE_BAND_PER_WINDOW,True,True,True,True,False,True,HOLDOUT
