case,gate_id,dt_id,record_type,window_index,time_start_code,time_end_code,sum_abs_D,sum_A,eta_global,eta_interface,eta_cell_max,global_signed_D,interface_signed_D_own_mask,beta_global,beta_interface_own_mask,global_sign_coherence_diagnostic,interface_sign_coherence_diagnostic,interface_cells_own_mask,common_interface_cells,interface_signed_D_common_mask,interface_A_common_mask,beta_interface,beta_interface_excess,sign_coherence_interpretation
strict,G12,dt32,WINDOW,1,0.0,1.5625,2.7697876713108277e-12,4.123215951863989,6.717542092498662e-13,5.054453314625837e-13,3.2099599664696833e-09,2.481509594544945e-14,5.600585197461849e-14,6.018383765281867e-15,2.4597378692401072e-14,0.002182758922911899,0.004926326837567559,18,18,5.600585197461849e-14,2.27690326985617,2.4597378692401072e-14,0.0,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
candidate,G9,dt4,WINDOW,1,0.0,1.5625,2.2310860448784227e-09,4.123233297312668,5.411010932446004e-10,5.283894002930343e-10,2.3175541153812857e-06,2.494744010626228e-14,-1.3250405829314307e-10,6.0504556272675295e-15,5.8194595972678494e-11,1.1181747186994631e-05,0.11013581260412288,18,18,-1.3250405829314307e-10,2.27691345009684,5.8194595972678494e-11,5.821945354467842e-11,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
strict,G12,dt32,WINDOW,2,1.5625,3.125,6.161334314667238e-12,2.1277148671454413,2.8957518743727777e-12,8.061121604832823e-13,3.917472425185705e-08,1.2239837792646366e-13,-3.036053181110634e-13,5.752574267184319e-14,2.846807456453121e-13,0.010766275180085447,0.02670540620141965,16,16,-3.036053181110634e-13,1.0664764749820126,2.846807456453121e-13,0.0,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
candidate,G9,dt4,WINDOW,2,1.5625,3.125,1.0066942910158888e-08,2.1277220310319342,4.731324281713844e-09,2.4571817728747866e-09,5.60685879828105e-05,1.0190454524271062e-14,-4.583145044918167e-10,4.7893730363494635e-15,4.297396438232583e-10,1.012269028960871e-06,0.17489127119825704,16,16,-4.583145044918167e-10,1.0664934247497784,4.297396438232583e-10,4.2946179303339114e-10,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
strict,G12,dt32,WINDOW,3,3.125,4.6875,3.123114716750295e-11,1.6313463656008262,1.9144399881015147e-11,3.4342235339198015e-12,1.0455650496354854e-08,6.810551691839659e-14,-1.631915685878382e-14,4.1748042202744155e-14,1.99600317416634e-14,0.0021806921325407684,0.001435448217738662,18,18,-1.631915685878382e-14,0.8175917288107397,1.99600317416634e-14,0.0,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
candidate,G9,dt4,WINDOW,3,3.125,4.6875,2.0611271815385122e-08,1.6313779833481936,1.263427116570688e-08,5.847600850529589e-09,8.413731115353828e-05,2.535928507157927e-15,5.9018983412721e-11,1.554470228875628e-15,7.218511172768861e-11,1.2303600330305688e-07,0.012344397911692477,18,18,5.9018983412721e-11,0.8176060409155345,7.218511172768861e-11,7.220633537407712e-11,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
strict,G12,dt32,WINDOW,4,4.6875,6.25,4.643510987936293e-12,1.373690549491318,3.380318070657034e-12,5.983217496895986e-12,8.055642942181839e-09,2.6345304548783886e-14,-1.7613227194705213e-13,1.9178485692093927e-14,2.5633741723692765e-13,0.002317357495095026,0.015492758482591072,16,16,-1.7613227194705213e-13,0.6871110501369238,2.5633741723692765e-13,0.0,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
candidate,G9,dt4,WINDOW,4,4.6875,6.25,7.70780004010996e-09,1.3737076717175034,5.610946345282575e-09,9.79778165777453e-09,0.0003032108167992316,7.50278520869366e-18,-1.2508130840723456e-10,5.4617043808987136e-18,1.8203684652230435e-10,9.73401641149298e-10,0.01857939407925653,16,16,-1.2508130840723456e-10,0.6871208263427524,1.8203684652230435e-10,1.8178309912261937e-10,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
strict,G12,dt32,WINDOW,5,6.25,7.8125,3.034434617048048e-12,1.2097915963599015,2.5082292075579376e-12,4.30989864247888e-12,2.1711940903239417e-08,3.1506936980389094e-14,-2.3324313044458505e-14,2.6043276441321947e-14,3.850318430206907e-14,0.002771379485243477,0.002051628272181565,18,18,-2.3324313044458505e-14,0.605776209610931,3.850318430206907e-14,0.0,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
candidate,G9,dt4,WINDOW,5,6.25,7.8125,1.0872107611733667e-08,1.2098037704837634,8.986670298924796e-09,6.975431121083162e-09,0.00020862437666567692,1.7710118844864247e-15,1.4496582149570021e-11,1.463883588144424e-15,2.393033003191434e-11,1.6289499218854946e-07,0.003430659641894418,18,18,1.4496582149570021e-11,0.6057827923909476,2.393033003191434e-11,2.3969093259605077e-11,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
strict,G12,dt32,FULL_TRAJECTORY,0,0.0,9.375,4.261013558332742e-11,11.559343364442661,3.686207273191585e-12,1.9750860827129854e-12,8.738927060074548e-08,3.087526979723879e-13,-6.291284512189702e-13,2.671022810189483e-14,1.0211534813397185e-13,0.007245991915904563,0.05170172025803849,22,22,-6.291284512189702e-13,6.160958785486146,1.0211534813397185e-13,0.0,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
candidate,G9,dt4,FULL_TRAJECTORY,0,0.0,9.375,3.025970605852536e-08,11.559433343805262,2.6177499500649514e-09,3.0855654778266932e-09,4.326389792980876e-05,4.210041620975907e-14,2.0385763231555116e-09,3.642083046598544e-15,3.3088284122149847e-10,1.3913028807461833e-06,0.10723572181477561,22,22,2.0385763231555116e-09,6.161021573768628,3.3088284122149847e-10,3.309883287014753e-10,SIGN_COHERENCE_NOT_MATERIALLY_INTERPRETABLE
