case,gate_id,dt_id,window_index,time_code,time_physical_s,left_crossing_nm,right_crossing_nm,left_outward_displacement_nm,right_outward_displacement_nm,delta_s_cross_nm,delta_s_cross_dx,h_volume_nm3,beta_h_inventory_change_cell_units,delta_s_h_nm,delta_s_h_dx,difference_between_cross_and_h_nm,difference_between_cross_and_h_dx,cumulative_matrix_to_beta_transfer,far_field_matrix_composition,translated_profile_L2,translated_profile_Linf,interface_width_change_nm,left_right_displacement_asymmetry_nm,bdf2_history_valid,checkpoint_time_code,left_interface_band_center_nm,right_interface_band_center_nm,left_interface_band_width_nm,right_interface_band_width_nm,mean_interface_band_width_nm,crossing_hvolume_consistency,motion_classification
strict,G12,dt32,0,0.0,0.0,239.50000000000006,271.49999999999994,0.0,0.0,0.0,0.0,31.99999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000001,0.0,0.0,0.0,0.0,0,0.0,239.50000000001933,271.4999999999807,7.821829960806838,7.821829960806781,7.821829960806809,PASS,PROFILE_RELAXATION_DOMINATED
strict,G12,dt32,1,1.5625,64.26497722586683,238.34045548226572,272.65954451769744,1.1595445177343322,1.1595445176974977,1.159544517715915,1.159544517715915,34.262324785193655,2.262324785193906,1.131162392596952,1.131162392596952,0.028382125118962875,0.028382125118962875,1.9903764146199578,0.04634652458185524,0.009982241768423952,0.032954375938553104,0.2708240571336944,3.6834535421803594e-11,1,1.5624999999996487,238.87097081306584,272.12902913548317,8.092653965404281,8.092654070476726,8.092654017940504,PASS,MATERIAL_INTERFACE_MOTION_CONFIRMED
strict,G12,dt32,2,3.125,128.52995445173366,237.79227342277892,273.20772657767816,1.7077265772211376,1.7077265776782156,1.7077265774496766,1.7077265774496766,35.34767308286894,3.3476730828691816,1.6738365414345928,1.6738365414345928,0.03389003601508378,0.03389003601508378,3.0199210583043783,0.0442320300249996,0.00986749989698373,0.035684973350129434,0.49100363148666304,4.5707793105975725e-10,1,3.1249999999982276,238.26477254282997,272.7352274741984,8.31283360683679,8.312833577750155,8.312833592293472,PASS,MATERIAL_INTERFACE_MOTION_CONFIRMED
strict,G12,dt32,3,4.6875,192.7949316776005,237.39682506894374,273.60317493048393,2.1031749310563157,2.1031749304839877,2.1031749307701517,2.1031749307701517,36.175684781935935,4.175684781936183,2.087842390968092,2.087842390968092,0.015332539802059841,0.015332539802059841,3.794782242854976,0.04262509873326418,0.008319044980002148,0.027376588156509785,0.4678818778795346,5.723279628000455e-10,1,4.6874999999999325,237.71230299131904,273.2876972902109,8.289712114106123,8.289711563266565,8.289711838686344,PASS,MATERIAL_INTERFACE_MOTION_CONFIRMED
strict,G12,dt32,4,6.25,257.0599089034673,237.04611427347777,273.9538857273926,2.4538857265222873,2.4538857273926737,2.4538857269574805,2.4538857269574805,36.8716058549826,4.871605854982844,2.435802927491423,2.435802927491423,0.01808279946605751,0.01808279946605751,4.466320753744538,0.04115007969955762,0.00791894171477945,0.031584386562449884,0.42943322196143185,8.703864295966923e-10,1,6.250000000005617,237.33456238277017,273.6654372328753,8.251262798340065,8.251263567196418,8.251263182768241,PASS,MATERIAL_INTERFACE_MOTION_CONFIRMED
strict,G12,dt32,5,7.8125,321.3248861293341,236.73743763718454,274.2625623637305,2.7625623628155154,2.7625623637305807,2.762562363273048,2.762562363273048,37.48369278301014,5.483692783010386,2.741846391505195,2.741846391505195,0.020715971767852892,0.020715971767852892,5.040642422197221,0.039847939194507506,0.007098648491639483,0.02738299530894328,0.18236611548513793,9.150653568212874e-10,1,7.812500000011301,236.98384106690193,274.01615883759456,8.00419597888839,8.004196173695505,8.004196076291947,PASS,MATERIAL_INTERFACE_MOTION_CONFIRMED
strict,G12,dt32,6,9.375,385.589863355201,236.47157201021346,274.5284279902747,3.028427989786593,3.0284279902747357,3.0284279900306643,3.0284279900306643,38.03649012918922,6.036490129189463,3.0182450645947334,3.0182450645947334,0.010182925435930912,0.010182925435930912,5.556021519357026,0.03879507328103343,0.006038603010586323,0.01847754945055491,0.3275240884629085,4.881428594671888e-10,1,9.375000000016986,236.67086400705148,274.32913590135666,8.149353955446344,8.149354143093092,8.149354049269718,PASS,MATERIAL_INTERFACE_MOTION_CONFIRMED
candidate,G9,dt4,0,0.0,0.0,239.50000000000006,271.49999999999994,0.0,0.0,0.0,0.0,31.99999999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.05000000000000001,0.0,0.0,0.0,0.0,0,0.0,239.50000000001933,271.4999999999807,7.821829960806838,7.821829960806781,7.821829960806809,PASS,PROFILE_RELAXATION_DOMINATED
candidate,G9,dt4,1,1.5625,64.26497722586683,238.34045395621192,272.6595460363091,1.15954604378814,1.159546036309166,1.159546040048653,1.159546040048653,34.262331002313104,2.2623310023133483,1.1311655011566764,1.1311655011566764,0.02838053889197667,0.02838053889197667,1.9903827865647132,0.04634651331078831,0.009976843917843602,0.03295270361644487,0.2704669909878845,7.478973884644802e-09,1,1.5624999999999447,238.8708105438045,272.12920791911455,8.092315405721905,8.092278497867483,8.092296951794694,PASS,MATERIAL_INTERFACE_MOTION_CONFIRMED
candidate,G9,dt4,2,3.125,128.52995445173366,237.79228908545386,273.20771073991165,1.7077109145461975,1.707710739911704,1.7077108272289507,1.7077108272289507,35.34765748285774,3.347657482857988,1.673828741428995,1.673828741428995,0.033882085799955775,0.033882085799955775,3.019904542251372,0.04423205860195815,0.009823159404357712,0.03568922173488431,0.4788551104648491,1.7463449353272154e-07,1,3.1250000000001754,238.2587912168144,272.74138399100974,8.300860057609441,8.300510084933876,8.300685071271658,PASS,MATERIAL_INTERFACE_MOTION_CONFIRMED
