evidence_family,case_id,gate_id,dt_id,initial_physical_s,final_physical_s,physical_duration_s,accepted_macro_steps,dt_code,dt_physical_s,restart_source,restart_time_code,history_valid,completion_status,hard_reject_count,retry_fallback_count,checkpoint_endpoints_code,physical_time_provenance,classification
V1_FORMAL_4WINDOW,G12_dt16,G12,dt16,0.0,257.0599089034673,257.0599089034673,32000,0.0001953125,0.008033122153233353,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_FAIL,0,1497,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
V1_FORMAL_4WINDOW,G10_dt16,G10,dt16,0.0,257.0599089034673,257.0599089034673,32000,0.0001953125,0.008033122153233353,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_PASS,0,0,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
V1_FORMAL_4WINDOW,G10_dt8,G10,dt8,0.0,257.0599089034673,257.0599089034673,16000,0.000390625,0.016066244306466707,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_FAIL,0,1,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
V1_FORMAL_4WINDOW,G10_dt4,G10,dt4,0.0,257.0599089034673,257.0599089034673,8000,0.00078125,0.03213248861293341,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_FAIL,0,8,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
V1_FORMAL_4WINDOW,G10_dt2,G10,dt2,0.0,257.0599089034673,257.0599089034673,4000,0.0015625,0.06426497722586683,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_FAIL,0,40,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
V1_FORMAL_4WINDOW,G9_dt16,G9,dt16,0.0,257.0599089034673,257.0599089034673,32000,0.0001953125,0.008033122153233353,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_PASS,0,0,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
V1_FORMAL_4WINDOW,G9_dt8,G9,dt8,0.0,257.0599089034673,257.0599089034673,16000,0.000390625,0.016066244306466707,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_FAIL,0,2,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
V1_FORMAL_4WINDOW,G9_dt4,G9,dt4,0.0,257.0599089034673,257.0599089034673,8000,0.00078125,0.03213248861293341,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_FAIL,0,2,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
V1_FORMAL_4WINDOW,G9_dt2,G9,dt2,0.0,257.0599089034673,257.0599089034673,4000,0.0015625,0.06426497722586683,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_FAIL,0,82,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
V1_FORMAL_4WINDOW,G8_dt16,G8,dt16,0.0,257.0599089034673,257.0599089034673,32000,0.0001953125,0.008033122153233353,accepted_1x_common_checkpoint_then_3x_continuation,1.5625,True,TERMINAL_PASS,0,3,1.5625;3.125;4.6875;6.25,checkpoint_meta_plus_transactional_observed_time,NUMERICAL_MULTIWINDOW_COMPLETED
