member_id,host_id,background_model,AQ_case_id,kappa_upper_6_W_mK,kappa_upper_48_W_mK,W_upper_6_mK_W,W_upper_48_mK_W,W_exp_6_mK_W,W_exp_48_mK_W,Delta_W_required_6,Delta_W_allowed_48,r_required_effective_resistance,diagnostic_only_not_spectral_substitute
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,1.2081556064905328,1.2075496134013244,0.8277079497274477,0.8281233242113207,1.1764705882352942,0.970873786407767,0.3487626385078465,0.14275046219644627,0.4093054887048478,True
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_prolate_AR2,1.0929765593414054,1.0924727831946701,0.9149327050550561,0.9153546114675223,1.1764705882352942,0.970873786407767,0.2615378831802381,0.05551917494024472,0.21227966772975615,True
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,1.0856623764971591,1.084858799983645,0.9210966702433357,0.9217789448867223,1.1764705882352942,0.970873786407767,0.2553739179919584,0.04909484152104471,0.1922468899999047,True
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,1.324466544127139,1.3237424001852889,0.7550209587657258,0.7554339876550199,1.1764705882352942,0.970873786407767,0.4214496294695683,0.2154397987527471,0.5111875386482061,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,1.1539596339739757,1.1534032404926327,0.8665814388638764,0.8669994715576556,1.1764705882352942,0.970873786407767,0.30988914937141776,0.10387431485011145,0.33519829610301344,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,1.1615209298421223,1.1606337387521846,0.860940146929529,0.8615982515510152,1.1764705882352942,0.970873786407767,0.31553044130576513,0.10927553485675179,0.3463232720257828,True
H-P2_PBTE_303K_100__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,1.4207026128243756,1.4198651099926416,0.7038770753099318,0.7042922549207385,1.1764705882352942,0.970873786407767,0.47259351292536234,0.26658153148702846,0.5640820794108746,True
H-P2_PBTE_303K_110__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,1.1792230302766542,1.178797160342867,0.8480160023379062,0.8483223693117298,1.1764705882352942,0.970873786407767,0.32845458589738796,0.12255141709603723,0.37311525659234773,True
H-P2_PBTE_303K_110__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_110,B4_omega4,central__single_APT_37to6_prolate_AR2,1.0754451123174489,1.0751082809719985,0.9298475473519293,0.9301388685202074,1.1764705882352942,0.970873786407767,0.24662304088336484,0.04073491788755956,0.16517077131825766,True
H-P2_PBTE_303K_ANGULAR_MEAN__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,1.1500909940223427,1.1496492550074364,0.8694964182812939,0.8698305119099403,1.1764705882352942,0.970873786407767,0.3069741699540003,0.10104327449782669,0.3291588817162301,True
H-P2_PBTE_303K_ANGULAR_MEAN__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,central__single_APT_37to6_prolate_AR2,1.0533470595090766,1.052996238970277,0.9493547173958604,0.9496710083009395,1.1764705882352942,0.970873786407767,0.22711587083943374,0.02120277810682747,0.09335665547484966,True
H-P2_PBTE_303K_ANGULAR_MEAN__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,1.2403156459656237,1.2397774840666667,0.8062463803086749,0.8065963552748526,1.1764705882352942,0.970873786407767,0.37022420792661925,0.16427743113291438,0.44372417474514575,True
H-P2_PBTE_303K_ANGULAR_MEAN__upper_1sigma__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,upper_1sigma__single_APT_37to6_prolate_AR2,1.1030977593063722,1.102701749682626,0.9065379668877217,0.9068635288624644,1.1764705882352942,0.970873786407767,0.26993262134757245,0.06401025754530265,0.2371342049202765,True
H-P2_PBTE_303K_ANGULAR_MEAN__upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_ANGULAR_MEAN,B4_omega4,upper_1sigma__single_APT_37to6_large_Lover2_sphere_bound,1.3101056129401412,1.3094846793545607,0.7632972411711132,0.7636591827045244,1.1764705882352942,0.970873786407767,0.41317334706418096,0.20721460370324263,0.501519774147132,True
