member_id,host_id,background_model,AQ_case_id,test_spectrum,omega_exponent,frozen_6h_amplitude,amplitude_unit,required_48h_to_6h_rate_scale,kappa_6h_closure_W_mK,kappa_48h_closure_W_mK,r_is_fit_parameter,use
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D0,0,14505426254.27951,s^-1,0.19592676950248133,0.85,1.0300000000000002,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D2,2,8.897589992057852e-16,s,0.3515099367234531,0.850000000000006,1.0300000000000002,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,D4,4,2.6817028450942356e-41,s^3,0.3416363033348697,0.85,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_prolate_AR2,D0,0,6617505239.531292,s^-1,0.08633868444824772,0.8500000000000103,1.0300000000000002,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_prolate_AR2,D2,2,6.316870050340493e-16,s,0.1800210686204687,0.8500000000006223,1.0299999999999978,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_prolate_AR2,D4,4,2.1517719974863546e-41,s^3,0.17949680518378536,0.8500000000000002,1.0299999999999985,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,D0,0,26962650629.251213,s^-1,0.07250725427402069,0.8500000000000005,1.0300000000000027,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,D2,2,8.241217099621225e-16,s,0.17427036372517132,0.8500000000000111,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,D4,4,1.0046319167028433e-41,s^3,0.14180832095988138,0.850000000000014,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,D0,0,25689854652.69719,s^-1,0.27783176999540504,0.8500000000000002,1.03,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,D2,2,1.1118272719443846e-15,s,0.4441881554366049,0.8500000000011542,1.029999999999997,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,D4,4,3.0527516024713384e-41,s^3,0.42165756394360276,0.8500000000003894,1.0299999999999998,False,NECESSARY_SPECTRAL_DECAY_DIAGNOSTIC
