member_id,host_id,host_family,host_status,background_model,AQ_case_id,age_h,temperature_K,ensemble_mean_kappa_upper_W_mK,replicate_min_W_mK,replicate_max_W_mK,experiment_W_mK,endpoint_gate_pass
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,6.0,573.15,0.8634625277612434,0.8634614497532689,0.8634633190031908,0.85,True
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,48.0,573.15,0.8627611010127779,0.8619638796363679,0.8633982767547435,1.03,False
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,6.0,573.15,0.8639408105231209,0.8639397313509298,0.8639416026195864,0.85,True
H-P0_YU_SCALAR__lower_1sigma__all_small_at_reported_max__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__all_small_at_reported_max,48.0,573.15,0.8632386271494642,0.8624405462735133,0.8638764901317882,1.03,False
H-P0_YU_SCALAR__lower_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR10,6.0,573.15,0.8647366694823283,0.8647355883715728,0.8647374630016722,0.85,True
H-P0_YU_SCALAR__lower_1sigma__single_APT_37to6_prolate_AR10__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR10,48.0,573.15,0.8640332262370567,0.8632337141929671,0.8646722335566646,1.03,False
H-P0_YU_SCALAR__lower_1sigma__single_APT_37to6_prolate_AR5__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR5,6.0,573.15,0.8675566412574995,0.867555553264576,0.8675574398282558,0.85,True
H-P0_YU_SCALAR__lower_1sigma__single_APT_37to6_prolate_AR5__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR5,48.0,573.15,0.8668487253274972,0.8660441324929959,0.8674917951693525,1.03,False
H-P0_YU_SCALAR__lower_1sigma__single_APT_37to6_prolate_AR2__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR2,6.0,573.15,0.8858352654055199,0.8858341323033224,0.885836097085835,0.85,True
H-P0_YU_SCALAR__lower_1sigma__single_APT_37to6_prolate_AR2__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__single_APT_37to6_prolate_AR2,48.0,573.15,0.8850980343967091,0.8842601414243221,0.8857677309070704,1.03,False
H-P0_YU_SCALAR__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,6.0,573.15,0.9262826438658228,0.9262814078764325,0.9262835510638614,0.85,True
