host_id,host_family,host_status,host_direction,TA1_m_s,TA2_m_s,LA_m_s,case_id,source_status,total_Nv_m-3,morphology,background_model,parameter,parameter_unit,chi2,AICc,degrees_of_freedom,chi2_survival_probability,RMSE_W_mK,MAPE_percent,max_abs_residual_W_mK,parameter_physicality,fit_data_identity
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__zero_particle_scattering_limit,SOURCE_LITERAL_BOUND,2.1e+21,zero_particle_scattering_limit,B0_none,0.0,none,19497.626472400367,19497.626472400367,7,0.0,0.7916498104131362,72.2906520521575,1.067974775907171,PASS_ZERO_BACKGROUND_CONTROL,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__zero_particle_scattering_limit,SOURCE_LITERAL_BOUND,2.1e+21,zero_particle_scattering_limit,B1_constant,129331421567.89671,s^-1,94.50709456792322,97.30709456792322,6,3.501548445273655e-18,0.05511558799181268,4.701344457811398,0.10706570767325296,PASS_NONNEGATIVE_ONE_PARAMETER,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__zero_particle_scattering_limit,SOURCE_LITERAL_BOUND,2.1e+21,zero_particle_scattering_limit,B2_omega2,2.8228972475676483e-15,s,73.27849703700187,76.07849703700187,6,8.676306435108506e-14,0.048532260012322026,4.0463988070932775,0.07523407398273929,PASS_NONNEGATIVE_ONE_PARAMETER,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__zero_particle_scattering_limit,SOURCE_LITERAL_BOUND,2.1e+21,zero_particle_scattering_limit,B4_omega4,4.811540534859455e-41,s^3,99.91467565905864,102.71467565905864,6,2.6142946614973647e-19,0.05667047861262535,4.8274863229628835,0.11206000613650291,PASS_NONNEGATIVE_ONE_PARAMETER,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__zero_particle_scattering_limit,SOURCE_LITERAL_BOUND,2.1e+21,zero_particle_scattering_limit,BU_host_scale,1.8665164096406606,dimensionless,359.5129612029473,362.3129612029473,6,1.3993406118715698e-74,0.10749778487462834,9.468830800961385,0.20108900611454694,PASS_NONNEGATIVE_ONE_PARAMETER,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__all_small_at_reported_max,SOURCE_LITERAL_BOUND,2.1e+21,all_small_at_reported_max,B0_none,0.0,none,19383.359635432036,19383.359635432036,7,0.0,0.7893266495629774,72.0848136856052,1.0643992940980462,PASS_ZERO_BACKGROUND_CONTROL,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__all_small_at_reported_max,SOURCE_LITERAL_BOUND,2.1e+21,all_small_at_reported_max,B1_constant,128959192449.72313,s^-1,94.45679974127177,97.25679974127176,6,3.586979809851618e-18,0.05510092032130827,4.699970425103655,0.10702020367028453,PASS_NONNEGATIVE_ONE_PARAMETER,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__all_small_at_reported_max,SOURCE_LITERAL_BOUND,2.1e+21,all_small_at_reported_max,B2_omega2,2.818424153902592e-15,s,73.278283634471,76.07828363447099,6,8.677183095009664e-14,0.048532189344151454,4.046366752120529,0.0752309345526948,PASS_NONNEGATIVE_ONE_PARAMETER,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__all_small_at_reported_max,SOURCE_LITERAL_BOUND,2.1e+21,all_small_at_reported_max,B4_omega4,4.799067811274695e-41,s^3,99.76938564960994,102.56938564960994,6,2.803271687355441e-19,0.05662926019440862,4.824307676271557,0.11195407755624032,PASS_NONNEGATIVE_ONE_PARAMETER,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__all_small_at_reported_max,SOURCE_LITERAL_BOUND,2.1e+21,all_small_at_reported_max,BU_host_scale,1.8650599271173776,dimensionless,358.66143071646235,361.46143071646236,6,2.131977683170411e-74,0.10737040155541938,9.458930574973321,0.20088435364456803,PASS_NONNEGATIVE_ONE_PARAMETER,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
H-P0_YU_SCALAR,H-P0,AVAILABLE_CONTROL,scalar,1770.0,1770.0,1770.0,lower_1sigma__single_APT_37to6_prolate_AR10,SINGLE_APT_COUNT_FRACTION_DIAGNOSTIC,2.1e+21,single_APT_37to6_prolate_AR10,B0_none,0.0,none,19186.705640512424,19186.705640512424,7,0.0,0.7853123827147018,71.73116577453777,1.0581371672365671,PASS_ZERO_BACKGROUND_CONTROL,AQ_MEASURED_TOTAL_ONLY_NO_6H_NO_48H
