member_id,host_id,background_model,AQ_case_id,Ag2Te_density_kg_m3,Ag2Te_bulk_modulus_GPa,Ag2Te_shear_control_temperature_K,Ag2Te_shear_modulus_GPa,anisotropy_identity,damping_identity,interface_transmission_identity,mean_polarization_conversion_fraction,kernel_structure_rate_ratio_48_6,frozen_6h_global_rate_scale,kappa_6h_W_mK,kappa_48h_W_mK,recovery_percent,endpoint_relative_error_percent,numerical_feasibility_gate,material_authority_gate,material_status
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,421.3,6.3580555157709995,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5902652338826876,17.52750145115474,1.2752226324490303,0.85,0.95611528901355,12.484151648652947,7.173272911305825,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,497.225,5.7772836538855,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5905527971896084,17.52248031196129,1.2728373028591176,0.85,0.9563077758552461,12.506797159440715,7.154584868422714,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,lower_1sigma__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,573.15,5.196511792000001,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5908332565965333,17.517229564803756,1.2707258996446535,0.85,0.9564825012847941,12.527353092328717,7.137621234486017,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_prolate_AR2,8200.0,18.9,421.3,6.3580555157709995,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5902652338826876,17.52750145115474,0.5853720903496517,0.85,0.9307706302624531,9.502427089700367,9.633919391994846,False,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_prolate_AR2,8200.0,18.9,497.225,5.7772836538855,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5905527971896084,17.52248031196129,0.584080414393138,0.85,0.9309176140940592,9.519719305183433,9.619649117081638,False,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__central__single_APT_37to6_prolate_AR2__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_prolate_AR2,8200.0,18.9,573.15,5.196511792000001,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5908332565965333,17.517229564803756,0.5829024350679972,0.85,0.9310552255833277,9.535908892156197,9.606288778317706,False,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,421.3,6.3580555157709995,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5902652338826876,17.52750145115474,2.4782537304429866,0.8500000000000001,0.9365700038364991,10.184706333705783,9.070873413932125,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,497.225,5.7772836538855,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5905527971896084,17.52248031196129,2.4740159138601445,0.85,0.9367072006383758,10.200847133926564,9.057553336080026,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B2_omega2,H-P2_PBTE_303K_100,B2_omega2,central__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,573.15,5.196511792000001,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5908332565965333,17.517229564803756,2.4703403990184367,0.8500000000000002,0.9368293678448673,10.215219746454975,9.0456924422459,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
H-P2_PBTE_303K_100__central__single_APT_37to6_large_Lover2_sphere_bound__B4_omega4,H-P2_PBTE_303K_100,B4_omega4,central__single_APT_37to6_large_Lover2_sphere_bound,8200.0,18.9,421.3,6.3580555157709995,ISOTROPIC_SCALAR_CONTROL_AZ_EQ_1_NOT_SINGLE_CRYSTAL_AUTHORITY,UNAVAILABLE_NOT_NUMERICALLY_SCANNED,ELASTIC_INCLUSION_KERNEL_NO_SEPARATE_FIT,0.5902652338826876,17.52750145115474,2.2498075883482778,0.8500000000000837,0.9806137193335176,15.366319921590307,4.794784530726449,True,False,BLOCKED_AG2TE_HIGH_TEMPERATURE_PROPERTIES
