member_id,host_id,host_status,background_model,AQ_case_id,replicate,age_h,temperature_K,matrix_xAg,kappa_upper_W_mK,dynamic_density_stiffness_interface_strain_damping_rates,upper_bound_identity
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,6.0,303.15,0.006203008315588036,1.2029671133182676,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,6.0,303.15,0.0062032544917148096,1.2029645155940665,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,6.0,303.15,0.006202917319236994,1.2029680735439956,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,48.0,303.15,0.006300821530907528,1.20193650680854,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,48.0,303.15,0.006474212975184828,1.2001171615029893,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,48.0,303.15,0.00621465105518336,1.2028442771981944,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,6.0,323.15,0.006203008315588036,1.1691813449735018,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,B,6.0,323.15,0.0062032544917148096,1.169178886394545,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,C,6.0,323.15,0.006202917319236994,1.169182253765301,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
H-P0_YU_SCALAR__lower_1sigma__zero_particle_scattering_limit__B2_omega2,H-P0_YU_SCALAR,AVAILABLE_CONTROL,B2_omega2,lower_1sigma__zero_particle_scattering_limit,A,48.0,323.15,0.006300821530907528,1.1682059042768083,0.0,NECESSARY_CONDITION_NOT_ACTUAL_PREDICTION
