state,T_K,yu_model_digitized_W_mK,experiment_Table_S1_W_mK,published_parameter_prediction_W_mK,refitted_prediction_W_mK,refitted_relative_error_vs_yu_model,refitted_relative_error_vs_experiment
AQ,303.06,1.63944373646,1.68,1.65602381323,1.64844636068,0.00549126756759,0.0187819281673
AQ,322.42,1.57981659274,1.6,1.59175407241,1.58432804335,0.00285567997855,0.00979497290395
AQ,370.8,1.44225352113,1.43,1.45115870613,1.44410450371,0.00128339612579,0.00986328930868
AQ,420.95,1.32394366197,1.33,1.32965654285,1.32296798016,0.000736951151219,0.00528723295928
AQ,473.74,1.21690140845,1.26,1.22218280678,1.21585154824,0.000862732345627,0.035038453775
AQ,523,1.1323943662,1.15,1.13664309126,1.1306188057,0.00156797009009,0.0168532124316
AQ,573.15,1.05915492958,1.07,1.0611835623,1.05544664104,0.00350117668261,0.0136012700586
Annealed,303.94,1.99926681741,2.04,1.02681460975,2.00748244964,0.00410932255493,0.0159399756686
Annealed,323.3,1.90988854204,1.93,0.999946965234,1.9140287073,0.00216775229203,0.00827528118936
Annealed,371.35,1.71362095278,1.68,0.938911359937,1.71586214408,0.00130786875146,0.0213465143309
Annealed,420.52,1.55837677648,1.5,0.883753267708,1.55163292486,0.00432748467577,0.0344219499071
Annealed,471.83,1.41689964039,1.39,0.83281499294,1.41088667128,0.00424375089035,0.0150263822155
Annealed,522.02,1.30424448957,1.23,0.788490679715,1.29603496733,0.00629446572395,0.0536869653128
Annealed,572.27,1.2054421016,1.12,0.748720158006,1.19847415336,0.00578040888556,0.0700662083615
