state,T_K,x,omega_rad_s,omega_1e12_rad_s_paper_frequency_axis,frequency_THz_cycles_s,dkappa_dx_W_mK,spectral_kappa_pW_s_mK,total_rate_s-1,phonon_phonon_rate_s-1,boundary_rate_s-1,point_defect_rate_s-1,precipitate_small_rate_s-1,precipitate_big_rate_s-1,dislocation_core_rate_s-1,dislocation_strain_rate_s-1
48h,303.94,0,0,0,0,1.70206961537e-19,4.27742435527e-21,146280991.736,0,146280991.736,0,0,0,0,0
48h,303.94,0.000559320918602,22256457665.2,0.0222564576652,0.00354222525314,0.0101595135641,0.000255315942218,766680499.179,1282931.66126,146280991.736,0.430085734629,5.5830803449e-06,501.603891088,132.819348454,619115940.929
48h,303.94,0.0011186418372,44512915330.5,0.0445129153305,0.00708445050627,0.0224202629735,0.00056343746477,1389653695.1,5131726.64505,146280991.736,6.88137175407,8.93292855117e-05,8025.42618822,1062.55478763,1238231881.86
48h,303.94,0.00167796275581,66769372995.7,0.0667693729957,0.0106266757594,0.0347862333137,0.000874203265604,2015219443.98,11546384.9514,146280991.736,34.836944505,0.000452229507756,40623.5421226,3586.12240825,1857347822.79
48h,303.94,0.00223728367441,89025830660.9,0.0890258306609,0.0141689010125,0.047145781875,0.00118480768248,2643408618.99,20526906.5802,146280991.736,110.101948065,0.00142926856647,128346.415507,8500.43830103,2476463763.72
48h,303.94,0.00279660459301,111282288326,0.111282288326,0.0177111262657,0.059472114257,0.00149457735269,3274263978.42,32073291.5316,146280991.736,268.803584143,0.00348942520463,313119.277085,16602.4185567,3095579704.65
48h,303.94,0.00335592551161,133538745991,0.133538745991,0.0212533515188,0.0717550841444,0.00180325729196,3907839855.44,46185539.8055,146280991.736,557.391112079,0.00723567207996,648431.944325,28688.979266,3714695645.58
48h,303.94,0.00391524643022,155795203657,0.155795203657,0.024795576772,0.0839895558331,0.00211071843634,4544201528.63,62863651.4019,146280991.736,1032.63584884,0.0134049757466,1198709.30672,45557.0365196,4333811586.5
48h,303.94,0.00447456734882,178051661322,0.178051661322,0.0283378020251,0.096172265665,0.00241687876772,5183424112.74,82107626.3209,146280991.736,1761.63116904,0.0228682966226,2038202.08597,68003.5064083,4952927527.43
48h,303.94,0.00503388826742,200308118987,0.200308118987,0.0318800272782,0.108300751225,0.00272167640384,5825590796.16,103917464.562,146280991.736,2821.7925049,0.0366305889366,3249224.36287,96825.3050227,5572043468.36
48h,303.94,0.00559320918602,222564576652,0.222564576652,0.0354222525314,0.120372945368,0.00302505939584,6470790262.59,128293166.126,146280991.736,4300.85734629,0.0558308006465,4919575.171,132819.348454,6191159409.29
48h,303.94,0.00615253010463,244821034317,0.244821034317,0.0389644777845,0.132387031984,0.00332698210353,7119113179.35,155234731.013,146280991.736,6296.88524071,0.0817418733221,7139026.86099,176782.552792,6810275350.22
48h,303.94,0.00671185102323,267077491983,0.267077491983,0.0425067030376,0.144341423311,0.00362740462536,7770647724.39,184742159.222,146280991.736,8918.25779327,0.115770741981,9994852.07451,229511.834128,7429391291.15
48h,303.94,0.00727117194183,289333949648,0.289333949648,0.0460489282908,0.156234800725,0.00392629382328,8425474259.75,216815450.754,146280991.736,12283.6786667,0.159458334868,13566497.2379,291804.108553,8048507232.08
48h,303.94,0.00783049286043,311590407313,0.311590407313,0.0495911535439,0.168066188792,0.00422362518399,9083659434.44,251454605.608,146280991.736,16522.1735815,0.214479573167,17919685.4045,364456.292157,8667623173.01
48h,303.94,0.00838981377904,333846864978,0.333846864978,0.053133378797,0.179835041799,0.00451938499328,9745250189.35,288659623.784,146280991.736,21773.0903156,0.282643370629,23100421.2162,448265.301031,9286739113.94
48h,303.94,0.00894913469764,356103322644,0.356103322644,0.0566756040502,0.191541324838,0.00481357237392,10410268301.9,328430505.283,146280991.736,28186.0987047,0.365892633105,29129535.4502,544028.051266,9905855054.87
48h,303.94,0.00950845561624,378359780309,0.378359780309,0.0602178293033,0.203185573114,0.00510620077597,11078706196.2,370767250.105,146280991.736,35921.190642,0.466304257971,35998495.4265,652541.458953,10524970995.8
48h,303.94,0.0100677765348,400616237974,0.400616237974,0.0637600545564,0.214768915667,0.00539729857308,11750524711.7,415669858.249,146280991.736,45148.6800784,0.586089133421,43667173.2662,774602.440181,11144086936.7
48h,303.94,0.0106270974534,422872695639,0.422872695639,0.0673022798096,0.226293054347,0.00568690853389,12425653338.6,463138329.716,146280991.736,56049.2030226,0.727592137614,52064081.647,911007.911043,11763202877.7
48h,303.94,0.011186418372,445129153305,0.445129153305,0.0708445050627,0.237760195436,0.00597508610394,13103993114.3,513172664.505,146280991.736,68813.7175407,0.893292137669,61089270.0585,1062554.78763,12382318818.6
48h,303.94,0.0117457392906,467385610970,0.46738561097,0.0743867303159,0.249172938901,0.00626189662225,13785421979.5,565772862.617,146280991.736,83643.5037564,1.08580198846,70619681.0621,1230039.98603,13001434759.5
48h,303.94,0.0123050602093,489642068635,0.489642068635,0.077928955569,0.260534137054,0.00654741176948,14469802012.6,620938924.051,146280991.736,100750.163851,1.30786853121,80516384.4513,1414260.42233,13620550700.4
48h,303.94,0.0128643811279,511898526300,0.5118985263,0.0814711808221,0.271846739052,0.00683170566012,15156987682.1,678670848.808,146280991.736,120355.622064,1.5623725919,90632830.0238,1616013.01264,14239666641.4
48h,303.94,0.0134237020465,534154983965,0.534154983965,0.0850134060753,0.283113638969,0.00711485102431,15846834151.1,738968636.888,146280991.736,142692.124692,1.85232897932,100823151.528,1836094.67302,14858782582.3
48h,303.94,0.0139830229651,556411441631,0.556411441631,0.0885556313284,0.294337543115,0.00739691587361,16539204740.5,801832288.29,146280991.736,168002.24009,2.18088648299,110949630.524,2075302.31959,15477898523.2
48h,303.94,0.0145423438837,578667899296,0.578667899296,0.0920978565815,0.305520867741,0.00767796093015,17233976886.8,867261803.014,146280991.736,196538.858668,2.55132787068,120888653.592,2334432.86842,16097014464.2
48h,303.94,0.0151016648023,600924356961,0.600924356961,0.0956400818347,0.316665672479,0.00795803795398,17931046229.2,935257181.061,146280991.736,228565.192897,2.96706988563,130534799.911,2614283.23561,16716130405.1
48h,303.94,0.0156609857209,623180814626,0.623180814626,0.0991823070878,0.327773629358,0.00823718896438,18630328770.7,1005818422.43,146280991.736,264354.777304,3.43166324343,139803001.936,2915650.33725,17335246346
48h,303.94,0.0162203066395,645437272292,0.645437272292,0.102724532341,0.33884602295,0.0085154462436,19331761301.6,1078945527.12,146280991.736,304191.468474,3.94879262851,148628969.331,3239331.08944,17954362286.9
48h,303.94,0.0167796275581,667693729957,0.667693729957,0.106266757594,0.349883774661,0.00879283294724,20035300435.1,1154638495.14,146280991.736,348369.44505,4.52227669019,156968223.955,3586122.40825,18573478227.9
48h,303.94,0.0173389484767,689950187622,0.689950187622,0.109808982847,0.360887483317,0.00906936412422,20740920665.3,1232897326.47,146280991.736,397193.207731,5.15606803837,164794158.722,3956821.20978,19192594168.8
48h,303.94,0.0178982693953,712206645287,0.712206645287,0.1133512081,0.371857474659,0.00934504796064,21448611853.3,1313722021.13,146280991.736,450977.579275,5.85425323864,172095522.876,4352224.41013,19811710109.7
48h,303.94,0.0184575903139,734463102952,0.734463102952,0.116893433353,0.382793853628,0.00961988709375,22158376481.8,1397112579.12,146280991.736,510047.704497,6.62105280693,178873676.992,4773128.92538,20430826050.7
48h,303.94,0.0190169112325,756719560618,0.756719560618,0.120435658607,0.39369655492,0.00989387988243,22870226940.8,1483069000.42,146280991.736,574739.050271,7.46082120364,185139878.86,5220331.67162,21049941991.6
48h,303.94,0.0195762321511,778976018283,0.778976018283,0.12397788386,0.40456538887,0.0101670215603,23584183021.2,1571591285.05,146280991.736,645397.405528,8.37804682716,190912776.556,5694629.56495,21669057932.5
48h,303.94,0.0201355530697,801232475948,0.801232475948,0.127520109113,0.415400081085,0.0104393052315,24300269716.2,1662679433,146280991.736,722378.881255,9.37735200677,196216210.242,6196819.52145,22288173873.5
48h,303.94,0.0206948739883,823488933613,0.823488933613,0.131062334366,0.426200305259,0.0107107226959,25018515374.8,1756333444.27,146280991.736,806049.910498,10.4634929949,201077365.541,6727698.45722,22907289814.4
48h,303.94,0.0212541949069,845745391279,0.845745391279,0.134604559619,0.436965709345,0.0109812651063,25738950207.8,1852553318.86,146280991.736,896787.248362,11.6413599588,205525279.718,7288063.28835,23526405755.3
48h,303.94,0.0218135158255,868001848944,0.868001848944,0.138146784872,0.447695935661,0.0112509234738,26461605122.1,1951339056.78,146280991.736,994977.972006,12.915976971,209589675.511,7878710.93092,24145521696.2
48h,303.94,0.0223728367441,890258306609,0.890258306609,0.141689010125,0.458390635756,0.0115196890415,27186510842.2,2052690658.02,146280991.736,1101019.48065,14.292502,213300083.173,8500438.30103,24764637637.2
48h,303.94,0.0229321576627,912514764274,0.912514764274,0.145231235379,0.469049480892,0.0117875535482,27913697275.7,2156608122.58,146280991.736,1215319.49557,15.776226899,216685205.709,9154042.31477,25383753578.1
48h,303.94,0.0234914785813,934771221939,0.934771221939,0.148773460632,0.479672169021,0.0120545094031,28643193077,2263091450.47,146280991.736,1338296.0601,17.3725773943,219772482.415,9840319.88823,26002869519
48h,303.94,0.0240507994999,957027679605,0.957027679605,0.152315685885,0.490258429007,0.0123205497923,29375025367.3,2372140641.68,146280991.736,1470377.53964,19.0871130732,222587809.407,10560067.9375,26621985460
48h,303.94,0.0246101204185,979284137270,0.97928413727,0.155857911138,0.500808022758,0.0125856687324,30109219576.8,2483755696.21,146280991.736,1612002.62162,20.92552737,225155381.022,11314083.3787,27241101400.9
48h,303.94,0.0251694413371,1.00154059494e+12,1.00154059494,0.159400136391,0.511320745816,0.0128498610854,30845799375.7,2597936614.06,146280991.736,1763620.31556,22.8936475521,227497621.765,12103163.1278,27860217341.8
48h,303.94,0.0257287622557,1.0237970526e+12,1.0237970526,0.162942361644,0.521796426859,0.0131131225456,31584786672.8,2714683395.23,146280991.736,1925689.95303,24.9974347038,229635184.077,12928104.1011,28479333282.7
48h,303.94,0.0262880831743,1.04605351027e+12,1.04605351027,0.166484586897,0.532234926438,0.0133754496086,32326201659.1,2833996039.73,146280991.736,2098681.18764,27.2429837104,231586992.313,13789703.2145,29098449223.7
48h,303.94,0.0268474040929,1.06830996793e+12,1.06830996793,0.170026812151,0.542636135238,0.0136368395274,33070062882.6,2955874547.55,146280991.736,2283073.99508,29.6365232399,233370317.687,14688757.3842,29717565164.6
48h,303.94,0.0274067250115,1.0905664256e+12,1.0905664256,0.173569037404,0.552999972048,0.0138972902609,33816387343,3080318918.69,146280991.736,2479358.67308,32.1844157245,235000872.626,15626063.5262,30336681105.5
48h,303.94,0.0279660459301,1.11282288326e+12,1.11282288326,0.177111262657,0.563326381597,0.0141568004202,34565190596.6,3207329153.16,146280991.736,2688035.84143,34.8931573401,236492915.91,16602418.5567,30955797046.5
48h,303.94,0.0285253668487,1.13507934093e+12,1.13507934093,0.18065348791,0.57361533235,0.0144153692129,35316486866,3336905250.95,146280991.736,2909616.442,37.7693779848,237859362.35,17618619.3917,31574912987.4
48h,303.94,0.0290846877673,1.15733579859e+12,1.15733579859,0.184195713163,0.583866814349,0.0146729963885,36070289150.2,3469047212.06,146280991.736,3144621.73869,40.8198412564,239111892.57,18675462.9474,32194028928.3
48h,303.94,0.0296440086859,1.17959225626e+12,1.17959225626,0.187737938416,0.594080837134,0.014929682187,36826609330.8,3603755036.49,146280991.736,3393583.31746,44.0514444276,240261059.859,19773746.1397,32813144869.3
48h,303.94,0.0302033296045,1.20184871392e+12,1.20184871392,0.191280163669,0.604257427784,0.0151854272887,37585458274.7,3741028724.24,146280991.736,3657043.08635,47.4712184209,241316392.121,20914265.8849,33432260810.2
48h,303.94,0.0307626505231,1.22410517159e+12,1.22410517159,0.194822388922,0.614396629095,0.0154402327693,38346845929.3,3880868275.32,146280991.736,3935553.27544,51.0863277808,242286487.693,22097819.099,34051376751.1
48h,303.94,0.0313219714417,1.24636162925e+12,1.24636162925,0.198364614176,0.624498497894,0.0156941000568,39110781412,4023273689.72,146280991.736,4229676.43687,54.9040706453,243179104.423,23325202.698,34670492692
48h,303.94,0.0318812923603,1.26861808692e+12,1.26861808692,0.201906839429,0.634563103498,0.0159470308932,39877273091.9,4168244967.44,146280991.736,4539985.44483,58.9318787152,244001241.732,24597213.5982,35289608633
48h,303.94,0.0324406132789,1.29087454458e+12,1.29087454458,0.205449064682,0.644590526315,0.0161990272991,40646328665.2,4315782108.49,146280991.736,4867063.49559,63.1773172222,244759215.729,25914648.7155,35908724573.9
48h,303.94,0.0329999341975,1.31313100225e+12,1.31313100225,0.208991289935,0.65458085657,0.0164500915421,41417955223.7,4465885112.86,146280991.736,5211504.10745,67.6480848946,245458727.58,27278304.9661,36527840514.8
48h,303.94,0.0335592551161,1.33538745991e+12,1.33538745991,0.212533515188,0.664534193164,0.0167002261076,42192159316.3,4618553980.55,146280991.736,5573911.12079,72.3520139216,246104925.481,28688979.266,37146956455.8
48h,303.94,0.0341185760347,1.35764391758e+12,1.35764391758,0.216075740441,0.674450642641,0.0169494336731,42968947005.2,4773788711.56,146280991.736,5954898.69804,77.297069916,246702460.654,30147468.5313,37766072396.7
48h,303.94,0.0346778969533,1.37990037524e+12,1.37990037524,0.219617965694,0.684330318268,0.017197717085,43748323916.5,4931589305.9,146280991.736,6355091.32369,82.4913518738,247255537.79,31654569.6783,38385188337.6
