state,T_K,experimental_kappa_W_mK,experimental_source,yu_model_digitized_kappa_W_mK,yu_model_digitization_uncertainty_W_mK,reproduced_kappa_W_mK,absolute_error_vs_experiment_W_mK,relative_error_vs_experiment,absolute_error_vs_yu_model_W_mK,relative_error_vs_yu_model
AQ,303.06,1.68,TABLE_S1_NOT_DIGITIZED,1.63944373646,0.0112676056338,1.65602381323,0.0239761867688,0.0142715397433,0.0165800767712,0.0101132331671
AQ,322.42,1.6,TABLE_S1_NOT_DIGITIZED,1.57981659274,0.0112676056338,1.59175407241,0.00824592759395,0.00515370474622,0.011937479666,0.00755624401016
AQ,370.8,1.43,TABLE_S1_NOT_DIGITIZED,1.44225352113,0.0112676056338,1.45115870613,0.0211587061262,0.0147962979904,0.00890518499624,0.00617449350324
AQ,420.95,1.33,TABLE_S1_NOT_DIGITIZED,1.32394366197,0.0112676056338,1.32965654285,0.000343457148404,0.000258238457446,0.0057128808816,0.00431504832547
AQ,473.74,1.26,TABLE_S1_NOT_DIGITIZED,1.21690140845,0.0112676056338,1.22218280678,0.0378171932199,0.0300136454126,0.0052813983301,0.0043400379796
AQ,523,1.15,TABLE_S1_NOT_DIGITIZED,1.1323943662,0.0112676056338,1.13664309126,0.0133569087366,0.0116147032492,0.00424872506336,0.00375198357585
AQ,573.15,1.07,TABLE_S1_NOT_DIGITIZED,1.05915492958,0.0112676056338,1.0611835623,0.00881643769836,0.00823966140034,0.00202863272164,0.00191533142601
48h,303.94,2.04,TABLE_S1_NOT_DIGITIZED,1.99926681741,0.0112676056338,1.02681460975,1.01318539025,0.496659505024,0.972452207658,0.486404415454
48h,323.3,1.93,TABLE_S1_NOT_DIGITIZED,1.90988854204,0.0112676056338,0.999946965234,0.930053034766,0.481892764128,0.909941576806,0.476437004975
48h,371.35,1.68,TABLE_S1_NOT_DIGITIZED,1.71362095278,0.0112676056338,0.938911359937,0.741088640063,0.441124190514,0.774709592843,0.452089239214
48h,420.52,1.5,TABLE_S1_NOT_DIGITIZED,1.55837677648,0.0112676056338,0.883753267708,0.616246732292,0.410831154862,0.674623508772,0.432901413159
48h,471.83,1.39,TABLE_S1_NOT_DIGITIZED,1.41689964039,0.0112676056338,0.83281499294,0.55718500706,0.400852523065,0.58408464745,0.412227253646
48h,522.02,1.23,TABLE_S1_NOT_DIGITIZED,1.30424448957,0.0112676056338,0.788490679715,0.441509320285,0.358950666898,0.515753809855,0.395442583027
48h,572.27,1.12,TABLE_S1_NOT_DIGITIZED,1.2054421016,0.0112676056338,0.748720158006,0.371279841994,0.331499858923,0.456721943594,0.378883351584
