symbol,description,AQ_value,48h_value,unit,source,classification,participates_in_fit,uncertainty,notes
k_B,Boltzmann constant,1.380649e-23,1.380649e-23,J/K,SI unit definition,TAKEN_FROM_LITERATURE,false,exact,Physical constant
hbar,Reduced Planck constant,1.054571817e-34,1.054571817e-34,J s,CODATA value,TAKEN_FROM_LITERATURE,false,,Physical constant
A_N,Combined Normal/Umklapp factor,1.5,1.5,dimensionless,SI Eq. S1 and Table S2,FITTED_BY_YU,true,not reported,Only explicitly fitted model parameter
gamma,Gruneisen parameter,1.96,1.96,dimensionless,SI Table S2 ref. 7,TAKEN_FROM_LITERATURE,false,not reported,
Mbar,Average atomic mass of solid solution,2.784e-25,2.784e-25,kg,SI Table S2,FIXED_BY_YU,false,not reported,
v,Average sound velocity,1770,1770,m/s,SI Table S2 ref. 7,TAKEN_FROM_LITERATURE,false,not reported,Used in conductivity and all rates except vL/vT ratio
Theta_D,Debye temperature,136,136,K,SI Table S2 ref. 7,TAKEN_FROM_LITERATURE,false,not reported,
a_i,Solid-solution lattice constant,6.4286,6.445,angstrom,SI Table S2,DIRECTLY_MEASURED,false,not reported,
Vbar,Average atomic volume,3.320926202820701e-29,3.3464071390625013e-29,m^3/atom,Derived as a_i^3/8 from SI Table S2,DERIVED_FROM_PUBLISHED_VALUES,false,derived,
d,Average grain size,1.04e-5,1.21e-5,m,SI Table S2,DIRECTLY_MEASURED,false,not reported,Table description says average diameter of grain size
x_i,Interstitial Ag fraction,0.0069,0.0034,fraction,SI Table S2 and main Table 2,DIRECTLY_MEASURED,false,AQ +/-0.0011; 48h +/-0.0005,Only interstitial Ag is retained
Delta_M_i,Published mass-difference input,107.87,107.87,g/mol,SI Table S2,MISSING_OR_AMBIGUOUS,false,not reported,Value equals Ag atomic mass although table calls it host-impurity mass difference
M_matrix,Matrix atom mass used in Eq. S4,207.2,207.2,g/mol,SI Table S2 M_m,FIXED_BY_YU,false,not reported,Pb atomic mass
epsilon,Point-defect phenomenological parameter,65,65,dimensionless,SI text after Eq. S6 and Table S2 ref. 5,TAKEN_FROM_LITERATURE,false,not reported,
delta,Matrix atomic radius,180,180,pm,SI Table S2,FIXED_BY_YU,false,not reported,
delta_i,Impurity atomic radius,160,160,pm,SI Table S2,FIXED_BY_YU,false,not reported,
Gamma,Derived point-defect parameter,0.0074071633724095715,0.0036499065893032673,dimensionless,SI Eqs. S3-S5,DERIVED_FROM_PUBLISHED_VALUES,false,derived,Uses literal Delta_M_i table value
R_small,Average small-particle radius,2e-9,2e-9,m,SI Table S2,DIRECTLY_MEASURED,false,not reported,R is explicitly radius
